,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,619,1,1982-10-29,29-180,LAL,GSW,-15,1,38:00,11,21,.524,0,1,.000,2,3,.667,,,4,4,,1,5,2,24,,
1,620,2,1982-11-03,29-185,LAL,DEN,1,1,34:00,10,18,.556,0,0,,2,2,1.000,3,3,6,3,0,0,2,3,22,15.3,
2,621,3,1982-11-04,29-186,LAL,DEN,23,1,25:00,8,14,.571,0,0,,1,1,1.000,3,3,6,2,1,0,4,2,17,11.0,
3,622,4,1982-11-06,29-188,LAL,UTA,3,1,,4,11,.364,0,,,2,4,.500,,,,,,,,,10,,
4,623,5,1982-11-07,29-189,LAL,POR,14,1,37:00,10,13,.769,0,0,,1,1,1.000,1,0,1,3,1,1,2,3,21,17.2,
5,624,6,1982-11-09,29-191,LAL,KCK,22,1,22:00,9,12,.750,0,0,,0,2,.000,0,1,1,0,0,0,1,4,18,10.1,
6,625,7,1982-11-12,29-194,LAL,HOU,31,1,27:00,11,17,.647,0,0,,0,0,,,,10,5,,,,2,22,,
7,626,8,1982-11-14,29-196,LAL,CLE,13,1,35:00,10,16,.625,0,0,,10,10,1.000,1,2,3,2,0,0,0,2,30,24.7,
8,627,9,1982-11-16,29-198,LAL,PHO,-8,1,38:00,8,16,.500,0,0,,2,2,1.000,0,2,2,1,0,0,0,3,18,10.1,
9,628,10,1982-11-17,29-199,LAL,DAL,-1,1,27:00,7,14,.500,0,0,,5,5,1.000,1,0,1,2,0,0,1,4,19,11.5,
10,629,11,1982-11-19,29-201,LAL,WSB,30,1,25:00,6,12,.500,0,0,,1,2,.500,,,2,1,,,,2,13,,
11,630,12,1982-11-21,29-203,LAL,DEN,14,1,32:00,13,25,.520,0,0,,3,3,1.000,3,4,7,3,1,0,1,3,29,20.9,
12,631,13,1982-11-24,29-206,LAL,SEA,18,1,33:00,10,20,.500,0,,,0,0,,3,5,8,7,,,1,1,20,,
13,632,14,1982-11-26,29-208,LAL,SDC,2,1,27:00,6,15,.400,0,,,4,4,1.000,,,3,2,,,,3,16,,
14,633,15,1982-11-28,29-210,LAL,GSW,15,1,28:00,10,15,.667,0,0,,1,1,1.000,1,3,4,3,1,1,4,2,21,15.1,
15,634,16,1982-11-30,29-212,LAL,SAS,-3,1,31:00,8,15,.533,0,0,,1,1,1.000,2,1,3,2,0,1,1,4,17,10.9,
16,635,17,1982-12-01,29-213,LAL,HOU,11,1,28:00,5,13,.385,0,0,,0,0,,4,4,8,1,1,0,1,3,10,6.4,
17,636,18,1982-12-03,29-215,LAL,POR,15,1,34:00,9,18,.500,0,0,,1,1,1.000,2,4,6,2,1,1,5,4,19,9.1,
18,637,19,1982-12-05,29-217,LAL,PHI,-10,1,32:00,9,18,.500,0,1,.000,4,5,.800,3,2,5,0,2,1,3,4,22,13.4,
19,638,20,1982-12-08,29-220,LAL,PHO,3,1,35:00,10,16,.625,0,0,,0,3,.000,3,4,7,3,0,0,3,1,20,13.6,
20,639,21,1982-12-10,29-222,LAL,UTA,6,1,29:00,9,15,.600,0,0,,2,3,.667,,,1,1,,0,,4,20,,
21,640,22,1982-12-11,29-223,LAL,GSW,21,1,27:00,6,12,.500,0,0,,4,5,.800,,,3,1,,0,,3,16,,
22,641,23,1982-12-14,29-226,LAL,POR,-4,1,35:00,8,13,.615,0,0,,1,2,.500,1,2,3,2,0,0,2,2,17,10.6,
23,642,24,1982-12-17,29-229,LAL,NJN,11,1,31:00,13,21,.619,0,0,,1,2,.500,,,8,2,,,,4,27,,
24,643,25,1982-12-18,29-230,LAL,PHO,-26,1,28:00,7,14,.500,0,0,,6,7,.857,,,6,4,3,1,1,3,20,,
25,644,26,1982-12-19,29-231,LAL,DAL,2,1,33:00,10,21,.476,0,0,,0,3,.000,4,0,4,3,1,1,2,3,20,11.5,
26,645,27,1982-12-22,29-234,LAL,UTA,24,1,22:00,8,17,.471,0,0,,1,2,.500,4,3,7,2,0,0,0,0,17,13.0,
27,646,28,1982-12-23,29-235,LAL,SDC,5,1,35:00,9,17,.529,0,0,,0,0,,,,5,4,,,,2,18,,
28,647,29,1982-12-26,29-238,LAL,HOU,2,1,34:00,9,18,.500,0,0,,4,5,.800,1,2,3,2,0,0,1,2,22,13.5,
29,648,30,1982-12-29,29-241,LAL,GSW,10,1,35:00,8,14,.571,0,0,,6,8,.750,2,2,4,2,0,0,1,2,22,16.2,
