,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,160,1,1995-11-03,22-339,DAL,SAS,6,1,39:00,10,22,.455,4,6,.667,3,4,.750,2,6,8,0,1,0,2,3,27,16.2,
1,161,2,1995-11-04,22-340,DAL,GSW,15,1,26:00,3,18,.167,0,4,.000,6,9,.667,5,3,8,1,0,1,3,1,12,1.8,
2,162,3,1995-11-07,22-343,DAL,VAN,11,1,27:00,6,14,.429,0,3,.000,4,4,1.000,2,1,3,1,2,0,2,1,16,10.6,
3,163,4,1995-11-09,22-345,DAL,MIL,10,1,37:00,11,23,.478,3,7,.429,2,2,1.000,1,0,1,3,0,0,4,1,27,13.7,
4,164,5,1995-11-11,22-347,DAL,ATL,-13,1,38:00,10,21,.476,4,10,.400,3,6,.500,1,7,8,3,1,0,2,2,27,18.2,
5,165,6,1995-11-13,22-349,DAL,VAN,5,1,35:00,2,17,.118,1,5,.200,3,4,.750,2,5,7,2,2,0,2,3,8,-0.4,
6,166,7,1995-11-15,22-351,DAL,LAL,-17,1,32:00,12,25,.480,4,9,.444,4,6,.667,1,5,6,3,0,0,1,2,32,21.0,
7,167,8,1995-11-17,22-353,DAL,LAC,-11,1,41:00,11,23,.478,1,4,.250,3,4,.750,0,3,3,0,0,1,5,3,26,9.3,
8,168,9,1995-11-18,22-354,DAL,GSW,-13,1,38:00,7,22,.318,5,11,.455,13,16,.813,2,1,3,4,1,0,6,4,32,16.1,
9,169,10,1995-11-21,22-357,DAL,CHI,-6,1,44:00,7,23,.304,1,3,.333,6,9,.667,3,2,5,4,0,1,4,3,21,7.5,
10,170,11,1995-11-24,22-360,DAL,DEN,-3,1,49:00,13,34,.382,2,8,.250,9,12,.750,4,2,6,9,0,0,2,1,37,24.5,
11,171,12,1995-11-28,22-364,DAL,MIA,-22,1,39:00,7,16,.438,0,1,.000,10,10,1.000,0,2,2,1,0,0,3,2,24,13.1,
12,172,13,1995-11-30,23-001,DAL,ORL,-14,1,33:00,5,17,.294,1,6,.167,7,10,.700,2,2,4,2,0,0,4,1,18,5.9,
13,173,14,1995-12-01,23-002,DAL,ATL,8,1,39:00,10,21,.476,3,3,1.000,10,14,.714,1,1,2,2,1,0,0,3,33,22.9,
14,174,15,1995-12-03,23-004,DAL,CLE,-1,1,44:00,10,25,.400,4,6,.667,4,5,.800,1,4,5,2,2,0,2,3,28,16.2,
15,175,16,1995-12-05,23-006,DAL,NYK,-5,1,38:00,8,23,.348,0,5,.000,5,8,.625,4,9,13,6,2,0,5,1,21,13.2,
16,176,17,1995-12-06,23-007,DAL,PHI,-21,1,40:00,9,22,.409,1,5,.200,3,6,.500,3,6,9,6,1,0,4,1,22,13.7,
17,177,18,1995-12-09,23-010,DAL,WSB,-9,1,30:00,4,17,.235,1,6,.167,2,4,.500,3,1,4,1,1,0,4,4,11,-1.6,
