,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1141,1,1995-11-15,39-358,CHI,CLE,19,0,7:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,3,2,0,-3.8,
1,1142,2,1995-11-17,39-360,CHI,NJN,15,0,12:00,2,5,.400,0,0,,2,2,1.000,0,0,0,0,0,1,0,2,6,3.2,
2,1143,3,1995-11-22,40-000,CHI,SAS,9,0,4:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,2,3,2,-1.5,
3,1144,4,1995-11-26,40-004,CHI,SEA,-5,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
4,1145,5,1995-11-27,40-005,CHI,POR,3,0,5:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,0,1,2,1.3,
5,1146,6,1995-12-09,40-017,CHI,MIL,12,0,4:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,
6,1147,7,1995-12-14,40-022,CHI,ATL,19,0,6:00,1,2,.500,0,0,,1,2,.500,0,2,2,0,0,0,0,0,3,2.2,
7,1148,8,1995-12-16,40-024,CHI,LAL,20,0,9:00,0,2,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,2,-0.2,
8,1149,9,1996-02-01,40-071,CHI,SAC,20,0,5:00,3,3,1.000,0,0,,0,0,,1,0,1,0,0,0,1,1,6,4.4,
9,1150,10,1996-02-02,40-072,CHI,LAL,15,0,23:00,6,9,.667,0,0,,0,2,.000,1,2,3,1,1,0,0,3,12,9.1,
10,1151,11,1996-02-04,40-074,CHI,DEN,-6,0,9:00,2,5,.400,0,0,,0,2,.000,1,0,1,0,0,0,0,4,4,-0.4,
11,1152,12,1996-02-07,40-077,CHI,GSW,4,0,11:00,0,1,.000,0,0,,0,0,,1,1,2,1,0,0,1,4,0,-1.6,
12,1153,13,1996-02-13,40-083,CHI,WSB,13,0,16:00,1,6,.167,0,0,,3,4,.750,1,2,3,0,0,2,2,2,5,0.7,
13,1154,14,1996-02-15,40-085,CHI,DET,3,0,9:00,2,6,.333,0,0,,0,0,,0,0,0,0,0,0,0,2,4,-0.2,
14,1155,15,1996-02-18,40-088,CHI,IND,8,0,11:00,0,2,.000,0,0,,0,2,.000,1,0,1,0,0,0,1,2,0,-3.3,
15,1156,16,1996-03-10,40-109,CHI,NYK,-32,0,9:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,3,0,-2.6,
16,1157,17,1996-03-13,40-112,CHI,WSB,17,0,19:00,3,8,.375,0,0,,0,0,,0,1,1,1,0,0,2,3,6,-0.6,
17,1158,18,1996-03-15,40-114,CHI,DEN,21,0,4:00,0,4,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-2.9,
18,1159,19,1996-03-16,40-115,CHI,NJN,4,0,4:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,
19,1160,20,1996-03-18,40-117,CHI,PHI,4,0,7:00,1,3,.333,0,0,,2,2,1.000,0,2,2,0,0,1,0,1,4,3.2,
20,1161,21,1996-04-05,40-135,CHI,CHH,34,0,16:00,5,9,.556,0,0,,1,1,1.000,0,2,2,1,0,0,1,3,11,5.8,
21,1162,22,1996-04-07,40-137,CHI,ORL,4,0,9:00,1,5,.200,0,0,,0,0,,0,2,2,0,0,0,2,4,2,-4.1,
22,1163,23,1996-04-08,40-138,CHI,CHH,-1,0,8:00,2,7,.286,0,0,,0,0,,2,0,2,1,0,0,0,3,4,0.8,
23,1164,24,1996-04-11,40-141,CHI,NJN,13,0,11:00,2,5,.400,0,0,,2,2,1.000,2,1,3,0,0,0,2,4,6,1.4,
24,1165,25,1996-04-12,40-142,CHI,PHI,30,0,8:00,2,5,.400,0,0,,0,1,.000,1,0,1,0,0,1,1,2,4,0.5,
25,1166,26,1996-04-18,40-148,CHI,DET,31,0,18:00,1,7,.143,0,0,,0,0,,1,4,5,1,0,1,2,1,2,-1.6,
26,1167,27,1996-04-20,40-150,CHI,IND,-1,0,14:00,2,5,.400,0,0,,3,4,.750,2,1,3,2,0,1,0,6,7,5.3,
27,1168,28,1996-04-21,40-151,CHI,WSB,10,0,15:00,2,5,.400,0,0,,0,0,,1,2,3,1,0,0,0,1,4,2.9,
