,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2001-10-31,22-333,NJN,BOS,3,0,8:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,3,2,0,-3.5,+8
1,2,2,2001-11-02,22-335,NJN,DET,-14,0,20:00,1,2,.500,0,0,,2,2,1.000,1,4,5,2,0,0,1,0,4,5.3,-3
2,3,3,2001-11-08,22-341,NJN,SEA,12,0,7:00,1,2,.500,0,0,,1,1,1.000,0,1,1,0,0,1,2,2,3,0.2,-1
3,4,4,2001-11-16,22-349,NJN,NYK,26,0,9:00,2,2,1.000,0,0,,0,0,,0,2,2,1,0,0,0,0,4,4.7,+9
4,5,5,2001-11-17,22-350,NJN,PHI,-12,0,11:00,1,3,.333,0,0,,1,2,.500,2,2,4,0,0,0,0,2,3,2.1,+9
5,6,6,2001-11-19,22-352,NJN,DEN,-3,0,21:00,5,8,.625,1,1,1.000,0,0,,5,1,6,2,0,0,1,3,11,10.4,+7
6,7,7,2001-11-21,22-354,NJN,UTA,1,0,15:00,0,2,.000,0,0,,0,0,,2,2,4,0,0,1,0,2,0,0.5,+7
7,8,8,2001-11-22,22-355,NJN,LAC,5,0,14:00,1,2,.500,0,0,,0,2,.000,2,0,2,1,1,0,3,4,2,-1.3,-1
8,9,9,2001-11-24,22-357,NJN,SAC,-1,0,5:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,+2
9,10,10,2001-11-25,22-358,NJN,GSW,-16,0,18:00,0,1,.000,0,0,,4,8,.500,2,1,3,0,0,0,1,2,4,1.6,-1
10,11,11,2001-11-27,22-360,NJN,CHI,32,0,12:00,2,5,.400,0,0,,0,0,,1,2,3,0,1,0,0,1,4,3.2,+4
11,12,12,2001-12-01,22-364,NJN,BOS,-7,0,6:00,0,1,.000,0,0,,0,0,,0,2,2,0,0,1,0,1,0,0.2,-4
12,13,13,2001-12-05,23-003,NJN,PHO,19,0,3:00,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-0.7,-2
13,14,14,2001-12-08,23-006,NJN,MIL,-16,0,10:00,1,3,.333,0,0,,0,0,,2,2,4,1,0,0,1,0,2,2.0,+3
14,15,15,2001-12-11,23-009,NJN,CHI,14,0,19:00,2,3,.667,0,0,,3,4,.750,2,3,5,2,0,0,0,3,7,7.8,+3
15,16,16,2001-12-14,23-012,NJN,MIA,9,0,16:00,1,4,.250,0,0,,0,2,.000,3,0,3,2,0,2,0,0,2,3.7,-9
16,17,17,2001-12-16,23-014,NJN,NYK,18,0,4:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,3,0,-2.6,-3
17,18,18,2001-12-19,23-017,NJN,MIN,5,0,6:00,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,2,2,1.6,-1
18,19,19,2001-12-21,23-019,NJN,IND,-6,0,15:00,1,4,.250,0,0,,3,4,.750,2,2,4,1,0,0,1,2,5,3.1,+4
19,20,20,2001-12-22,23-020,NJN,UTA,-14,0,6:00,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,0,0,0,1.0,-7
20,21,21,2001-12-26,23-024,NJN,CLE,2,0,24:00,3,4,.750,0,0,,0,0,,3,5,8,3,1,2,1,1,6,11.1,+7
21,22,22,2001-12-27,23-025,NJN,DET,13,0,19:00,0,2,.000,0,0,,2,2,1.000,0,4,4,0,1,0,1,2,2,1.0,+1
