,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1137,1,2014-10-28,37-043,HOU,LAL,18,0,21:23,3,5,.600,2,3,.667,0,0,,0,0,0,1,0,0,1,0,8,5.4,+27
1,1138,2,2014-10-29,37-044,HOU,UTA,11,0,21:16,3,5,.600,2,3,.667,0,0,,0,0,0,0,0,0,2,1,8,3.3,-1
2,1139,3,2014-11-01,37-047,HOU,BOS,14,0,22:56,2,5,.400,2,5,.400,1,1,1.000,0,1,1,1,1,2,1,1,7,6.3,+10
3,1140,4,2014-11-03,37-049,HOU,PHI,11,0,22:40,3,8,.375,2,5,.400,0,0,,0,1,1,0,1,0,0,1,8,4.5,+2
4,1141,5,2014-11-04,37-050,HOU,MIA,17,0,18:39,1,4,.250,1,3,.333,0,0,,1,0,1,1,1,0,0,2,3,2.2,+4
5,1142,6,2014-11-06,37-052,HOU,SAS,17,0,20:43,4,5,.800,4,5,.800,4,4,1.000,0,0,0,2,2,0,1,0,16,16.5,+3
6,1143,7,2014-11-08,37-054,HOU,GSW,-11,0,29:19,3,8,.375,2,6,.333,3,3,1.000,0,1,1,1,2,0,3,2,11,5.8,+1
7,1144,8,2014-11-12,37-058,HOU,MIN,12,0,23:11,3,3,1.000,3,3,1.000,0,0,,0,3,3,3,1,1,1,4,9,10.2,+14
8,1145,9,2014-11-14,37-060,HOU,PHI,1,0,22:05,2,7,.286,2,6,.333,0,0,,0,1,1,0,3,1,1,1,6,4.5,-13
9,1146,10,2014-11-16,37-062,HOU,OKC,4,0,19:12,0,2,.000,0,2,.000,0,0,,1,1,2,1,0,0,0,3,0,-0.9,-8
10,1147,11,2014-11-17,37-063,HOU,MEM,-26,0,17:35,2,5,.400,2,5,.400,2,3,.667,0,0,0,2,1,0,3,0,8,4.3,-25
11,1148,12,2014-11-19,37-065,HOU,LAL,-6,0,20:10,2,7,.286,1,4,.250,0,0,,0,1,1,2,0,1,2,1,5,0.9,+7
12,1149,13,2014-11-22,37-068,HOU,DAL,3,0,25:01,3,10,.300,1,6,.167,0,0,,2,0,2,5,0,0,2,0,7,4.1,+5
13,1150,14,2014-11-24,37-070,HOU,NYK,5,0,21:41,3,7,.429,2,5,.400,0,0,,0,3,3,1,1,0,1,0,8,5.9,-6
14,1151,15,2014-11-26,37-072,HOU,SAC,13,0,16:01,2,5,.400,1,4,.250,0,0,,0,1,1,1,1,0,1,2,5,2.5,0
15,1152,16,2014-11-28,37-074,HOU,LAC,-17,0,22:07,1,6,.167,0,3,.000,0,0,,0,1,1,2,2,1,0,3,2,1.4,-23
16,1153,17,2014-11-29,37-075,HOU,MIL,14,1,34:47,7,15,.467,4,8,.500,0,0,,2,4,6,5,0,0,0,2,18,15.6,+21
17,1154,18,2014-12-03,37-079,HOU,MEM,9,1,31:05,5,10,.500,3,7,.429,3,5,.600,0,3,3,5,4,0,2,2,16,15.8,+9
18,1155,19,2014-12-05,37-081,HOU,MIN,2,1,42:58,7,16,.438,3,8,.375,2,3,.667,0,4,4,6,1,0,0,2,19,15.8,-4
19,1156,20,2014-12-06,37-082,HOU,PHO,5,1,38:45,5,9,.556,3,3,1.000,0,0,,0,2,2,2,2,0,2,3,13,9.5,-4
20,1157,21,2014-12-10,37-086,HOU,GSW,-12,0,28:19,1,7,.143,0,5,.000,0,0,,0,3,3,1,1,0,2,1,2,-2.3,-20
21,1158,22,2014-12-11,37-087,HOU,SAC,4,0,35:02,4,12,.333,3,10,.300,2,2,1.000,0,0,0,0,0,0,1,2,13,4.4,+7
22,1159,23,2014-12-13,37-089,HOU,DEN,12,0,25:25,3,9,.333,2,8,.250,0,0,,0,1,1,0,1,0,3,1,8,0.8,-10
23,1160,26,2014-12-20,37-096,HOU,ATL,-7,0,21:47,5,13,.385,4,10,.400,0,0,,0,3,3,0,1,0,3,0,14,5.8,-8
24,1161,27,2014-12-22,37-098,HOU,POR,15,0,14:27,2,4,.500,1,3,.333,0,0,,0,0,0,2,0,0,2,2,5,1.6,-4
25,1162,28,2014-12-26,37-102,HOU,MEM,6,0,18:33,3,6,.500,3,6,.500,0,0,,0,4,4,3,0,0,1,1,9,7.9,-2
26,1163,29,2014-12-28,37-104,HOU,SAS,-4,0,16:43,0,4,.000,0,4,.000,0,0,,0,1,1,3,2,0,0,0,0,1.6,+6
27,1164,30,2014-12-29,37-105,HOU,WAS,-1,0,19:27,3,5,.600,0,0,,0,0,,0,2,2,4,1,0,0,0,6,8.1,+20
28,1165,31,2014-12-31,37-107,HOU,CHO,19,0,19:01,2,4,.500,1,1,1.000,0,0,,0,1,1,2,1,1,0,3,5,5.2,+11
29,1166,32,2015-01-02,37-109,HOU,NOP,-28,0,15:36,3,7,.429,1,5,.200,0,0,,0,2,2,3,2,0,2,2,7,5.2,-9
30,1167,33,2015-01-03,37-110,HOU,MIA,36,0,19:41,2,5,.400,2,4,.500,0,0,,0,0,0,3,0,0,0,0,6,5.4,+14
31,1168,34,2015-01-05,37-112,HOU,CHI,-9,0,16:37,3,3,1.000,2,2,1.000,0,1,.000,0,0,0,3,0,0,2,2,8,6.0,-1
32,1169,35,2015-01-07,37-114,HOU,CLE,12,0,24:17,2,3,.667,2,3,.667,0,0,,0,4,4,4,1,0,2,3,6,6.5,+7
33,1170,36,2015-01-08,37-115,HOU,NYK,24,0,22:12,5,7,.714,3,5,.600,1,1,1.000,0,2,2,2,1,0,0,0,14,14.1,-3
34,1171,37,2015-01-10,37-117,HOU,UTA,15,0,18:55,0,1,.000,0,1,.000,0,0,,0,0,0,4,1,0,0,3,0,1.9,+6
35,1172,38,2015-01-12,37-119,HOU,BRK,14,0,19:41,3,7,.429,3,7,.429,0,0,,0,1,1,2,0,0,2,2,9,4.2,+9
36,1173,40,2015-01-15,37-122,HOU,OKC,11,0,14:29,0,2,.000,0,2,.000,0,0,,1,1,2,1,1,0,1,0,0,0.3,+4
37,1174,41,2015-01-17,37-124,HOU,GSW,-25,0,13:12,0,3,.000,0,3,.000,2,2,1.000,0,0,0,0,0,0,0,2,2,-0.9,-7
38,1175,42,2015-01-19,37-126,HOU,IND,12,0,18:32,3,5,.600,1,3,.333,0,1,.000,0,0,0,3,1,0,2,2,7,4.6,+4
39,1176,43,2015-01-21,37-128,HOU,GSW,-13,0,20:08,4,8,.500,4,6,.667,2,2,1.000,0,0,0,1,1,1,2,3,14,9.2,+12
40,1177,44,2015-01-23,37-130,HOU,PHO,2,0,14:44,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3,1.7,+9
41,1178,45,2015-01-25,37-132,HOU,LAL,12,0,20:45,4,9,.444,2,7,.286,1,2,.500,0,1,1,4,1,0,1,1,11,8.6,+5
42,1179,46,2015-01-28,37-135,HOU,DAL,5,0,17:06,1,3,.333,1,1,1.000,2,2,1.000,2,2,4,3,2,2,2,2,5,8.0,+11
43,1180,47,2015-01-30,37-137,HOU,BOS,6,0,14:52,0,2,.000,0,2,.000,0,0,,2,0,2,4,0,0,0,1,0,2.4,+7
44,1181,48,2015-01-31,37-138,HOU,DET,-13,0,6:21,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-8
45,1182,49,2015-02-04,37-142,HOU,CHI,11,0,18:37,2,4,.500,1,3,.333,0,0,,0,1,1,2,0,0,0,0,5,4.7,+21
46,1183,50,2015-02-06,37-144,HOU,MIL,6,0,12:01,0,4,.000,0,3,.000,1,1,1.000,0,3,3,1,0,0,1,0,1,-1.2,+3
47,1184,51,2015-02-08,37-146,HOU,POR,-11,0,20:19,2,6,.333,2,5,.400,0,0,,0,3,3,2,1,1,0,2,6,5.8,+2
48,1185,52,2015-02-10,37-148,HOU,PHO,9,0,18:31,2,4,.500,2,4,.500,0,0,,1,1,2,1,1,0,0,1,6,6.3,+8
49,1186,53,2015-02-11,37-149,HOU,LAC,-15,0,14:24,1,1,1.000,1,1,1.000,0,0,,0,0,0,2,0,1,0,2,3,4.0,-12
50,1187,54,2015-02-20,37-158,HOU,DAL,-11,0,22:52,3,8,.375,2,7,.286,0,0,,1,2,3,2,4,1,1,2,8,9.2,-3
51,1188,55,2015-02-21,37-159,HOU,TOR,22,0,18:51,0,1,.000,0,1,.000,3,4,.750,0,2,2,2,0,1,0,3,3,3.4,+18
52,1189,56,2015-02-23,37-161,HOU,MIN,11,1,28:08,3,8,.375,3,8,.375,0,0,,0,3,3,2,1,0,2,4,9,4.3,+4
53,1190,57,2015-02-25,37-163,HOU,LAC,5,1,31:39,3,10,.300,2,7,.286,0,0,,1,3,4,2,4,0,0,2,8,8.4,-7
54,1191,58,2015-02-27,37-165,HOU,BRK,4,0,11:02,1,1,1.000,1,1,1.000,2,2,1.000,0,2,2,1,0,0,1,2,5,4.2,-2
55,1192,59,2015-03-01,37-167,HOU,CLE,2,0,13:44,1,3,.333,1,3,.333,0,0,,0,0,0,1,0,0,0,0,3,2.0,-5
56,1193,60,2015-03-03,37-169,HOU,ATL,-8,0,28:24,8,13,.615,4,8,.500,1,1,1.000,0,4,4,2,0,0,1,2,21,15.9,-10
57,1194,61,2015-03-04,37-170,HOU,MEM,-2,0,17:26,3,6,.500,2,4,.500,0,0,,0,0,0,0,1,0,1,0,8,5.0,-6
58,1195,62,2015-03-06,37-172,HOU,DET,10,0,16:52,1,3,.333,0,2,.000,0,0,,0,2,2,1,1,0,1,2,2,0.8,+10
