,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1996-11-10,22-019,DEN,CLE,-15,0,8:00,2,3,.667,2,2,1.000,0,0,,0,0,0,2,0,0,1,0,6,5.1,
1,2,2,1996-11-15,22-024,DEN,BOS,2,0,3:00,1,2,.500,0,1,.000,1,2,.500,0,0,0,0,0,0,0,1,3,1.2,
2,3,3,1996-11-16,22-025,DEN,NJN,-7,0,4:00,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,2,1,3,0.3,
3,4,4,1996-11-19,22-028,DEN,MIA,-18,0,12:00,2,6,.333,1,5,.200,0,0,,0,2,2,3,0,0,1,1,5,2.9,
4,5,5,1996-11-21,22-030,DEN,CHI,-18,0,5:00,1,3,.333,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,1.6,
5,6,6,1996-11-23,22-032,DEN,POR,-40,0,14:00,2,7,.286,1,3,.333,2,2,1.000,0,1,1,2,0,0,2,0,7,2.6,
6,7,7,1996-11-26,22-035,DEN,PHO,9,0,4:00,2,3,.667,0,0,,2,2,1.000,0,0,0,0,0,0,1,0,6,3.7,
7,8,8,1996-11-27,22-036,DEN,UTA,-4,0,14:00,3,4,.750,2,3,.667,1,2,.500,0,0,0,1,0,0,0,3,9,6.5,
8,9,9,1996-11-29,22-038,DEN,MIN,-5,0,18:00,4,7,.571,2,4,.500,0,0,,1,0,1,5,0,1,4,4,10,6.0,
9,10,10,1996-12-03,22-042,DEN,GSW,-15,0,16:00,2,5,.400,1,2,.500,1,2,.500,1,0,1,4,1,0,1,3,6,5.2,
10,11,11,1996-12-05,22-044,DEN,POR,-11,0,11:00,3,5,.600,1,2,.500,0,0,,0,0,0,1,0,0,0,2,7,4.6,
11,12,12,1996-12-07,22-046,DEN,UTA,-13,0,3:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.1,
12,13,13,1996-12-10,22-049,DEN,ATL,-1,0,5:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,-0.4,
