,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1964-11-04,22-231,STL,SFW,1,,,1,,,,,,0,0,,,,,,,,,,2,,
1,2,2,1964-11-07,22-234,STL,BAL,35,,,1,,,,,,4,4,1.000,,,,,,,,,6,,
2,3,3,1964-11-13,22-240,STL,CIN,-17,,,2,,,,,,5,5,1.000,,,,,,,,,9,,
3,4,4,1964-11-14,22-241,STL,SFW,14,,,0,,,,,,0,0,,,,,,,,,,0,,
4,5,5,1964-11-24,22-251,STL,BAL,-1,,,0,,,,,,0,0,,,,,,,,,,0,,
5,6,6,1964-11-26,22-253,STL,BOS,12,,,0,,,,,,0,0,,,,,,,,,,0,,
6,7,7,1964-11-28,22-255,STL,NYK,-15,,,1,,,,,,0,0,,,,,,,,,,2,,
7,8,8,1964-12-06,22-263,STL,NYK,21,,,3,,,,,,0,0,,,,,,,,,,6,,
8,9,9,1964-12-08,22-265,STL,SFW,20,,,0,,,,,,0,0,,,,,,,,,,0,,
9,10,10,1964-12-12,22-269,STL,CIN,-6,,,5,,,,,,1,1,1.000,,,,,,,,,11,,
10,11,11,1964-12-15,22-272,STL,BOS,-15,,18:00,3,8,.375,,,,4,4,1.000,,,2,4,,,,2,10,,
11,12,12,1964-12-16,22-273,STL,NYK,14,,,0,,,,,,1,2,.500,,,,,,,,,1,,
12,13,13,1964-12-19,22-276,STL,BOS,-10,,,2,,,,,,0,2,.000,,,,,,,,,4,,
13,14,14,1964-12-25,22-282,STL,CIN,-5,,,3,,,,,,0,1,.000,,,,,,,,,6,,
14,15,15,1964-12-27,22-284,STL,NYK,10,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
15,16,16,1964-12-29,22-286,STL,SFW,18,,,1,,,,,,1,2,.500,,,,,,,,,3,,
16,17,17,1965-01-03,22-291,STL,LAL,-7,,,7,,,,,,6,10,.600,,,,,,,,,20,,
17,18,18,1965-01-05,22-293,STL,DET,1,,,0,,,,,,0,2,.000,,,,,,,,,0,,
18,19,19,1965-01-06,22-294,STL,BOS,-32,,27:00,7,12,.583,,,,1,3,.333,,,3,1,,,,1,15,,
19,20,20,1965-01-08,22-296,STL,NYK,1,,,1,,,,,,0,2,.000,,,,,,,,,2,,
20,21,21,1965-01-09,22-297,STL,PHI,-2,,,0,,,,,,0,0,,,,,,,,,,0,,
21,22,22,1965-01-11,22-299,STL,PHI,10,,,1,,,,,,0,1,.000,,,,,,,,,2,,
22,23,23,1965-01-16,22-304,STL,BAL,20,,,1,,,,,,0,0,,,,,,,,,,2,,
23,24,24,1965-01-17,22-305,STL,LAL,13,,,2,,,,,,0,0,,,,,,,,,,4,,
24,25,25,1965-01-22,22-310,STL,BAL,-7,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
25,26,26,1965-01-23,22-311,STL,BAL,-9,,,2,,,,,,3,4,.750,,,,,,,,,7,,
26,27,27,1965-01-24,22-312,STL,BAL,-8,,,0,,,,,,0,0,,,,,,,,,,0,,
27,28,28,1965-01-27,22-315,STL,NYK,17,,,2,,,,,,2,3,.667,,,,,,,,,6,,
28,29,29,1965-01-30,22-318,STL,DET,-24,,,3,,,,,,0,0,,,,,,,,,,6,,
29,30,30,1965-02-02,22-321,STL,PHI,-14,,,2,,,,,,0,0,,,,,,,,,,4,,
30,31,31,1965-02-07,22-326,STL,SFW,23,,,3,,,,,,0,0,,,,,,,,,,6,,
31,32,32,1965-02-11,22-330,STL,BAL,30,,,1,,,,,,0,0,,,,,,,,,,2,,
32,33,33,1965-02-12,22-331,STL,BAL,44,,,5,8,.625,,,,5,6,.833,,,,,,,,,15,,
33,34,34,1965-02-16,22-335,STL,CIN,-8,,,4,,,,,,0,0,,,,,,,,,,8,,
34,35,35,1965-02-17,22-336,STL,BOS,-7,,12:00,2,2,1.000,,,,0,0,,,,1,0,,,,1,4,,
35,36,36,1965-02-18,22-337,STL,BOS,-10,,,2,2,1.000,,,,0,0,,,,0,0,,,,0,4,,
36,37,37,1965-02-21,22-340,STL,DET,5,,,0,,,,,,0,0,,,,,,,,,,0,,
37,38,38,1965-03-02,22-349,STL,NYK,1,,,0,,,,,,0,0,,,,,,,,,,0,,
38,39,39,1965-03-03,22-350,STL,PHI,14,,,1,,,,,,0,0,,,,,,,,,,2,,
39,40,40,1965-03-07,22-354,STL,NYK,26,,,5,,,,,,2,2,1.000,,,,,,,,,12,,
40,41,41,1965-03-10,22-357,STL,CIN,24,,,4,,,,,,0,0,,,,,,,,,,8,,
41,42,42,1965-03-14,22-361,STL,LAL,7,,,7,,,,,,2,3,.667,,,,,,,,,16,,
