,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1965-10-16,23-202,BAL,PHI,-32,,,1,6,.167,,,,2,2,1.000,,,4,5,,,,5,4,,
1,2,2,1965-10-17,23-203,BAL,CIN,-20,,,3,11,.273,,,,0,0,,,,6,4,,,,4,6,,
2,3,3,1965-10-20,23-206,BAL,STL,20,,21:00,1,3,.333,,,,2,2,1.000,,,9,4,,,,6,4,,
3,4,4,1965-10-23,23-209,BAL,SFW,-15,,,0,,,,,,1,1,1.000,,,,,,,,6,1,,
4,5,5,1965-10-26,23-212,BAL,DET,19,,,5,,,,,,3,4,.750,,,,,,,,,13,,
5,6,6,1965-10-27,23-213,BAL,DET,-1,,,3,,,,,,1,2,.500,,,,,,,,,7,,
6,7,7,1965-10-29,23-215,BAL,CIN,-10,,,5,,,,,,0,0,,,,,,,,,,10,,
7,8,8,1965-11-03,23-220,BAL,NYK,15,,9:00,2,4,.500,,,,3,3,1.000,,,1,0,,,,0,7,,
8,9,9,1965-11-04,23-221,BAL,NYK,-1,,15:00,2,5,.400,,,,0,1,.000,,,1,1,,,,4,4,,
9,10,10,1965-11-05,23-222,BAL,BOS,-11,,,0,,,,,,1,3,.333,,,,,,,,,1,,
10,11,11,1965-11-07,23-224,BAL,LAL,21,,,0,2,.000,,,,0,0,,,,2,1,,,,1,0,,
11,12,12,1965-11-09,23-226,BAL,BOS,-14,,6:00,0,4,.000,,,,2,2,1.000,,,2,2,,,,2,2,,
12,13,13,1965-11-13,23-230,BAL,CIN,-3,,,1,,,,,,0,0,,,,,,,,,,2,,
13,14,14,1965-11-14,23-231,BAL,LAL,-15,,,4,8,.500,,,,7,12,.583,,,6,2,,,,3,15,,
14,15,15,1965-11-15,23-232,BAL,SFW,-11,,,2,,,,,,5,6,.833,,,,,,,,6,9,,
15,16,16,1965-11-21,23-238,BAL,CIN,-6,,,3,,,,,,0,1,.000,,,,,,,,,6,,
16,17,17,1965-11-24,23-241,BAL,DET,-6,,,1,,,,,,1,1,1.000,,,,,,,,,3,,
17,18,18,1965-11-26,23-243,BAL,LAL,3,,,2,6,.333,,,,0,0,,,,3,1,,,,3,4,,
18,19,19,1965-11-27,23-244,BAL,STL,-26,,24:00,5,12,.417,,,,1,1,1.000,,,8,1,,,,3,11,,
19,20,20,1965-11-28,23-245,BAL,STL,8,,6:00,1,2,.500,,,,0,0,,,,3,0,,,,1,2,,
20,21,21,1965-12-01,23-248,BAL,NYK,14,,3:00,0,0,,,,,4,6,.667,,,0,0,,,,0,4,,
21,22,22,1965-12-10,23-257,BAL,SFW,18,,,1,,,,,,0,0,,,,,,,,,,2,,
22,23,23,1965-12-11,23-258,BAL,NYK,-23,,15:00,4,9,.444,,,,1,2,.500,,,5,3,,,,5,9,,
23,24,24,1965-12-14,23-261,BAL,DET,13,,,1,,,,,,1,1,1.000,,,,,,,,,3,,
24,25,25,1965-12-18,23-265,BAL,DET,29,,,2,,,,,,1,1,1.000,,,,,,,,,5,,
25,26,26,1965-12-25,23-272,BAL,BOS,-14,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
26,27,27,1965-12-26,23-273,BAL,BOS,-21,,34:00,1,9,.111,,,,4,4,1.000,,,6,2,,,,3,6,,
27,28,28,1965-12-29,23-276,BAL,SFW,33,,,1,,,,,,4,4,1.000,,,,,,,,,6,,
28,29,29,1966-01-02,23-280,BAL,CIN,-31,,,8,,,,,,1,3,.333,,,,,,,,,17,,
29,30,30,1966-01-05,23-283,BAL,STL,13,,8:00,0,0,,,,,4,5,.800,,,2,0,,,,0,4,,
30,31,31,1966-01-06,23-284,BAL,PHI,-6,,,0,1,.000,,,,0,0,,,,0,0,,,,0,0,,
31,32,32,1966-01-08,23-286,BAL,CIN,-11,,,1,3,.333,,,,4,4,1.000,,,2,,,,,4,6,,
32,33,33,1966-01-15,23-293,BAL,DET,-5,,,3,,,,,,5,5,1.000,,,,,,,,,11,,
33,34,34,1966-01-16,23-294,BAL,STL,-8,,23:00,6,11,.545,,,,0,0,,,,4,3,,,,5,12,,
34,35,35,1966-01-18,23-296,BAL,PHI,-11,,23:00,4,7,.571,,,,0,2,.000,,,5,4,,,,4,8,,
35,36,36,1966-01-19,23-297,BAL,BOS,-40,,28:00,7,17,.412,,,,2,5,.400,,,11,2,,,,3,16,,
36,37,37,1966-01-20,23-298,BAL,LAL,2,,,1,1,1.000,,,,0,0,,,,1,0,,,,2,2,,
37,38,38,1966-01-22,23-300,BAL,BOS,25,,,3,,,,,,1,2,.500,,,,,,,,6,7,,
38,39,39,1966-01-28,23-306,BAL,LAL,-15,,,3,4,.750,,,,4,6,.667,,,5,0,,,,1,10,,
39,40,40,1966-01-30,23-308,BAL,LAL,-14,,,4,10,.400,,,,1,2,.500,,,4,3,,,,6,9,,
40,41,41,1966-01-31,23-309,BAL,SFW,-13,,,0,4,.000,,,,3,3,1.000,,,6,1,,,,5,3,,
41,42,42,1966-02-01,23-310,BAL,NYK,-3,,,1,,,,,,0,0,,,,,,,,,,2,,
