,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,215,1,1960-10-19,25-041,LAL,CIN,-17,,,7,11,.636,,,,2,4,.500,,,4,2,,,,1,16,,
1,216,2,1960-10-22,25-044,LAL,STL,-16,,,0,,,,,,1,2,.500,,,,,,,,5,1,,
2,217,3,1960-10-24,25-046,LAL,NYK,-10,,,4,7,.571,,,,0,0,,,,4,,,,,2,8,,
3,218,4,1960-10-28,25-050,LAL,PHW,-2,,,10,20,.500,,,,3,3,1.000,,,7,0,,,,5,23,,
4,219,5,1960-10-29,25-051,LAL,SYR,-7,,,10,,,,,,2,2,1.000,,,,,,,,5,22,,
5,220,6,1960-11-02,25-055,LAL,NYK,10,,,3,,,,,,1,1,1.000,,,,,,,,3,7,,
6,221,7,1960-11-05,25-058,LAL,SYR,2,,,6,,,,,,1,1,1.000,,,,,,,,2,13,,
7,222,8,1960-11-06,25-059,LAL,SYR,6,,,8,,,,,,1,2,.500,,,,,,,,4,17,,
8,223,9,1960-11-09,25-062,LAL,PHW,-7,,,5,16,.313,,,,0,0,,,,8,4,,,,5,10,,
9,224,10,1960-11-12,25-065,LAL,BOS,-7,,,1,,,,,,0,0,,,,,,,,,3,2,,
10,225,11,1960-11-20,25-073,LAL,DET,4,,,3,,,,,,0,0,,,,,,,,,3,6,,
11,226,12,1960-11-22,25-075,LAL,CIN,15,,,2,,,,,,0,0,,,,,,,,,0,4,,
12,227,13,1960-11-23,25-076,LAL,CIN,-4,,,0,,,,,,0,1,.000,,,,,,,,2,0,,
13,228,14,1960-11-24,25-077,LAL,CIN,8,,30:00,5,8,.625,,,,1,1,1.000,,,7,,,,,3,11,,
14,229,15,1960-11-25,25-078,LAL,DET,13,,,3,,,,,,0,1,.000,,,,,,,,3,6,,
15,230,16,1960-11-26,25-079,LAL,STL,-13,,,1,5,.200,,,,2,2,1.000,,,,,,,,3,4,,
16,231,17,1960-11-27,25-080,LAL,PHW,-7,,,10,19,.526,,,,5,5,1.000,,,8,,,,,6,25,,
17,232,18,1960-11-28,25-081,LAL,PHW,25,,,14,19,.737,,,,2,2,1.000,,,15,,,,,3,30,,
18,233,19,1960-11-29,25-082,LAL,PHW,-1,,,8,19,.421,,,,3,3,1.000,,,5,1,,,,3,19,,
19,234,20,1960-12-01,25-084,LAL,PHW,-3,,,5,12,.417,,,,2,3,.667,,,6,0,,,,3,12,,
20,235,21,1960-12-02,25-085,LAL,BOS,3,,41:00,8,15,.533,,,,2,2,1.000,,,,3,,,,4,18,,
21,236,22,1960-12-04,25-087,LAL,BOS,-10,,,3,11,.273,,,,2,2,1.000,,,12,,,,,4,8,,
