,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,214,1,1959-10-17,29-255,BOS,CIN,4,,,3,,,,,,1,2,.500,,,4,,,,,6,7,,
1,215,2,1959-10-24,29-262,BOS,SYR,12,,,4,,,,,,2,2,1.000,,,,,,,,5,10,,
2,216,3,1959-10-31,29-269,BOS,NYK,14,,,4,,,,,,1,1,1.000,,,,,,,,3,9,,
3,217,4,1959-11-01,29-270,BOS,CIN,15,,,2,,,,,,1,4,.250,,,3,,,,,6,5,,
4,218,5,1959-11-03,29-272,BOS,STL,5,,,3,,,,,,0,2,.000,,,,,,,,6,6,,
5,219,6,1959-11-07,29-276,BOS,PHW,9,,,0,1,.000,,,,0,0,,,,7,2,,,,3,0,,
6,220,7,1959-11-20,29-289,BOS,SYR,13,,,3,,,,,,0,0,,,,,,,,,4,6,,
7,221,8,1959-11-21,29-290,BOS,NYK,1,,,3,,,,,,0,0,,,,,,,,,5,6,,
8,222,9,1959-11-25,29-294,BOS,PHW,-10,,,1,6,.167,,,,1,2,.500,,,5,1,,,,2,3,,
9,223,10,1959-11-26,29-295,BOS,PHW,-13,,,1,6,.167,,,,0,0,,,,2,1,,,,2,2,,
10,224,11,1959-11-28,29-297,BOS,DET,26,,,0,,,,,,1,1,1.000,,,,,,,,3,1,,
11,225,12,1959-11-29,29-298,BOS,MNL,16,,,1,,,,,,0,0,,,,,,,,,1,2,,
12,226,13,1959-12-03,29-302,BOS,CIN,3,,,4,,,,,,0,0,,,,5,,,,,6,8,,
13,227,14,1959-12-04,29-303,BOS,NYK,15,,,1,,,,,,0,1,.000,,,,,,,,2,2,,
14,228,15,1959-12-06,29-305,BOS,MNL,17,,,4,,,,,,4,5,.800,,,,,,,,3,12,,
15,229,16,1959-12-08,29-307,BOS,NYK,16,,,3,,,,,,1,1,1.000,,,,,,,,4,7,,
16,230,17,1959-12-09,29-308,BOS,PHW,21,,,3,7,.429,,,,2,3,.667,,,5,1,,,,3,8,,
17,231,18,1959-12-11,29-310,BOS,STL,23,,,3,,,,,,0,0,,,,,,,,,4,6,,
18,232,19,1959-12-12,29-311,BOS,PHW,9,,,0,4,.000,,,,2,2,1.000,,,3,0,,,,5,2,,
19,233,20,1959-12-17,29-316,BOS,NYK,11,,24:00,2,8,.250,,,,2,2,1.000,,,,0,,,,1,6,,
20,234,21,1959-12-19,29-318,BOS,NYK,3,,20:00,1,4,.250,,,,0,0,,,,,1,,,,5,2,,
21,235,22,1959-12-20,29-319,BOS,SYR,5,,18:00,3,7,.429,,,,0,1,.000,,,3,0,,,,3,6,,
22,236,23,1959-12-22,29-321,BOS,DET,32,,,4,,,,,,0,0,,,,,,,,,5,8,,
23,237,24,1959-12-25,29-324,BOS,NYK,4,,,2,,,,,,2,2,1.000,,,,,,,,6,6,,
24,238,25,1959-12-27,29-326,BOS,CIN,11,,,3,,,,,,2,4,.500,,,2,,,,,6,8,,
25,239,26,1959-12-28,29-327,BOS,MNL,3,,22:00,4,12,.333,,,,0,1,.000,,,,0,,,,4,8,,
26,240,27,1959-12-30,29-329,BOS,STL,14,,,4,11,.364,,,,0,1,.000,,,8,,,,,4,8,,
27,241,28,1960-01-01,29-331,BOS,CIN,-13,,,0,,,,,,0,0,,,,2,,,,,1,0,,
