,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,68,1,1959-10-17,26-131,CIN,BOS,-4,,,1,,,,,,2,2,1.000,,,9,,,,,5,4,,
1,69,2,1959-10-24,26-138,CIN,DET,5,,,2,,,,,,4,5,.800,,,6,,,,,4,8,,
2,70,3,1959-10-25,26-139,CIN,MNL,1,,,6,,,,,,0,1,.000,,,5,,,,,5,12,,
3,71,4,1959-10-30,26-144,CIN,SYR,-9,,,6,,,,,,6,9,.667,,,11,,,,,3,18,,
4,72,5,1959-11-07,26-152,CIN,SYR,2,,,1,,,,,,2,2,1.000,,,,,,,,1,4,,
5,73,6,1959-11-08,26-153,CIN,PHW,-28,,,1,3,.333,,,,0,0,,,,3,2,,,,1,2,,
6,74,7,1959-11-11,26-156,CIN,BOS,-33,,,5,,,,,,2,2,1.000,,,8,,,,,2,12,,
7,75,8,1959-11-12,26-157,CIN,PHW,-8,,,7,12,.583,,,,2,2,1.000,,,3,0,,,,5,16,,
8,76,9,1959-11-14,26-159,CIN,DET,-8,,,0,,,,,,0,0,,,,2,,,,,0,0,,
9,77,10,1959-11-15,26-160,CIN,BOS,-6,,,9,,,,,,4,7,.571,,,8,,,,,4,22,,
10,78,11,1959-11-17,26-162,CIN,SYR,-5,,,3,,,,,,0,0,,,,0,,,,,3,6,,
11,79,12,1959-11-18,26-163,CIN,DET,-17,,,6,,,,,,3,4,.750,,,7,,,,,1,15,,
12,80,13,1959-11-19,26-164,CIN,NYK,-21,,,4,,,,,,2,4,.500,,,5,,,,,1,10,,
13,81,14,1959-11-21,26-166,CIN,MNL,-6,,,8,,,,,,3,5,.600,,,13,,,,,3,19,,
14,82,15,1959-11-22,26-167,CIN,STL,6,,,5,,,,,,4,5,.800,,,10,,,,,3,14,,
15,83,16,1959-11-24,26-169,CIN,DET,-13,,,2,,,,,,3,4,.750,,,7,,,,,5,7,,
16,84,17,1959-11-26,26-171,CIN,MNL,19,,,1,,,,,,0,0,,,,1,,,,,3,2,,
17,85,18,1959-11-28,26-173,CIN,SYR,-6,,,4,,,,,,0,,,,,4,,,,,3,8,,
18,86,19,1959-12-02,26-177,CIN,NYK,17,,,0,,,,,,2,2,1.000,,,0,,,,,3,2,,
19,87,20,1959-12-03,26-178,CIN,BOS,-3,,,0,,,,,,0,0,,,,0,,,,,0,0,,
20,88,21,1959-12-05,26-180,NYK,DET,16,,,6,,,,,,5,6,.833,,,,,,,,,17,,
21,89,22,1959-12-08,26-183,NYK,BOS,-16,,,4,,,,,,2,2,1.000,,,,,,,,6,10,,
22,90,23,1959-12-11,26-186,NYK,SYR,31,,,1,,,,,,0,0,,,,,,,,,5,2,,
23,91,24,1959-12-13,26-188,NYK,DET,-18,,,2,,,,,,4,5,.800,,,,,,,,3,8,,
24,92,25,1959-12-15,26-190,NYK,STL,-9,,,0,,,,,,0,0,,,,,,,,,2,0,,
25,93,26,1959-12-16,26-191,NYK,SYR,-3,,,3,,,,,,3,3,1.000,,,,,,,,2,9,,
26,94,27,1959-12-17,26-192,NYK,BOS,-11,,23:00,4,5,.800,,,,1,1,1.000,,,,5,,,,1,9,,
27,95,28,1959-12-19,26-194,NYK,BOS,-3,,28:00,4,7,.571,,,,2,2,1.000,,,,1,,,,1,10,,
28,96,29,1959-12-20,26-195,NYK,CIN,14,,,3,,,,,,0,0,,,,1,,,,,5,6,,
29,97,30,1959-12-22,26-197,NYK,CIN,8,,,5,,,,,,0,0,,,,2,,,,,4,10,,
30,98,31,1959-12-25,26-200,NYK,BOS,-4,,,4,,,,,,1,3,.333,,,,,,,,3,9,,
31,99,32,1959-12-26,26-201,NYK,PHW,6,,,5,11,.455,,,,1,3,.333,,,8,2,,,,5,11,,
32,100,33,1959-12-30,26-205,NYK,DET,15,,,1,,,,,,0,0,,,,,,,,,5,2,,
33,101,34,1959-12-31,26-206,NYK,MNL,25,,,5,,,,,,0,0,,,,,,,,,3,10,,
34,102,35,1960-01-02,26-208,NYK,CIN,8,,,2,,,,,,2,3,.667,,,4,,,,,4,6,,
35,103,36,1960-01-03,26-209,NYK,STL,-2,,,1,,,,,,0,1,.000,,,,,,,,4,2,,
36,104,37,1960-01-05,26-211,NYK,DET,11,,,0,,,,,,3,3,1.000,,,,,,,,5,3,,
37,105,38,1960-01-06,26-212,NYK,CIN,-16,,,3,,,,,,3,5,.600,,,10,,,,,0,9,,
38,106,39,1960-01-10,26-216,NYK,PHW,-13,,,2,9,.222,,,,0,0,,,,4,1,,,,2,4,,
39,107,40,1960-01-12,26-218,NYK,CIN,18,,,3,,,,,,0,1,.000,,,1,,,,,6,6,,
40,108,41,1960-01-13,26-219,NYK,DET,-1,,,5,,,,,,2,3,.667,,,,,,,,2,12,,
41,109,42,1960-01-14,26-220,NYK,MNL,5,,,3,,,,,,2,2,1.000,,,,,,,,2,8,,
42,110,43,1960-01-16,26-222,NYK,CIN,26,,,7,,,,,,1,2,.500,,,7,,,,,4,15,,
43,111,44,1960-01-17,26-223,NYK,SYR,-12,,,1,,,,,,0,0,,,,,,,,,4,2,,
44,112,45,1960-01-19,26-225,NYK,PHW,-21,,,3,7,.429,,,,0,1,.000,,,3,0,,,,2,6,,
45,113,46,1960-01-20,26-226,NYK,BOS,-18,,16:00,1,3,.333,,,,2,4,.500,,,5,0,,,,4,4,,
46,114,47,1960-01-23,26-229,NYK,MNL,11,,,2,,,,,,3,4,.750,,,,,,,,1,7,,
47,115,48,1960-01-24,26-230,NYK,STL,-26,,,4,7,.571,,,,0,0,,,,2,,,,,6,8,,
48,116,49,1960-01-26,26-232,NYK,STL,4,,,0,1,.000,,,,0,2,.000,,,5,,,,,3,0,,
49,117,50,1960-01-27,26-233,NYK,PHW,-12,,,4,11,.364,,,,2,2,1.000,,,5,2,,,,2,10,,
50,118,51,1960-01-29,26-235,NYK,CIN,15,,,2,,,,,,0,0,,,,,,,,,2,4,,
51,119,52,1960-01-30,26-236,NYK,PHW,7,,,3,9,.333,,,,2,2,1.000,,,3,1,,,,1,8,,
52,120,53,1960-02-02,26-239,NYK,SYR,-17,,,4,,,,,,2,4,.500,,,,,,,,3,10,,
53,121,54,1960-02-03,26-240,NYK,STL,-10,,,1,,,,,,0,0,,,,,,,,,6,2,,
54,122,55,1960-02-06,26-243,NYK,BOS,-26,,,2,,,,,,0,0,,,,,,,,,,4,,
55,123,56,1960-02-07,26-244,NYK,BOS,7,,15:00,3,4,.750,,,,0,0,,,,,0,,,,3,6,,
56,124,57,1960-02-09,26-246,NYK,STL,-10,,,2,3,.667,,,,0,0,,,,3,,,,,5,4,,
57,125,58,1960-02-10,26-247,NYK,PHW,8,,,2,3,.667,,,,0,0,,,,3,3,,,,1,4,,
58,126,59,1960-02-11,26-248,NYK,SYR,-7,,,0,,,,,,4,5,.800,,,,,,,,1,4,,
59,127,60,1960-02-13,26-250,NYK,STL,18,,,2,,,,,,0,0,,,,,,,,,5,4,,
60,128,61,1960-02-16,26-253,NYK,SYR,9,,,0,,,,,,0,0,,,,,,,,,1,0,,
61,129,62,1960-02-18,26-255,NYK,BOS,-5,,,5,,,,,,2,4,.500,,,,,,,,5,12,,
62,130,63,1960-02-20,26-257,NYK,SYR,-5,,,6,,,,,,0,2,.000,,,,,,,,6,12,,
63,131,64,1960-02-21,26-258,NYK,PHW,-7,,,5,17,.294,,,,5,5,1.000,,,8,0,,,,2,15,,
64,132,65,1960-02-23,26-260,NYK,MNL,-5,,,6,,,,,,4,,,,,,,,,,,16,,
65,133,66,1960-02-25,26-262,NYK,PHW,-10,,,12,20,.600,,,,3,5,.600,,,12,5,,,,0,27,,
66,134,67,1960-02-27,26-264,NYK,SYR,-3,,,2,,,,,,1,,,,,,,,,,1,5,,
67,135,68,1960-02-28,26-265,NYK,BOS,-4,,,8,,,,,,3,4,.750,,,,,,,,2,19,,
68,136,69,1960-03-01,26-267,NYK,SYR,-3,,,10,,,,,,3,,,,,,,,,,1,23,,
69,137,70,1960-03-02,26-268,NYK,MNL,-10,,,4,,,,,,2,,,,,,,,,,,10,,
70,138,71,1960-03-04,26-270,NYK,PHW,-2,,,4,11,.364,,,,2,2,1.000,,,7,1,,,,5,10,,
71,139,72,1960-03-05,26-271,NYK,SYR,-17,,,0,,,,,,0,,,,,,,,,,1,0,,
72,140,73,1960-03-09,26-275,NYK,BOS,-20,,36:00,4,12,.333,,,,4,7,.571,,,,2,,,,3,12,,
73,141,74,1960-03-10,26-276,NYK,MNL,-25,,,0,,,,,,2,,,,,,,,,,5,2,,
