,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1983-10-28,23-009,IND,MIL,-21,0,12:00,3,6,.500,0,0,,0,0,,3,0,3,3,0,0,0,1,6,6.8,
1,2,2,1983-10-29,23-010,IND,PHI,-12,0,27:00,5,9,.556,0,1,.000,3,3,1.000,7,1,8,2,0,0,1,6,13,11.9,
2,3,3,1983-11-01,23-013,IND,HOU,8,0,11:00,0,0,,0,0,,1,2,.500,0,2,2,1,0,0,0,3,1,0.7,
3,4,4,1983-11-04,23-016,IND,BOS,-16,0,13:00,1,3,.333,0,0,,0,0,,1,0,1,1,0,0,0,1,2,1.3,
4,5,5,1983-11-05,23-017,IND,CLE,12,0,9:00,1,4,.250,0,0,,1,2,.500,1,0,1,0,0,0,0,3,3,-0.3,
5,6,6,1983-11-08,23-020,IND,BOS,-2,0,7:00,2,3,.667,0,0,,0,0,,1,0,1,0,0,0,0,1,4,3.0,
6,7,7,1983-11-10,23-022,IND,NYK,-8,0,7:00,0,1,.000,0,1,.000,1,2,.500,0,0,0,3,2,0,0,0,1,4.0,
7,8,8,1983-11-12,23-024,IND,NJN,10,0,19:00,3,7,.429,0,0,,0,0,,2,1,3,3,1,0,2,1,6,4.7,
8,9,9,1983-11-15,23-027,IND,NYK,-7,0,11:00,2,4,.500,0,0,,0,0,,0,0,0,1,0,0,2,0,4,0.7,
9,10,10,1983-11-17,23-029,IND,WSB,-8,0,14:00,0,0,,0,0,,0,0,,0,0,0,2,0,0,1,0,0,0.4,
10,11,11,1983-11-19,23-031,IND,CHI,-5,0,23:00,4,6,.667,1,2,.500,12,12,1.000,2,0,2,0,1,0,2,1,21,18.4,
11,12,12,1983-11-22,23-034,IND,ATL,-11,0,22:00,2,13,.154,0,2,.000,0,0,,4,3,7,3,2,1,1,2,4,2.4,
12,13,13,1983-11-23,23-035,IND,DET,-2,0,32:00,3,8,.375,0,0,,1,2,.500,4,3,7,4,2,0,5,4,7,4.1,
13,14,14,1983-11-25,23-037,IND,GSW,-5,0,6:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,
14,15,15,1983-11-27,23-039,IND,NYK,10,0,14:00,2,4,.500,0,0,,0,0,,0,2,2,3,0,0,0,0,4,4.7,
15,16,16,1983-11-29,23-041,IND,PHI,-2,0,16:00,1,3,.333,0,0,,0,2,.000,3,2,5,2,2,0,1,0,2,4.6,
16,17,17,1983-12-02,23-044,IND,CLE,-9,0,18:00,3,9,.333,0,1,.000,0,0,,0,0,0,0,2,0,0,2,6,2.1,
17,18,18,1983-12-03,23-045,IND,DET,-18,0,23:00,4,12,.333,0,0,,0,2,.000,1,2,3,1,2,0,1,1,8,3.0,
18,19,19,1983-12-07,23-049,IND,BOS,-5,0,17:00,3,7,.429,0,0,,0,0,,1,3,4,0,4,0,1,0,6,6.9,
19,20,20,1983-12-09,23-051,IND,ATL,6,0,20:00,2,4,.500,0,0,,0,0,,1,1,2,3,0,0,2,4,4,1.5,
20,21,21,1983-12-10,23-052,IND,KCK,-16,0,13:00,2,7,.286,0,0,,2,3,.667,1,0,1,0,0,0,1,0,6,1.2,
21,22,22,1983-12-14,23-056,IND,DAL,-8,0,19:00,3,4,.750,0,0,,2,2,1.000,2,3,5,3,1,0,1,3,8,9.6,
22,23,23,1983-12-16,23-058,IND,SAS,-28,0,26:00,1,6,.167,0,0,,1,2,.500,0,5,5,6,0,0,0,5,3,2.5,
23,24,24,1983-12-17,23-059,IND,HOU,-15,0,7:00,1,3,.333,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,4,2.6,
24,25,25,1983-12-21,23-063,IND,UTA,-18,1,27:00,3,10,.300,0,0,,3,4,.750,1,3,4,2,3,0,3,1,9,5.4,
25,26,26,1983-12-22,23-064,IND,DEN,1,1,21:00,5,6,.833,0,0,,0,0,,0,2,2,1,0,0,3,3,10,4.9,
26,27,27,1983-12-27,23-069,IND,MIL,11,1,30:00,8,14,.571,0,1,.000,0,0,,0,4,4,4,4,1,2,1,16,15.7,
27,28,28,1983-12-30,23-072,IND,NJN,-12,1,14:00,2,3,.667,0,0,,2,2,1.000,0,0,0,0,0,0,2,0,6,2.7,
28,29,29,1984-01-02,23-075,IND,ATL,10,1,38:00,6,12,.500,0,0,,3,4,.750,0,2,2,4,0,0,3,3,15,7.8,
29,30,30,1984-01-04,23-077,IND,CHI,13,1,30:00,5,10,.500,0,0,,1,2,.500,0,2,2,3,1,1,2,3,11,6.8,
30,31,31,1984-01-06,23-079,IND,PHO,16,1,38:00,7,14,.500,0,1,.000,1,1,1.000,1,5,6,5,1,0,0,0,15,14.7,
31,32,32,1984-01-07,23-080,IND,NYK,-37,1,28:00,4,9,.444,0,0,,4,4,1.000,0,1,1,2,1,0,3,3,12,5.8,
32,33,33,1984-01-10,23-083,IND,CHI,-1,1,27:00,3,9,.333,0,0,,2,2,1.000,2,3,5,3,3,0,2,2,8,7.5,
33,34,34,1984-01-11,23-084,IND,DET,-16,1,23:00,0,4,.000,0,0,,2,2,1.000,0,1,1,2,1,0,1,3,2,-0.3,
34,35,35,1984-01-13,23-086,IND,ATL,-9,1,20:00,4,11,.364,0,0,,1,1,1.000,1,0,1,0,2,0,1,3,9,3.4,
35,36,36,1984-01-15,23-088,IND,NJN,-6,1,40:00,7,13,.538,0,1,.000,1,2,.500,1,3,4,6,2,0,1,3,15,13.9,
36,37,37,1984-01-17,23-090,IND,MIL,-20,1,37:00,6,14,.429,0,0,,4,5,.800,3,1,4,5,1,0,2,5,16,11.1,
37,38,38,1984-01-20,23-093,IND,BOS,-7,1,26:00,5,10,.500,0,0,,0,0,,2,4,6,4,0,0,3,4,10,5.8,
38,39,39,1984-01-21,23-094,IND,DAL,-7,1,18:00,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,1,1,0,-1.4,
39,40,40,1984-01-25,23-098,IND,DEN,5,0,4:00,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-1.1,
40,41,41,1984-01-31,23-104,IND,SDC,14,0,10:00,0,2,.000,0,0,,2,2,1.000,0,0,0,1,1,0,1,2,2,0.5,
41,42,42,1984-02-01,23-105,IND,PHI,-8,0,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,1,0,-0.1,
42,43,43,1984-02-03,23-107,IND,BOS,-19,0,18:00,5,7,.714,0,0,,0,1,.000,0,3,3,2,2,0,2,0,10,9.0,
43,44,44,1984-02-04,23-108,IND,WSB,-24,0,26:00,7,11,.636,0,0,,2,2,1.000,,,3,3,,,,2,16,,
44,45,45,1984-02-09,23-113,IND,SEA,5,0,14:00,2,2,1.000,0,0,,0,0,,0,1,1,4,0,1,1,1,4,5.8,
45,46,46,1984-02-11,23-115,IND,CLE,-3,0,16:00,3,8,.375,0,0,,0,0,,2,1,3,5,1,0,1,1,6,6.4,
46,47,47,1984-02-13,23-117,IND,SAS,-9,0,10:00,0,2,.000,0,0,,0,0,,1,0,1,2,2,0,1,1,0,1.3,
47,48,48,1984-02-18,23-122,IND,CLE,25,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
48,49,49,1984-02-22,23-126,IND,CHI,-10,0,8:00,3,4,.750,0,0,,0,2,.000,0,0,0,2,1,0,1,2,6,4.2,
49,50,50,1984-02-26,23-130,IND,POR,2,0,13:00,2,4,.500,0,0,,0,0,,1,1,2,3,0,0,1,2,4,3.3,
50,51,51,1984-03-02,23-135,IND,SEA,-9,0,11:00,4,8,.500,0,0,,1,1,1.000,2,0,2,0,1,0,0,1,9,7.0,
51,52,52,1984-03-03,23-136,IND,POR,-20,0,23:00,1,4,.250,0,0,,7,8,.875,0,4,4,3,0,0,0,2,9,8.7,
52,53,53,1984-03-06,23-139,IND,GSW,-16,0,5:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,
53,54,54,1984-03-07,23-140,IND,SDC,-4,0,5:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,
54,55,55,1984-03-09,23-142,IND,PHO,-20,0,4:00,2,4,.500,0,0,,1,2,.500,0,1,1,1,0,0,0,0,5,3.6,
55,56,56,1984-03-13,23-146,IND,PHI,-15,0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
56,57,57,1984-03-15,23-148,IND,KCK,-1,0,12:00,3,6,.500,0,0,,0,0,,0,1,1,0,0,0,0,2,6,2.5,
57,58,58,1984-03-17,23-150,IND,NJN,-2,0,8:00,3,3,1.000,0,0,,1,2,.500,0,3,3,1,0,0,0,1,7,6.9,
58,59,59,1984-03-23,23-156,IND,CHI,7,0,4:00,0,0,,0,0,,1,2,.500,0,0,0,1,0,0,0,1,1,0.9,
59,60,60,1984-03-24,23-157,IND,MIL,-14,0,8:00,4,6,.667,0,0,,0,0,,1,0,1,0,1,0,1,2,8,5.3,
60,61,61,1984-03-25,23-158,IND,CHI,3,0,4:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,
61,62,62,1984-03-28,23-161,IND,NYK,6,0,11:00,3,5,.600,0,0,,0,0,,0,0,0,0,1,0,0,0,6,4.7,
62,63,63,1984-03-30,23-163,IND,CLE,3,0,12:00,2,6,.333,0,0,,1,2,.500,0,1,1,0,1,0,1,2,5,0.7,
63,64,64,1984-03-31,23-164,IND,CLE,1,0,6:00,2,3,.667,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,6,4.7,
64,65,65,1984-04-03,23-167,IND,WSB,-12,0,23:00,5,8,.625,0,0,,2,4,.500,1,1,2,1,1,0,1,2,12,8.5,
65,66,66,1984-04-04,23-168,IND,NJN,-1,0,19:00,3,4,.750,0,0,,0,0,,0,0,0,1,1,0,0,2,6,5.3,
66,67,67,1984-04-06,23-170,IND,PHI,-6,0,28:00,4,7,.571,0,0,,0,0,,0,2,2,2,0,1,2,2,8,4.6,
67,68,68,1984-04-07,23-171,IND,ATL,-19,0,19:00,3,5,.600,0,0,,0,0,,1,2,3,3,2,0,2,2,6,6.3,
68,69,69,1984-04-10,23-174,IND,DET,-2,0,22:00,3,7,.429,0,0,,0,0,,0,1,1,4,0,1,2,3,6,2.9,
69,70,70,1984-04-11,23-175,IND,ATL,-3,0,18:00,3,6,.500,0,0,,1,2,.500,3,0,3,2,1,0,1,2,7,6.3,
70,71,71,1984-04-13,23-177,IND,WSB,4,0,25:00,2,3,.667,0,0,,4,8,.500,0,5,5,2,2,0,1,1,8,8.6,
71,72,72,1984-04-14,23-178,IND,MIL,-12,0,23:00,2,7,.286,0,1,.000,5,5,1.000,0,0,0,2,1,0,0,3,9,6.1,
