,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,60,1,1990-04-26,26-337,DET,IND,12,1,32:00,4,11,.364,0,0,,4,4,1.000,0,0,0,5,1,0,3,0,12,7.4,
1,61,2,1990-04-28,26-339,DET,IND,13,1,36:00,7,17,.412,0,1,.000,5,6,.833,0,2,2,2,1,0,2,1,19,10.1,
2,62,3,1990-05-01,26-342,DET,IND,12,1,35:00,6,11,.545,0,0,,3,4,.750,0,0,0,6,1,0,4,3,15,9.3,
3,63,4,1990-05-08,26-349,DET,NYK,35,1,32:00,5,10,.500,0,0,,1,1,1.000,0,2,2,4,1,0,2,0,11,8.4,
4,64,5,1990-05-10,26-351,DET,NYK,7,1,41:00,5,11,.455,0,1,.000,4,4,1.000,2,2,4,10,1,0,3,2,14,14.5,
5,65,6,1990-05-12,26-353,DET,NYK,-8,1,37:00,7,18,.389,0,0,,5,7,.714,4,2,6,5,4,0,1,3,19,17.1,
6,66,7,1990-05-13,26-354,DET,NYK,12,1,32:00,5,8,.625,0,0,,7,7,1.000,0,0,0,6,0,0,2,2,17,14.8,
7,67,8,1990-05-15,26-356,DET,NYK,11,1,38:00,5,12,.417,0,0,,4,4,1.000,1,1,2,4,1,0,1,1,14,11.0,
8,68,9,1990-05-20,26-361,DET,CHI,9,1,39:00,12,21,.571,0,1,.000,3,3,1.000,2,1,3,2,1,0,1,1,27,19.8,
9,69,10,1990-05-22,26-363,DET,CHI,9,1,38:00,12,19,.632,1,1,1.000,6,7,.857,1,2,3,3,1,0,3,1,31,23.1,
10,70,11,1990-05-26,27-002,DET,CHI,-5,1,37:00,4,11,.364,0,3,.000,0,0,,0,0,0,4,1,0,1,2,8,3.9,
11,71,12,1990-05-28,27-004,DET,CHI,-7,1,39:00,6,14,.429,2,3,.667,10,11,.909,0,2,2,5,3,0,7,4,24,14.7,
12,72,13,1990-05-30,27-006,DET,CHI,14,1,38:00,7,14,.500,0,1,.000,6,9,.667,1,1,2,2,0,0,2,3,20,11.0,
13,73,14,1990-06-01,27-008,DET,CHI,-18,1,37:00,9,16,.563,0,1,.000,5,6,.833,0,2,2,5,1,0,2,2,23,17.3,
14,74,15,1990-06-03,27-010,DET,CHI,19,1,33:00,2,9,.222,0,0,,3,3,1.000,2,0,2,4,1,0,2,1,7,4.3,
15,75,16,1990-06-05,27-012,DET,POR,6,1,41:00,6,15,.400,0,1,.000,8,9,.889,0,1,1,4,1,0,6,3,20,8.4,
16,76,17,1990-06-07,27-014,DET,POR,-1,1,46:00,6,11,.545,0,0,,4,5,.800,1,5,6,8,0,0,3,3,16,13.9,
17,77,18,1990-06-10,27-017,DET,POR,15,1,43:00,11,22,.500,2,3,.667,9,9,1.000,1,0,1,5,0,0,4,3,33,21.0,
18,78,19,1990-06-12,27-019,DET,POR,3,1,43:00,9,21,.429,0,2,.000,8,8,1.000,0,2,2,4,1,0,3,0,26,16.3,
19,79,20,1990-06-14,27-021,DET,POR,2,1,37:00,2,13,.154,0,1,.000,4,6,.667,3,1,4,7,2,0,2,2,8,5.4,
