,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,28,1,1973-03-30,28-331,GSW,MIL,-20,,17:00,2,9,.222,,,,0,0,,,,3,2,,,,3,4,,
1,29,2,1973-04-01,28-333,GSW,MIL,3,,1:00,0,1,.000,,,,0,0,,,,0,0,,,,1,0,,
2,30,3,1973-04-05,28-337,GSW,MIL,-20,,16:00,4,7,.571,,,,0,0,,,,4,0,,,,2,8,,
3,31,4,1973-04-07,28-339,GSW,MIL,5,,1:00,0,0,,,,,0,0,,,,0,0,,,,0,0,,
4,32,5,1973-04-10,28-342,GSW,MIL,3,,7:00,0,0,,,,,0,0,,,,0,0,,,,0,0,,
5,33,6,1973-04-17,28-349,GSW,LAL,-2,,26:00,3,7,.429,,,,0,0,,,,4,2,,,,1,6,,
6,34,7,1973-04-19,28-351,GSW,LAL,-11,,7:00,1,2,.500,,,,0,0,,,,1,0,,,,4,2,,
7,35,8,1973-04-21,28-353,GSW,LAL,-56,,12:00,1,6,.167,,,,0,0,,,,2,1,,,,6,2,,
8,36,9,1973-04-23,28-355,GSW,LAL,8,,5:00,0,2,.000,,,,0,0,,,,2,0,,,,0,0,,
9,37,10,1973-04-25,28-357,GSW,LAL,-10,,8:00,1,4,.250,,,,0,0,,,,2,2,,,,0,2,,
