,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,109,2,2017-10-20,26-044,BRK,ORL,5,0,18:28,4,6,.667,2,4,.500,0,0,,1,2,3,1,0,0,0,1,10,9.0,+9
1,110,3,2017-10-22,26-046,BRK,ATL,12,0,17:19,2,5,.400,2,3,.667,0,0,,0,3,3,1,1,1,1,3,6,4.4,-2
2,111,4,2017-10-24,26-048,BRK,ORL,-4,0,17:31,2,6,.333,0,3,.000,0,0,,0,0,0,2,1,0,0,0,4,3.0,+5
3,112,5,2017-10-25,26-049,BRK,CLE,5,0,18:02,4,9,.444,3,7,.429,0,0,,0,0,0,0,0,0,0,2,11,5.5,+5
4,113,6,2017-10-27,26-051,BRK,NYK,-21,0,27:09,2,6,.333,2,4,.500,0,0,,0,1,1,1,1,0,0,4,6,3.0,-13
5,114,7,2017-10-29,26-053,BRK,DEN,-13,0,22:49,6,11,.545,4,8,.500,0,0,,1,0,1,1,0,0,0,2,16,11.3,+9
6,115,8,2017-10-31,26-055,BRK,PHO,-8,0,19:11,3,6,.500,0,2,.000,0,1,.000,2,3,5,2,1,0,0,1,6,6.9,+19
7,116,9,2017-11-03,26-058,BRK,LAL,-12,0,22:31,3,7,.429,1,5,.200,3,3,1.000,0,3,3,0,0,0,1,1,10,5.8,-4
8,117,10,2017-11-06,26-061,BRK,PHO,6,0,25:18,7,13,.538,3,7,.429,1,1,1.000,0,3,3,1,1,1,2,3,18,11.8,+5
9,118,11,2017-11-07,26-062,BRK,DEN,-8,0,21:54,2,5,.400,1,3,.333,1,1,1.000,0,3,3,0,2,0,1,0,6,5.2,-8
10,119,12,2017-11-10,26-065,BRK,POR,4,0,21:03,4,9,.444,1,5,.200,1,1,1.000,0,3,3,2,0,2,0,0,10,9.0,-3
11,120,13,2017-11-11,26-066,BRK,UTA,-8,0,23:33,1,3,.333,1,3,.333,0,0,,0,0,0,1,2,0,0,5,3,2.0,-12
12,121,14,2017-11-14,26-069,BRK,BOS,-7,0,19:47,7,14,.500,5,11,.455,0,0,,2,2,4,0,0,0,0,2,19,13.2,-2
13,122,15,2017-11-17,26-072,BRK,UTA,11,0,22:51,3,7,.429,2,6,.333,0,0,,0,3,3,2,2,0,1,4,8,6.0,+14
14,123,16,2017-11-19,26-074,BRK,GSW,-7,0,20:36,1,8,.125,1,8,.125,3,4,.750,0,0,0,0,0,0,0,0,6,0.4,-9
15,124,17,2017-11-22,26-077,BRK,CLE,-10,0,28:43,7,10,.700,4,7,.571,0,2,.000,1,4,5,4,2,1,3,3,18,16.2,+2
16,125,18,2017-11-24,26-079,BRK,POR,-2,0,20:24,4,6,.667,3,5,.600,2,2,1.000,0,2,2,5,0,0,1,3,13,12.3,-3
17,126,19,2017-11-26,26-081,BRK,MEM,10,1,37:06,4,10,.400,4,8,.500,1,2,.500,1,5,6,1,0,1,1,0,13,9.8,+18
18,127,20,2017-11-27,26-082,BRK,HOU,-14,1,28:14,4,11,.364,2,6,.333,0,0,,0,4,4,1,0,0,2,1,10,3.4,-8
19,128,21,2017-11-29,26-084,BRK,DAL,5,1,30:12,4,9,.444,1,5,.200,2,3,.667,0,4,4,2,0,0,0,2,11,7.7,+3
20,129,22,2017-12-02,26-087,BRK,ATL,-12,0,26:02,4,7,.571,4,6,.667,1,1,1.000,0,3,3,3,0,0,3,4,13,8.1,-12
21,130,23,2017-12-04,26-089,BRK,ATL,20,0,31:25,3,6,.500,3,5,.600,2,2,1.000,2,2,4,0,1,0,4,4,11,5.4,+6
22,131,24,2017-12-07,26-092,BRK,OKC,5,0,26:23,2,8,.250,1,5,.200,2,4,.500,1,4,5,1,0,0,1,3,7,1.8,-5
23,132,26,2017-12-12,26-097,BRK,WAS,5,0,26:59,3,8,.375,1,5,.200,0,0,,0,4,4,0,0,0,1,5,7,0.8,-9
24,133,27,2017-12-14,26-099,BRK,NYK,-7,0,21:58,3,9,.333,1,7,.143,0,0,,0,2,2,1,0,0,1,1,7,1.8,-18
25,134,28,2017-12-15,26-100,BRK,TOR,-33,1,30:09,3,8,.375,0,4,.000,0,0,,0,2,2,0,1,0,2,3,6,0.0,-36
26,135,29,2017-12-17,26-102,BRK,IND,-12,0,25:19,6,11,.545,2,5,.400,0,0,,0,1,1,3,0,0,1,2,14,9.3,-14
27,136,30,2017-12-20,26-105,BRK,SAC,-5,0,25:07,5,9,.556,2,4,.500,2,2,1.000,0,1,1,2,1,0,1,0,14,11.4,+6
28,137,31,2017-12-22,26-107,BRK,WAS,35,0,31:46,3,9,.333,1,7,.143,0,0,,1,3,4,7,0,0,0,2,7,7.6,+17
29,138,32,2017-12-23,26-108,BRK,IND,-4,0,19:53,2,5,.400,1,2,.500,0,0,,1,2,3,1,0,1,0,1,5,4.6,+6
30,139,33,2017-12-26,26-111,BRK,SAS,-12,0,25:58,2,5,.400,1,4,.250,0,0,,0,1,1,2,0,0,1,0,5,3.0,-13
31,140,34,2017-12-27,26-112,BRK,NOP,-15,0,17:30,2,6,.333,0,3,.000,0,0,,2,2,4,1,1,0,0,1,4,3.9,-1
32,141,35,2017-12-29,26-114,BRK,MIA,24,0,29:13,7,9,.778,4,4,1.000,3,4,.750,0,7,7,0,0,0,3,2,21,15.4,+16
33,142,36,2017-12-31,26-116,BRK,BOS,-3,0,20:54,4,7,.571,1,3,.333,0,0,,0,3,3,2,1,0,1,1,9,7.6,-1
34,143,37,2018-01-01,26-117,BRK,ORL,3,0,25:54,4,8,.500,1,4,.250,0,0,,0,4,4,0,1,0,2,0,9,5.2,-3
35,144,38,2018-01-03,26-119,BRK,MIN,1,0,27:33,6,7,.857,4,5,.800,1,2,.500,1,3,4,1,0,0,2,0,17,14.4,+4
36,145,39,2018-01-06,26-122,BRK,BOS,-2,0,32:11,4,9,.444,0,3,.000,2,2,1.000,3,9,12,2,0,1,2,3,10,9.0,-1
37,146,40,2018-01-08,26-124,BRK,TOR,-1,1,37:24,4,11,.364,2,5,.400,2,2,1.000,2,4,6,2,0,0,1,5,12,6.9,-7
38,147,41,2018-01-10,26-126,BRK,DET,-34,1,25:28,2,7,.286,2,5,.400,3,3,1.000,0,2,2,1,1,0,1,0,9,6.2,-13
