,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,50,1,1978-10-13,23-032,SEA,CHI,18,,,0,,,,,,0,0,,,,,,,,,,0,,
1,51,2,1978-10-15,23-034,SEA,KCK,10,,,0,,,,,,0,0,,,,,,,,,,0,,
2,52,3,1978-10-17,23-036,SEA,NYK,11,,,4,,,,,,0,0,,,,,,,,,,8,,
3,53,4,1978-10-20,23-039,SEA,SAS,16,,,3,,,,,,0,0,,,,,,,,,,6,,
4,54,5,1978-10-25,23-044,SEA,WSB,29,,,2,,,,,,0,0,,,,,,,,,,4,,
5,55,6,1978-11-03,23-053,SEA,NJN,21,,,2,,,,,,0,0,,,,,,,,,,4,,
6,56,7,1978-11-10,23-060,SEA,CLE,14,,,3,,,,,,2,2,1.000,,,,,,,,,8,,
7,57,8,1978-11-15,23-065,SEA,NOJ,17,,,0,,,,,,0,0,,,,,,,,,,0,,
8,58,9,1978-11-17,23-067,SEA,IND,11,,,3,,,,,,0,0,,,,,,,,,,6,,
9,59,10,1978-11-19,23-069,SEA,POR,3,,,1,,,,,,0,0,,,,,,,,,,2,,
10,60,11,1978-11-22,23-072,SEA,CHI,2,,,2,,,,,,0,0,,,,,,,,,,4,,
11,61,12,1978-11-24,23-074,SEA,DEN,-3,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
12,62,13,1978-11-26,23-076,SEA,HOU,-5,,,0,,,,,,0,0,,,,,,,,,,0,,
13,63,14,1978-11-29,23-079,SEA,NJN,14,,,1,,,,,,0,0,,,,,,,,,,2,,
14,64,15,1978-12-01,23-081,SEA,BOS,-7,,,2,,,,,,0,0,,,,,,,,,,4,,
15,65,16,1978-12-08,23-088,SEA,ATL,1,,,5,,,,,,0,0,,,,,,,,,,10,,
16,66,17,1978-12-10,23-090,SEA,SAS,13,,,3,,,,,,0,0,,,,,,,,,,6,,
17,67,18,1978-12-13,23-093,SEA,LAL,10,,,2,,,,,,0,0,,,,,,,,,,4,,
18,68,19,1978-12-15,23-095,SEA,LAL,-2,,,2,,,,,,0,0,,,,,,,,,,4,,
19,69,20,1978-12-17,23-097,SEA,CLE,-10,,,1,,,,,,0,0,,,,,,,,,,2,,
20,70,21,1978-12-19,23-099,SEA,MIL,-29,,,6,,,,,,2,2,1.000,,,,,,,,,14,,
21,71,22,1978-12-20,23-100,SEA,KCK,-19,,,4,,,,,,4,4,1.000,,,,,,,,,12,,
22,72,23,1978-12-25,23-105,SEA,SDC,-5,,,0,,,,,,0,0,,,,,,,,,,0,,
23,73,24,1978-12-29,23-109,SEA,PHO,27,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
24,74,25,1979-01-03,23-114,SEA,BOS,7,,,1,,,,,,0,0,,,,,,,,,,2,,
25,75,26,1979-01-05,23-116,SEA,DEN,-3,,,0,,,,,,0,0,,,,,,,,,,0,,
26,76,27,1979-01-10,23-121,SEA,IND,20,,,4,,,,,,0,0,,,,,,,,,,8,,
27,77,28,1979-01-11,23-122,SEA,PHO,3,,,1,,,,,,0,0,,,,,,,,,,2,,
28,78,29,1979-01-17,23-128,SEA,IND,10,,,0,,,,,,0,0,,,,,,,,,,0,,
29,79,30,1979-01-20,23-131,SEA,CHI,6,,,1,,,,,,0,0,,,,,,,,,,2,,
30,80,31,1979-01-26,23-137,SEA,SAS,-17,,,0,,,,,,0,0,,,,,,,,,,0,,
31,81,32,1979-02-14,23-156,SEA,ATL,12,,,0,,,,,,0,0,,,,,,,,,,0,,
32,82,33,1979-02-16,23-158,SEA,PHO,15,,,2,,,,,,0,0,,,,,,,,,,4,,
33,83,34,1979-02-20,23-162,SEA,SAS,-16,,,2,,,,,,0,0,,,,,,,,,,4,,
34,84,35,1979-02-21,23-163,SEA,NOJ,2,,,0,,,,,,0,0,,,,,,,,,,0,,
35,85,36,1979-02-23,23-165,SEA,WSB,-22,,,4,,,,,,0,0,,,,,,,,,,8,,
36,86,37,1979-02-25,23-167,SEA,KCK,-8,,,2,,,,,,0,0,,,,,,,,,,4,,
37,87,38,1979-02-27,23-169,SEA,DEN,-15,,,1,,,,,,0,0,,,,,,,,,,2,,
38,88,39,1979-02-28,23-170,SEA,PHI,4,,,3,,,,,,4,4,1.000,,,,,,,,,10,,
39,89,40,1979-03-02,23-172,SEA,CLE,-2,,,2,,,,,,0,0,,,,,,,,,,4,,
40,90,41,1979-03-04,23-174,SEA,HOU,10,,,1,,,,,,0,0,,,,,,,,,,2,,
41,91,42,1979-03-07,23-177,SEA,DET,6,,,0,,,,,,0,0,,,,,,,,,,0,,
42,92,43,1979-03-09,23-179,SEA,NJN,8,,,0,,,,,,0,0,,,,,,,,,,0,,
43,93,44,1979-03-11,23-181,SEA,ATL,-2,,,0,,,,,,0,0,,,,,,,,,,0,,
44,94,45,1979-03-15,23-185,SEA,CLE,6,,,3,,,,,,1,1,1.000,,,,,,,,,7,,
45,95,46,1979-03-17,23-187,SEA,CHI,18,,,0,,,,,,0,0,,,,,,,,,,0,,
46,96,47,1979-03-22,23-192,SEA,BOS,2,,,3,,,,,,0,0,,,,,,,,,,6,,
47,97,48,1979-03-25,23-195,SEA,KCK,10,,,0,,,,,,0,0,,,,,,,,,,0,,
48,98,49,1979-03-28,23-198,SEA,NYK,6,,,1,,,,,,0,0,,,,,,,,,,2,,
49,99,50,1979-03-30,23-200,SEA,PHO,-2,,,1,,,,,,0,0,,,,,,,,,,2,,
50,100,51,1979-03-31,23-201,SEA,DET,21,,,8,,,,,,2,2,1.000,,,,,,,,,18,,
51,101,52,1979-04-01,23-202,SEA,GSW,5,,,1,,,,,,0,0,,,,,,,,,,2,,
52,102,53,1979-04-03,23-204,SEA,POR,-4,,,2,,,,,,0,0,,,,,,,,,,4,,
53,103,54,1979-04-04,23-205,SEA,SDC,8,,,2,,,,,,0,0,,,,,,,,,,4,,
54,104,55,1979-04-06,23-207,SEA,LAL,20,,,0,,,,,,0,0,,,,,,,,,,0,,
55,105,56,1979-04-08,23-209,SEA,GSW,-3,,,6,,,,,,4,4,1.000,,,,,,,,,16,,
