,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1956-10-27,22-244,SYR,PHW,6,,,0,,,,,,0,0,,,,,,,,,1,0,,
1,2,2,1956-10-28,22-245,SYR,ROC,16,,,3,8,.375,,,,5,10,.500,,,9,1,,,,1,11,,
2,3,3,1956-11-03,22-251,SYR,STL,2,,,0,,,,,,4,4,1.000,,,,,,,,2,4,,
3,4,4,1956-11-04,22-252,SYR,STL,-2,,,1,8,.125,,,,4,4,1.000,,,6,1,,,,3,6,,
4,5,5,1956-11-10,22-258,SYR,ROC,-14,,,2,,,,,,8,9,.889,,,,,,,,4,12,,
5,6,6,1956-11-11,22-259,SYR,BOS,-11,,,0,4,.000,,,,0,0,,,,4,1,,,,4,0,,
6,7,7,1956-11-15,22-263,SYR,MNL,-7,,,0,1,.000,,,,4,4,1.000,,,2,1,,,,1,4,,
7,8,8,1956-11-17,22-265,SYR,PHW,-13,,,1,,,,,,0,0,,,,,,,,,1,2,,
8,9,9,1956-11-18,22-266,SYR,PHW,2,,,1,2,.500,,,,0,2,.000,,,0,1,,,,2,2,,
9,10,10,1956-11-20,22-268,SYR,STL,-23,,,1,,,,,,3,4,.750,,,,,,,,5,5,,
10,11,11,1956-11-22,22-270,SYR,MNL,-33,,,1,,,,,,4,4,1.000,,,,,,,,3,6,,
11,12,12,1956-11-24,22-272,SYR,BOS,-15,,,4,8,.500,,,,1,3,.333,,,,,,,,5,9,,
12,13,13,1956-11-27,22-275,SYR,ROC,-8,,,3,,,,,,1,1,1.000,,,,,,,,1,7,,
13,14,14,1956-11-29,22-277,SYR,FTW,-5,,,3,,,,,,1,1,1.000,,,,,,,,2,7,,
14,15,15,1956-12-01,22-279,SYR,NYK,-17,,,0,,,,,,0,0,,,,,,,,,1,0,,
15,16,16,1956-12-02,22-280,SYR,NYK,10,,28:00,2,13,.154,,,,5,7,.714,,,5,2,,,,3,9,,
16,17,17,1956-12-04,22-282,SYR,FTW,1,,,0,,,,,,2,2,1.000,,,,,,,,3,2,,
17,18,18,1956-12-06,22-284,SYR,FTW,-12,,,5,,,,,,3,4,.750,,,,,,,,5,13,,
18,19,19,1956-12-07,22-285,SYR,FTW,-8,,,5,5,1.000,,,,6,8,.750,,,,,,,,2,16,,
19,20,20,1956-12-09,22-287,SYR,BOS,6,,13:00,3,11,.273,,,,1,1,1.000,,,3,0,,,,3,7,,
20,21,21,1956-12-15,22-293,SYR,PHW,-9,,,4,,,,,,3,5,.600,,,,,,,,1,11,,
21,22,22,1956-12-16,22-294,SYR,STL,10,,18:00,1,1,1.000,,,,4,5,.800,,,3,1,,,,2,6,,
22,23,23,1956-12-23,22-301,SYR,MNL,10,,15:00,5,14,.357,,,,1,1,1.000,,,3,2,,,,6,11,,
23,24,24,1956-12-25,22-303,SYR,ROC,-5,,,2,,,,,,4,,,,,,,,,,4,8,,
24,25,25,1956-12-27,22-305,SYR,STL,-7,,,4,,,,,,1,,,,,,,,,,3,9,,
25,26,26,1956-12-29,22-307,SYR,PHW,1,,,0,,,,,,4,,,,,,,,,,4,4,,
26,27,27,1956-12-30,22-308,SYR,BOS,-13,,,1,,,,,,0,1,.000,,,,,,,,1,2,,
27,28,28,1957-01-01,22-310,SYR,NYK,4,,,1,,,,,,2,2,1.000,,,,,,,,3,4,,
28,29,29,1957-01-03,22-312,SYR,NYK,-15,,,1,,,,,,0,0,,,,,,,,,1,2,,
29,30,30,1957-01-04,22-313,SYR,BOS,10,,,3,,,,,,4,,,,,,,,,,2,10,,
30,31,31,1957-01-06,22-315,SYR,PHW,5,,,2,,,,,,9,11,.818,,,,,,,,3,13,,
31,32,32,1957-01-09,22-318,SYR,MNL,-7,,,1,,,,,,5,6,.833,,,,,,,,3,7,,
32,33,33,1957-01-10,22-319,SYR,MNL,-8,,,6,,,,,,1,3,.333,,,,,,,,3,13,,
33,34,34,1957-01-12,22-321,SYR,ROC,9,,,0,,,,,,6,6,1.000,,,,,,,,0,6,,
34,35,35,1957-01-13,22-322,SYR,ROC,6,,,1,,,,,,2,4,.500,,,,,,,,1,4,,
35,36,36,1957-01-17,22-326,SYR,PHW,5,,,0,,,,,,0,0,,,,,,,,,1,0,,
36,37,37,1957-01-18,22-327,SYR,PHW,-2,,,0,,,,,,1,1,1.000,,,,,,,,0,1,,
37,38,38,1957-01-19,22-328,SYR,STL,-8,,,0,,,,,,0,0,,,,,,,,,0,0,,
38,39,39,1957-01-20,22-329,SYR,FTW,3,,,1,,,,,,2,2,1.000,,,,,,,,2,4,,
39,40,40,1957-01-22,22-331,SYR,NYK,-2,,,1,,,,,,4,5,.800,,,,,,,,1,6,,
40,41,41,1957-01-23,22-332,SYR,BOS,-32,,,4,,,,,,1,1,1.000,,,,,,,,5,9,,
41,42,42,1957-01-24,22-333,SYR,NYK,18,,,3,,,,,,3,3,1.000,,,,,,,,2,9,,
42,43,43,1957-01-26,22-335,SYR,ROC,4,,,7,,,,,,8,9,.889,,,,,,,,6,22,,
43,44,44,1957-01-27,22-336,SYR,MNL,1,,,4,,,,,,2,3,.667,,,,,,,,5,10,,
44,45,45,1957-01-28,22-337,SYR,MNL,16,,,1,,,,,,0,0,,,,,,,,,1,2,,
45,46,46,1957-01-30,22-339,SYR,BOS,3,,,0,,,,,,2,2,1.000,,,,,,,,0,2,,
46,47,47,1957-01-31,22-340,SYR,BOS,1,,,1,,,,,,0,1,.000,,,,,,,,1,2,,
47,48,48,1957-02-02,22-342,SYR,PHW,-7,,,2,,,,,,12,13,.923,,,,,,,,2,16,,
48,49,49,1957-02-03,22-343,SYR,FTW,9,,,3,,,,,,3,4,.750,,,,,,,,2,9,,
49,50,50,1957-02-05,22-345,SYR,BOS,-4,,,3,,,,,,0,0,,,,,,,,,3,6,,
50,51,51,1957-02-06,22-346,SYR,NYK,-19,,,5,,,,,,0,0,,,,,,,,,4,10,,
51,52,52,1957-02-07,22-347,SYR,STL,2,,,2,,,,,,9,10,.900,,,,,,,,6,13,,
52,53,53,1957-02-09,22-349,SYR,NYK,12,,,4,,,,,,5,6,.833,,,,,,,,0,13,,
53,54,54,1957-02-10,22-350,SYR,NYK,2,,,1,,,,,,3,4,.750,,,,,,,,1,5,,
54,55,55,1957-02-11,22-351,SYR,STL,-6,,,3,,,,,,5,5,1.000,,,,,,,,1,11,,
55,56,56,1957-02-14,22-354,SYR,ROC,-9,,,2,,,,,,0,0,,,,,,,,,3,4,,
56,57,57,1957-02-21,22-361,SYR,PHW,6,,,3,,,,,,0,1,.000,,,,,,,,1,6,,
57,58,58,1957-02-23,22-363,SYR,MNL,2,,,1,,,,,,0,0,,,,,,,,,1,2,,
58,59,59,1957-02-24,22-364,SYR,ROC,16,,,1,,,,,,2,2,1.000,,,,,,,,3,4,,
59,60,60,1957-02-25,22-365,SYR,FTW,-6,,,8,,,,,,4,6,.667,,,,,,,,4,20,,
60,61,61,1957-02-26,23-000,SYR,MNL,12,,,3,,,,,,5,5,1.000,,,,,,,,6,11,,
61,62,62,1957-02-27,23-001,SYR,STL,15,,,2,,,,,,4,4,1.000,,,,,,,,6,8,,
62,63,63,1957-02-28,23-002,SYR,FTW,11,,,2,,,,,,1,1,1.000,,,,,,,,2,5,,
63,64,64,1957-03-02,23-004,SYR,PHW,-13,,,6,,,,,,2,3,.667,,,,,,,,3,14,,
64,65,65,1957-03-03,23-005,SYR,PHW,26,,,2,,,,,,3,3,1.000,,,,,,,,1,7,,
65,66,66,1957-03-05,23-007,SYR,NYK,7,,,2,,,,,,6,9,.667,,,,,,,,2,10,,
66,67,67,1957-03-06,23-008,SYR,NYK,-7,,,4,,,,,,0,0,,,,,,,,,3,8,,
67,68,68,1957-03-07,23-009,SYR,NYK,-5,,,3,,,,,,6,,,,,,,,,,4,12,,
68,69,69,1957-03-09,23-011,SYR,BOS,2,,,2,,,,,,4,4,1.000,,,,,,,,0,8,,
69,70,70,1957-03-10,23-012,SYR,BOS,2,,,6,,,,,,5,6,.833,,,,,,,,5,17,,
70,71,71,1957-03-13,23-015,SYR,FTW,-33,,,1,,,,,,4,4,1.000,,,,,,,,1,6,,
