,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,12,1,2011-04-16,28-250,MIA,PHI,8,0,26:21,0,3,.000,0,0,,3,4,.750,3,1,4,0,0,1,2,3,3,0.4,+7
1,13,2,2011-04-18,28-252,MIA,PHI,21,0,26:46,1,3,.333,0,0,,2,4,.500,3,3,6,0,1,3,0,2,4,6.8,+15
2,14,3,2011-04-21,28-255,MIA,PHI,6,0,29:16,2,6,.333,0,0,,0,0,,1,3,4,1,0,1,0,3,4,2.4,+15
3,15,4,2011-04-24,28-258,MIA,PHI,-4,0,33:59,0,2,.000,0,0,,2,2,1.000,2,5,7,0,0,0,1,0,2,2.5,+18
4,16,5,2011-04-27,28-261,MIA,PHI,6,0,38:59,0,0,,0,0,,4,4,1.000,1,4,5,0,0,2,1,1,4,5.9,+17
5,17,6,2011-05-01,28-265,MIA,BOS,9,0,31:11,0,1,.000,0,0,,2,2,1.000,1,4,5,1,0,2,2,4,2,1.7,+15
6,18,7,2011-05-03,28-267,MIA,BOS,11,0,34:31,1,2,.500,0,0,,4,4,1.000,2,3,5,1,0,3,0,3,6,8.9,+5
7,19,8,2011-05-07,28-271,MIA,BOS,-16,0,36:53,6,7,.857,0,0,,0,0,,4,7,11,0,1,1,1,0,12,15.1,+5
8,20,9,2011-05-09,28-273,MIA,BOS,8,1,30:39,2,2,1.000,0,0,,0,0,,0,4,4,1,0,2,2,2,4,3.9,0
9,21,10,2011-05-11,28-275,MIA,BOS,10,1,23:55,0,3,.000,0,0,,1,2,.500,1,5,6,0,0,1,0,5,1,-0.6,+5
10,22,11,2011-05-15,28-279,MIA,CHI,-21,1,30:35,0,1,.000,0,0,,0,0,,2,4,6,0,1,3,0,3,0,3.8,-8
11,23,12,2011-05-18,28-282,MIA,CHI,10,1,22:28,0,1,.000,0,0,,0,0,,1,1,2,1,1,1,2,4,0,-0.9,+16
12,24,13,2011-05-22,28-286,MIA,CHI,11,1,29:03,1,2,.500,0,0,,1,2,.500,1,3,4,2,0,5,0,3,3,6.9,+4
13,25,14,2011-05-24,28-288,MIA,CHI,8,1,29:08,0,0,,0,0,,2,4,.500,1,4,5,1,2,4,1,4,2,6.0,-14
14,26,15,2011-05-26,28-290,MIA,CHI,3,1,27:40,1,2,.500,0,0,,1,3,.333,0,2,2,0,1,2,0,3,3,3.0,-12
15,27,16,2011-05-31,28-295,MIA,DAL,8,1,17:52,0,1,.000,0,0,,0,0,,1,2,3,0,0,1,1,2,0,-0.5,-5
16,28,17,2011-06-02,28-297,MIA,DAL,-2,1,26:49,0,0,,0,0,,0,0,,0,1,1,0,0,3,0,3,0,1.2,+2
17,29,18,2011-06-05,28-300,MIA,DAL,2,1,23:05,1,4,.250,0,0,,0,0,,4,2,6,1,1,2,0,2,2,5.3,+3
18,30,19,2011-06-07,28-302,MIA,DAL,-3,1,28:25,2,6,.333,0,0,,0,0,,5,3,8,1,0,1,0,4,4,4.8,-8
19,31,20,2011-06-09,28-304,MIA,DAL,-9,1,16:12,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,3,2,0.5,-9
20,32,21,2011-06-12,28-307,MIA,DAL,-10,1,10:55,0,2,.000,0,0,,0,0,,2,1,3,0,0,0,0,0,0,0.3,-3
