,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,32,1,2017-10-18,23-216,PHI,WAS,-5,1,26:57,7,15,.467,0,4,.000,4,4,1.000,1,12,13,3,0,1,4,2,18,12.6,+1
1,33,2,2017-10-20,23-218,PHI,BOS,-10,1,28:02,4,16,.250,0,6,.000,3,3,1.000,2,12,14,3,1,2,3,1,11,7.5,-4
2,34,4,2017-10-23,23-221,PHI,DET,11,1,28:11,11,15,.733,1,1,1.000,7,8,.875,0,9,9,0,2,0,7,5,30,19.2,+21
3,35,5,2017-10-25,23-223,PHI,HOU,-1,1,24:58,8,13,.615,1,2,.500,4,5,.800,0,6,6,3,1,2,3,3,21,16.8,-1
4,36,6,2017-10-28,23-226,PHI,DAL,2,1,29:21,8,19,.421,3,7,.429,4,6,.667,3,6,9,4,0,0,7,4,23,10.2,-4
5,37,7,2017-10-30,23-228,PHI,HOU,8,1,24:56,9,12,.750,0,1,.000,4,6,.667,2,7,9,5,2,1,3,5,22,21.1,+17
6,38,8,2017-11-01,23-230,PHI,ATL,10,1,30:15,9,16,.563,1,3,.333,2,5,.400,2,10,12,6,3,3,2,4,21,22.3,+2
7,39,9,2017-11-03,23-232,PHI,IND,11,1,27:49,7,15,.467,0,1,.000,4,5,.800,2,7,9,5,2,2,6,4,18,12.7,+12
8,40,11,2017-11-09,23-238,PHI,SAC,-1,1,32:19,7,20,.350,1,4,.250,7,8,.875,3,12,15,2,0,3,5,3,22,13.4,+9
9,41,12,2017-11-11,23-240,PHI,GSW,-21,1,25:10,4,11,.364,0,1,.000,4,4,1.000,3,4,7,2,1,1,7,2,12,4.5,-9
10,42,13,2017-11-13,23-242,PHI,LAC,4,1,35:48,11,20,.550,1,5,.200,9,16,.563,2,14,16,2,0,1,4,4,32,21.7,+23
11,43,14,2017-11-15,23-244,PHI,LAL,6,1,34:29,14,20,.700,2,3,.667,16,19,.842,2,13,15,7,0,7,2,4,46,47.9,+19
12,44,15,2017-11-18,23-247,PHI,GSW,-8,1,33:23,7,16,.438,1,4,.250,6,8,.750,2,6,8,3,0,1,5,4,21,11.2,-10
13,45,16,2017-11-20,23-249,PHI,UTA,21,1,26:59,7,17,.412,0,3,.000,1,4,.250,2,9,11,3,0,2,2,2,15,9.5,+16
14,46,17,2017-11-22,23-251,PHI,POR,20,1,30:09,11,19,.579,1,3,.333,5,5,1.000,3,9,12,1,0,2,4,5,28,20.0,+9
15,47,18,2017-11-25,23-254,PHI,ORL,19,1,28:34,7,17,.412,1,1,1.000,3,4,.750,4,10,14,6,0,0,5,3,18,12.3,+12
16,48,19,2017-11-27,23-256,PHI,CLE,-22,1,32:49,11,24,.458,0,2,.000,8,9,.889,5,6,11,0,0,0,1,4,30,19.9,-23
17,49,20,2017-11-29,23-258,PHI,WAS,5,1,32:11,6,15,.400,0,0,,13,18,.722,7,7,14,4,1,4,3,6,25,23.1,+3
18,50,22,2017-12-02,23-261,PHI,DET,5,1,31:48,7,21,.333,0,3,.000,11,12,.917,5,5,10,0,1,0,6,4,25,11.1,+1
19,51,23,2017-12-04,23-263,PHI,PHO,-14,1,34:02,7,18,.389,0,0,,8,8,1.000,2,10,12,2,0,4,0,1,22,20.4,-11
20,52,24,2017-12-07,23-266,PHI,LAL,-3,1,36:21,11,17,.647,2,3,.667,9,10,.900,1,6,7,6,1,5,4,5,33,30.3,+14
21,53,27,2017-12-12,23-271,PHI,MIN,6,1,39:26,8,16,.500,1,1,1.000,11,12,.917,1,11,12,8,0,1,2,5,28,25.9,+18
22,54,28,2017-12-15,23-274,PHI,OKC,-2,1,48:39,11,20,.550,0,3,.000,12,13,.923,0,8,8,6,0,2,7,3,34,23.8,+6
23,55,32,2017-12-23,23-282,PHI,TOR,-16,1,22:57,5,13,.385,1,4,.250,3,4,.750,0,8,8,2,0,3,5,2,14,6.6,-19
24,56,33,2017-12-25,23-284,PHI,NYK,7,1,34:29,8,17,.471,2,3,.667,7,8,.875,3,13,16,3,0,3,6,3,25,18.9,+25
25,57,34,2017-12-28,23-287,PHI,POR,-4,1,34:52,9,21,.429,6,12,.500,5,8,.625,1,8,9,3,0,1,4,4,29,17.0,0
26,58,36,2017-12-31,23-290,PHI,PHO,13,1,31:15,8,14,.571,0,3,.000,6,8,.750,1,8,9,5,1,2,7,5,22,14.6,+32
27,59,37,2018-01-03,23-293,PHI,SAS,6,1,35:20,6,12,.500,0,2,.000,9,11,.818,2,9,11,4,1,4,3,3,21,20.7,+16
28,60,38,2018-01-05,23-295,PHI,DET,36,1,24:31,9,16,.563,1,2,.500,4,5,.800,2,7,9,0,0,1,1,3,23,17.0,+26
29,61,39,2018-01-11,23-301,PHI,BOS,-11,1,30:34,6,17,.353,1,5,.200,2,3,.667,0,10,10,5,2,1,4,2,15,9.5,-7
30,62,40,2018-01-15,23-305,PHI,TOR,6,1,34:28,11,21,.524,1,5,.200,11,14,.786,5,6,11,3,0,1,7,4,34,22.0,-2
31,63,41,2018-01-18,23-308,PHI,BOS,9,1,34:55,10,19,.526,0,1,.000,6,7,.857,3,13,16,6,1,2,4,4,26,23.3,+10
32,64,42,2018-01-20,23-310,PHI,MIL,22,1,32:26,11,19,.579,2,5,.400,5,6,.833,0,9,9,1,1,2,5,2,29,19.7,+16
33,65,43,2018-01-22,23-312,PHI,MEM,-4,1,31:49,5,13,.385,0,2,.000,5,9,.556,5,9,14,1,0,0,4,4,15,7.6,-5
34,66,44,2018-01-24,23-314,PHI,CHI,14,1,31:38,10,17,.588,1,2,.500,1,1,1.000,0,5,5,3,0,2,3,3,22,14.9,+9
35,67,45,2018-01-26,23-316,PHI,SAS,19,1,29:20,6,15,.400,1,2,.500,5,8,.625,3,10,13,3,1,0,0,3,18,15.7,+21
