,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1971-10-12,21-361,CIN,ATL,14,,,2,,,,,,0,0,,,,,,,,,,4,,
1,2,2,1971-10-23,22-007,CIN,POR,-4,,,4,,,,,,2,2,1.000,,,,,,,,,10,,
2,3,3,1971-10-24,22-008,CIN,SEA,-18,,,5,,,,,,0,0,,,,,,,,,,10,,
3,4,4,1971-10-26,22-010,CIN,PHO,-27,,,4,,,,,,9,11,.818,,,,,,,,,17,,
4,5,5,1971-10-29,22-013,CIN,LAL,-12,,,3,,,,,,1,2,.500,,,,,,,,,7,,
5,6,6,1971-10-30,22-014,CIN,GSW,-4,,,6,,,,,,3,4,.750,,,,,,,,,15,,
6,7,7,1971-11-03,22-018,CIN,PHI,24,,,4,,,,,,6,8,.750,,,,,,,,,14,,
7,8,8,1971-11-06,22-021,CIN,PHO,15,,,0,,,,,,0,0,,,,,,,,,,0,,
8,9,9,1971-11-08,22-023,CIN,BOS,-11,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
9,10,10,1971-11-10,22-025,CIN,NYK,14,,,1,,,,,,1,1,1.000,,,,,,,,,3,,
10,11,11,1971-11-13,22-028,CIN,GSW,9,,,3,,,,,,5,5,1.000,,,,,,,,,11,,
11,12,12,1971-11-16,22-031,CIN,BUF,-4,,,2,,,,,,4,4,1.000,,,,,,,,,8,,
12,13,13,1971-11-17,22-032,CIN,BAL,-10,,,4,,,,,,6,6,1.000,,,,,,,,,14,,
13,14,14,1971-11-19,22-034,CIN,BOS,4,,,7,,,,,,2,3,.667,,,,,,,,,16,,
14,15,15,1971-11-23,22-038,CIN,NYK,-15,,,3,,,,,,5,5,1.000,,,,,,,,,11,,
15,16,16,1971-11-24,22-039,CIN,POR,2,,,0,,,,,,0,0,,,,,,,,,,0,,
16,17,17,1971-11-26,22-041,CIN,CLE,-14,,,3,,,,,,3,4,.750,,,,,,,,,9,,
