,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,361,1,2007-10-31,27-323,SAC,NOH,-14,1,44:46,10,19,.526,0,0,,2,3,.667,1,1,2,9,3,0,3,2,22,18.8,-15
1,362,2,2007-11-02,27-325,SAC,SAS,-16,1,28:53,5,10,.500,0,0,,4,4,1.000,2,7,9,6,0,2,4,4,14,12.5,-6
2,363,3,2007-11-03,27-326,SAC,DAL,-21,1,40:09,10,18,.556,0,1,.000,7,7,1.000,3,2,5,4,1,0,4,1,27,20.5,-17
3,364,4,2007-11-06,27-329,SAC,SEA,6,1,43:06,7,15,.467,1,3,.333,8,9,.889,2,3,5,2,2,0,3,1,23,17.2,+18
4,365,5,2007-11-09,27-332,SAC,CLE,-2,1,41:12,5,13,.385,1,2,.500,7,7,1.000,0,2,2,1,2,0,1,3,18,12.0,-1
5,366,6,2007-11-10,27-333,SAC,MIN,7,1,31:59,6,13,.462,1,2,.500,6,6,1.000,0,2,2,2,3,0,2,2,19,14.5,+4
6,367,7,2007-11-12,27-335,SAC,UTA,-24,1,35:18,8,16,.500,3,3,1.000,3,4,.750,2,0,2,4,1,0,1,5,22,15.8,-15
7,368,8,2007-11-14,27-337,SAC,MIN,-5,0,26:46,2,4,.500,0,1,.000,0,0,,0,1,1,4,0,0,1,1,4,3.7,-3
8,369,9,2007-11-16,27-339,SAC,NYK,5,0,39:39,5,11,.455,0,1,.000,6,8,.750,1,6,7,4,0,1,4,5,16,9.5,-2
9,370,10,2007-11-18,27-341,SAC,DET,10,0,18:54,2,4,.500,0,0,,2,3,.667,0,0,0,1,0,0,2,1,6,1.9,-5
10,371,11,2007-11-20,27-343,SAC,PHO,-2,0,32:35,3,7,.429,0,3,.000,3,4,.750,1,7,8,2,1,0,3,2,9,6.3,+6
11,372,12,2007-11-21,27-344,SAC,PHO,-16,1,41:29,7,17,.412,0,2,.000,7,15,.467,3,7,10,1,0,0,3,5,21,8.6,-3
12,373,13,2007-11-23,27-346,SAC,POR,-3,0,20:34,1,3,.333,0,0,,0,0,,0,4,4,1,0,1,1,1,2,1.5,-12
13,374,14,2007-11-26,27-349,SAC,SAS,13,0,27:22,4,9,.444,1,1,1.000,3,3,1.000,1,5,6,0,2,1,0,4,12,10.6,+8
14,375,15,2007-11-28,27-351,SAC,GSW,-7,0,25:26,0,3,.000,0,1,.000,4,4,1.000,2,1,3,1,2,1,2,2,4,4.2,+3
15,376,16,2007-12-01,27-354,SAC,HOU,8,0,28:38,5,7,.714,0,0,,3,3,1.000,0,4,4,4,1,0,0,3,13,13.9,+4
16,377,17,2007-12-04,27-357,SAC,UTA,10,0,27:09,6,9,.667,0,0,,9,11,.818,1,5,6,2,1,0,0,1,21,20.5,+12
17,378,18,2007-12-07,27-360,SAC,LAC,-10,1,41:11,4,13,.308,1,2,.500,1,1,1.000,1,9,10,5,1,0,3,4,10,5.8,-11
18,379,19,2007-12-08,27-361,SAC,DEN,-4,1,36:10,9,14,.643,2,3,.667,5,5,1.000,1,5,6,3,4,0,7,2,25,19.3,+3
19,380,20,2007-12-10,27-363,SAC,MIL,3,1,37:35,9,14,.643,3,3,1.000,1,2,.500,1,2,3,5,1,2,2,1,22,20.2,+8
20,381,21,2007-12-12,28-000,SAC,BOS,-12,1,37:53,3,8,.375,1,2,.500,3,3,1.000,1,2,3,1,2,2,2,2,10,8.2,-22
21,382,22,2007-12-14,28-002,SAC,PHI,10,1,40:01,8,16,.500,1,1,1.000,2,3,.667,1,2,3,5,1,0,5,1,19,11.0,+11
22,383,23,2007-12-15,28-003,SAC,WAS,-13,1,32:23,3,6,.500,0,1,.000,4,6,.667,0,7,7,1,1,0,3,2,10,6.2,-17
23,384,24,2007-12-18,28-006,SAC,NJN,5,1,43:24,13,18,.722,2,3,.667,3,5,.600,2,2,4,7,3,0,2,5,31,28.7,+12
24,385,25,2007-12-19,28-007,SAC,MIL,13,1,39:24,6,14,.429,1,2,.500,4,5,.800,2,3,5,4,2,0,0,2,17,15.5,+18
25,386,26,2007-12-23,28-011,SAC,DEN,-1,1,38:58,5,17,.294,1,3,.333,3,3,1.000,0,6,6,3,1,1,0,3,14,8.5,-14
26,387,27,2007-12-26,28-014,SAC,BOS,-20,1,41:25,6,11,.545,1,1,1.000,0,2,.000,0,4,4,3,2,2,4,3,13,8.4,-16
27,388,28,2007-12-28,28-016,SAC,PHI,-12,1,43:14,8,19,.421,1,4,.250,5,5,1.000,1,0,1,2,0,0,5,4,22,7.4,-15
28,389,29,2007-12-30,28-018,SAC,PHO,-15,1,42:56,9,18,.500,1,3,.333,4,4,1.000,2,5,7,3,2,0,5,3,23,14.8,-10
29,390,30,2008-01-02,28-021,SAC,NYK,10,1,44:04,13,18,.722,1,2,.500,5,5,1.000,2,9,11,6,6,1,3,4,32,35.0,+12
30,391,31,2008-01-04,28-023,SAC,CLE,-4,1,43:24,10,14,.714,1,4,.250,1,2,.500,1,6,7,5,1,0,2,3,22,19.6,+2
31,392,32,2008-01-05,28-024,SAC,CHI,-1,1,28:01,6,10,.600,0,0,,1,1,1.000,1,4,5,3,1,0,7,4,13,4.8,-10
32,393,33,2008-01-08,28-027,SAC,ORL,4,1,43:24,8,14,.571,0,1,.000,5,5,1.000,1,2,3,3,2,0,4,2,21,15.0,-4
33,394,34,2008-01-10,28-029,SAC,MEM,3,1,43:46,12,21,.571,0,4,.000,4,5,.800,4,7,11,7,0,0,2,0,28,25.5,+1
34,395,35,2008-01-12,28-031,SAC,IND,-6,1,42:29,4,10,.400,1,2,.500,6,6,1.000,0,1,1,4,0,1,4,3,15,8.2,-3
35,396,36,2008-01-14,28-033,SAC,DAL,2,1,42:18,9,16,.563,0,1,.000,4,4,1.000,0,4,4,3,0,0,2,2,22,14.9,+3
36,397,37,2008-01-16,28-035,SAC,TOR,-25,1,29:32,4,7,.571,1,1,1.000,0,0,,0,2,2,2,2,1,3,1,9,7.0,-33
37,398,38,2008-01-18,28-037,SAC,DET,7,1,20:14,0,2,.000,0,1,.000,0,0,,0,3,3,2,0,0,2,1,0,-1.5,+1
38,399,39,2008-01-19,28-038,SAC,IND,6,1,23:45,2,4,.500,0,0,,0,0,,0,5,5,4,0,2,3,4,4,3.1,+2
39,400,40,2008-01-22,28-041,SAC,NJN,34,0,2:01,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-1
40,401,41,2008-01-23,28-042,SAC,LAC,-26,0,21:49,3,8,.375,1,3,.333,1,3,.333,1,1,2,1,2,0,3,0,8,3.5,-16
41,402,42,2008-01-25,28-044,SAC,UTA,-14,1,37:35,6,9,.667,0,1,.000,1,2,.500,1,0,1,3,1,0,2,3,13,9.3,-3
42,403,43,2008-01-27,28-046,SAC,SEA,2,0,24:59,5,7,.714,0,0,,1,1,1.000,0,2,2,2,1,2,2,2,11,9.7,-11
43,404,44,2008-01-30,28-049,SAC,CHA,14,0,15:58,4,6,.667,0,0,,0,0,,1,1,2,0,0,0,0,2,8,5.6,+6
44,405,45,2008-02-01,28-051,SAC,NOH,9,0,27:45,4,7,.571,2,2,1.000,1,2,.500,0,2,2,2,0,2,1,0,11,9.7,+2
45,406,46,2008-02-02,28-052,SAC,CHI,4,0,32:18,2,10,.200,0,4,.000,5,5,1.000,0,4,4,0,0,1,5,2,9,-1.1,-5
46,407,47,2008-02-06,28-056,SAC,SEA,-13,1,37:36,5,14,.357,0,2,.000,1,1,1.000,2,2,4,3,2,0,1,2,11,7.5,-18
47,408,48,2008-02-08,28-058,SAC,UTA,13,0,31:08,4,8,.500,0,1,.000,5,5,1.000,2,4,6,3,1,2,2,3,13,12.9,+10
48,409,49,2008-02-09,28-059,SAC,GSW,-3,0,34:17,9,15,.600,0,1,.000,1,1,1.000,3,5,8,1,1,1,4,2,19,13.3,-4
49,410,50,2008-02-12,28-062,SAC,MEM,-13,0,22:22,1,4,.250,0,0,,0,0,,0,3,3,2,1,0,3,3,2,-1.3,-28
50,411,51,2008-02-13,28-063,SAC,HOU,-2,0,20:59,0,4,.000,0,3,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.8,+9
51,412,52,2008-02-19,28-069,SAC,POR,11,0,18:24,0,3,.000,0,0,,0,0,,1,1,2,2,0,0,0,0,0,0.3,-7
52,413,53,2008-02-20,28-070,SAC,ATL,12,0,14:42,1,3,.333,1,1,1.000,0,0,,0,0,0,1,0,0,0,2,3,1.2,-5
53,414,54,2008-02-22,28-072,SAC,CHA,1,0,18:19,1,3,.333,0,1,.000,0,0,,0,4,4,1,0,0,0,2,2,1.4,+11
54,415,55,2008-02-24,28-074,SAC,ORL,-19,0,24:58,1,3,.333,0,0,,2,4,.500,0,1,1,3,1,0,0,2,4,4.1,-6
55,416,56,2008-02-26,28-076,SAC,MIA,-21,0,26:21,3,10,.300,0,2,.000,2,2,1.000,0,4,4,1,0,0,4,4,8,-1.5,-7
56,417,57,2008-02-27,28-077,SAC,ATL,-6,0,21:26,3,6,.500,0,0,,2,2,1.000,0,1,1,1,0,0,0,3,8,4.8,+3
