,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,69,1,1994-04-28,32-033,UTA,SAS,-17,1,33:00,1,4,.250,0,0,,1,1,1.000,1,1,2,8,1,0,6,2,3,1.4,
1,70,2,1994-04-30,32-035,UTA,SAS,12,1,37:00,8,16,.500,0,0,,1,1,1.000,2,1,3,5,2,0,0,3,17,15.0,
2,71,3,1994-05-03,32-038,UTA,SAS,33,1,32:00,6,9,.667,0,0,,1,1,1.000,0,5,5,12,1,0,1,2,13,18.2,
3,72,4,1994-05-05,32-040,UTA,SAS,5,1,39:00,5,8,.625,0,0,,3,3,1.000,0,0,0,18,3,1,2,0,13,23.7,
4,73,5,1994-05-10,32-045,UTA,DEN,9,1,37:00,5,13,.385,0,1,.000,7,8,.875,1,2,3,11,2,0,3,5,17,15.5,
5,74,6,1994-05-12,32-047,UTA,DEN,10,1,34:00,4,12,.333,0,0,,4,6,.667,0,4,4,8,2,3,4,4,12,9.7,
6,75,7,1994-05-14,32-049,UTA,DEN,2,1,47:00,11,19,.579,0,2,.000,2,2,1.000,2,2,4,13,1,0,1,2,24,25.4,
7,76,8,1994-05-15,32-050,UTA,DEN,-1,1,39:00,7,10,.700,0,1,.000,5,7,.714,1,1,2,6,2,0,3,1,19,17.8,
8,77,9,1994-05-17,32-052,UTA,DEN,-8,1,49:00,7,18,.389,0,3,.000,4,5,.800,2,4,6,13,3,0,7,5,18,13.5,
9,78,10,1994-05-19,32-054,UTA,DEN,-3,1,36:00,5,10,.500,0,2,.000,7,9,.778,1,2,3,7,2,0,2,1,17,17.0,
10,79,11,1994-05-21,32-056,UTA,DEN,10,1,31:00,2,9,.222,0,0,,2,2,1.000,1,2,3,9,0,1,1,4,6,6.2,
11,80,12,1994-05-23,32-058,UTA,HOU,-12,1,37:00,5,13,.385,0,2,.000,1,2,.500,0,2,2,11,4,0,2,1,11,13.4,
12,81,13,1994-05-25,32-060,UTA,HOU,-5,1,36:00,6,11,.545,1,3,.333,5,5,1.000,0,0,0,10,1,1,2,1,18,19.0,
13,82,14,1994-05-27,32-062,UTA,HOU,9,1,34:00,4,10,.400,1,3,.333,4,6,.667,1,3,4,11,1,0,3,5,13,12.1,
14,83,15,1994-05-29,32-064,UTA,HOU,-2,1,37:00,6,12,.500,1,1,1.000,4,5,.800,0,6,6,6,2,1,2,4,17,15.7,
15,84,16,1994-05-31,32-066,UTA,HOU,-11,1,39:00,6,19,.316,1,6,.167,0,0,,2,3,5,9,0,1,2,4,13,7.8,
