,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,45,1,1970-10-14,23-099,CLE,BUF,-15,,,6,,,,,,2,4,.500,,,,,,,,,14,,
1,46,2,1970-10-16,23-101,CLE,POR,-3,,,11,,,,,,1,2,.500,,,,,,,,,23,,
2,47,3,1970-10-17,23-102,CLE,SFW,-20,,,2,,,,,,0,0,,,,,,,,,,4,,
3,48,4,1970-10-20,23-105,CLE,POR,-22,,,6,,,,,,2,3,.667,,,,,,,,,14,,
4,49,5,1970-10-22,23-107,CLE,SDR,-30,,,11,,,,,,1,1,1.000,,,,,,,,,23,,
5,50,6,1970-10-23,23-108,CLE,PHO,-4,,,4,,,,,,3,4,.750,,,,,,,,6,11,,
6,51,7,1970-10-25,23-110,CLE,LAL,-27,,,5,,,,,,5,5,1.000,,,,,,,,,15,,
7,52,8,1970-10-28,23-113,CLE,SDR,-11,,,5,,,,,,2,2,1.000,,,,,,,,,12,,
8,53,9,1970-10-30,23-115,CLE,CIN,-15,,,8,,,,,,8,8,1.000,,,,,,,,,24,,
9,54,10,1970-11-01,23-117,CLE,ATL,-24,,,6,,,,,,0,1,.000,,,,,,,,6,12,,
10,55,11,1970-11-02,23-118,CLE,PHI,-54,,,4,,,,,,2,2,1.000,,,,,,,,6,10,,
11,56,12,1970-11-04,23-120,CLE,MIL,-2,,,8,,,,,,2,2,1.000,,,,,,,,,18,,
12,57,13,1970-11-07,23-123,CLE,BUF,-12,,,6,,,,,,2,5,.400,,,,,,,,,14,,
13,58,14,1970-11-08,23-124,CLE,SEA,-6,,,10,,,,,,7,7,1.000,,,,,,,,6,27,,
14,59,15,1970-11-10,23-126,CLE,SFW,-35,,,8,,,,,,5,6,.833,,,,,,,,,21,,
15,60,16,1970-11-12,23-128,CLE,POR,2,,,7,,,,,,4,5,.800,,,,,,,,,18,,
16,61,17,1970-11-13,23-129,CLE,SEA,-20,,,2,,,,,,2,3,.667,,,,,,,,,6,,
17,62,18,1970-11-14,23-130,CLE,POR,-10,,,5,,,,,,3,4,.750,,,,,,,,,13,,
18,63,19,1970-11-16,23-132,CLE,BAL,-12,,,0,,,,,,1,1,1.000,,,,,,,,,1,,
19,64,20,1970-11-18,23-134,CLE,BAL,-13,,,0,,,,,,0,0,,,,,,,,,,0,,
20,65,21,1970-11-20,23-136,CLE,BOS,-4,,,1,,,,,,0,1,.000,,,,,,,,,2,,
21,66,22,1970-11-21,23-137,CLE,NYK,-8,,,4,,,,,,2,2,1.000,,,,,,,,,10,,
22,67,23,1970-11-22,23-138,CLE,PHO,-15,,,7,,,,,,0,0,,,,,,,,,,14,,
23,68,24,1970-11-25,23-141,CLE,SFW,-9,,,2,,,,,,0,1,.000,,,,,,,,,4,,
24,69,25,1970-11-27,23-143,CLE,POR,-9,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
25,70,26,1970-11-28,23-144,CLE,CIN,-19,,,1,,,,,,1,2,.500,,,,,,,,,3,,
26,71,27,1970-11-29,23-145,CLE,DET,-21,,,2,,,,,,3,3,1.000,,,,,,,,,7,,
27,72,28,1970-12-04,23-150,CLE,BOS,-11,,,5,,,,,,0,0,,,,,,,,,,10,,
28,73,29,1970-12-06,23-152,CLE,BUF,2,,,3,,,,,,4,4,1.000,,,,,,,,,10,,
29,74,30,1970-12-09,23-155,CLE,POR,-7,,,5,,,,,,5,5,1.000,,,,,,,,,15,,
30,75,31,1970-12-11,23-157,CLE,MIL,-42,,,6,,,,,,2,2,1.000,,,,,,,,,14,,
31,76,32,1970-12-12,23-158,CLE,CIN,-19,,,5,,,,,,2,2,1.000,,,,,,,,6,12,,
32,77,33,1970-12-13,23-159,CLE,SDR,-23,,,2,,,,,,0,0,,,,,,,,,,4,,
33,78,34,1970-12-15,23-161,CLE,NYK,-18,,,3,,,,,,2,3,.667,,,,,,,,,8,,
34,79,35,1970-12-16,23-162,CLE,NYK,-24,,,4,,,,,,1,1,1.000,,,,,,,,6,9,,
35,80,36,1970-12-18,23-164,CLE,BUF,-19,,,2,,,,,,4,4,1.000,,,,,,,,,8,,
36,81,37,1970-12-19,23-165,CLE,BUF,11,,,7,,,,,,4,4,1.000,,,,,,,,6,18,,
37,82,38,1970-12-20,23-166,CLE,CHI,-13,,,6,,,,,,3,3,1.000,,,,,,,,,15,,
38,83,39,1970-12-22,23-168,CLE,CHI,-41,,,2,,,,,,0,0,,,,,,,,,,4,,
39,84,40,1970-12-25,23-171,CLE,CIN,-17,,,1,,,,,,3,3,1.000,,,,,,,,,5,,
40,85,41,1970-12-26,23-172,CLE,BUF,13,,,5,,,,,,3,4,.750,,,,,,,,,13,,
41,86,42,1970-12-27,23-173,CLE,PHI,13,,,6,,,,,,0,0,,,,,,,,,,12,,
42,87,43,1970-12-29,23-175,CLE,MIL,-22,,,4,,,,,,1,1,1.000,,,,,,,,,9,,
43,88,44,1970-12-31,23-177,CLE,ATL,-34,,,1,,,,,,0,0,,,,,,,,,,2,,
44,89,45,1971-01-01,23-178,CLE,BAL,-23,,,2,,,,,,1,2,.500,,,,,,,,,5,,
