,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,316,1,1975-10-26,31-004,PHO,SEA,-14,,,1,,,,,,2,3,.667,,,,,,,,,4,,
1,317,2,1975-11-01,31-010,PHO,KCK,-6,,7:00,0,,,,,,0,0,,0,0,0,2,,,,,0,,
2,318,3,1975-11-04,31-013,PHO,CHI,16,,13:00,1,2,.500,,,,2,2,1.000,,,1,0,,,,4,4,,
3,319,4,1975-11-11,31-020,PHO,NYK,31,,9:00,0,0,,,,,1,1,1.000,,,3,2,,,,3,1,,
4,320,5,1975-11-21,31-030,PHO,HOU,15,,17:00,2,,,,,,0,0,,,,2,2,,,,,4,,
5,321,6,1975-11-26,31-035,PHO,BUF,1,,10:00,0,,,,,,0,0,,,,2,1,,,,,0,,
6,322,7,1975-11-28,31-037,PHO,POR,9,0,7:00,0,0,,,,,2,2,1.000,0,3,3,0,0,0,,0,2,,
7,323,8,1975-11-29,31-038,PHO,GSW,-12,,4:00,0,0,,,,,0,0,,0,0,0,0,,,,1,0,,
8,324,9,1975-12-02,31-041,PHO,GSW,17,,6:00,0,1,.000,,,,0,0,,,,1,1,,,,1,0,,
9,325,10,1975-12-07,31-046,PHO,CHI,17,,2:00,0,0,,,,,0,0,,,,1,0,,,,0,0,,
10,326,11,1975-12-09,31-048,PHO,NOJ,15,,,0,,,,,,0,0,,,,,,,,,,0,,
11,327,12,1976-01-08,31-078,PHO,GSW,-16,,5:00,1,1,1.000,,,,0,0,,,,1,0,,,,2,2,,
12,328,13,1976-01-17,31-087,PHO,CLE,-20,,,0,,,,,,0,0,,,,,,,,,,0,,
13,329,14,1976-01-18,31-088,PHO,DET,4,,,1,,,,,,0,0,,,,,,,,,,2,,
14,330,15,1976-01-20,31-090,PHO,BUF,-9,,,1,,,,,,0,0,,,,,,,,,,2,,
15,331,16,1976-01-21,31-091,PHO,BOS,-14,,14:00,2,2,1.000,,,,1,2,.500,0,0,0,0,,,,,5,,
16,332,17,1976-01-23,31-093,PHO,HOU,9,,,1,,,,,,0,0,,,,,,,,,,2,,
17,333,18,1976-01-24,31-094,PHO,WSB,-16,,,0,,,,,,2,2,1.000,,,,,,,,,2,,
18,334,19,1976-01-28,31-098,PHO,LAL,-3,,7:00,0,0,,,,,1,1,1.000,,,2,0,,,,3,1,,
19,335,20,1976-02-06,31-107,PHO,GSW,7,,3:00,0,0,,,,,0,0,,0,0,0,0,,,,0,0,,
20,336,21,1976-02-11,31-112,PHO,DET,29,,,1,,,,,,0,0,,,,,,,,,,2,,
21,337,22,1976-02-14,31-115,PHO,NOJ,19,,,2,,,,,,0,0,,,,,,,,,,4,,
22,338,23,1976-02-26,31-127,PHO,ATL,18,,,0,,,,,,0,0,,,,,,,,,,0,,
23,339,24,1976-03-03,31-133,PHO,CLE,16,,,0,,,,,,0,0,,,,,,,,,,0,,
24,340,25,1976-03-05,31-135,PHO,CHI,2,,7:00,1,1,1.000,,,,1,2,.500,,,1,0,,,,0,3,,
25,341,26,1976-03-06,31-136,PHO,POR,-19,0,10:00,0,3,.000,,,,0,0,,1,2,3,0,0,0,,1,0,,
26,342,27,1976-03-07,31-137,PHO,POR,22,0,3:00,1,1,1.000,,,,0,0,,0,0,0,0,1,0,,1,2,,
27,343,28,1976-03-13,31-143,PHO,CLE,-22,,,1,,,,,,0,0,,,,,,,,,,2,,
28,344,29,1976-03-16,31-146,PHO,CHI,-33,,,1,,,,,,0,0,,,,,,,,,,2,,
29,345,30,1976-03-20,31-150,PHO,LAL,13,,1:00,0,0,,,,,0,0,,,,1,0,,,,0,0,,
30,346,31,1976-03-27,31-157,PHO,KCK,17,,6:00,0,,,,,,0,0,,,,1,0,0,0,,,0,,
31,347,32,1976-03-30,31-160,PHO,NYK,16,,5:00,1,1,1.000,,,,4,5,.800,,,1,0,,,,0,6,,
32,348,33,1976-03-31,31-161,PHO,BOS,-20,,6:00,0,1,.000,,,,2,2,1.000,,,2,1,,,,,2,,
33,349,34,1976-04-03,31-164,PHO,POR,-15,0,3:00,0,0,,,,,2,2,1.000,0,0,0,0,1,0,,0,2,,
34,350,35,1976-04-04,31-165,PHO,SEA,-28,,,2,,,,,,0,0,,,,,,,,,,4,,
35,351,36,1976-04-08,31-169,PHO,LAL,15,,1:00,0,0,,,,,0,0,,0,0,0,0,,,,0,0,,
36,352,37,1976-04-10,31-171,PHO,SEA,26,,,2,,,,,,0,0,,,,,,,,,,4,,
