,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,27,1,2002-04-21,32-270,DET,TOR,22,0,20:00,4,8,.500,1,4,.250,0,0,,1,1,2,1,0,0,1,0,9,5.7,-5
1,28,2,2002-04-24,32-273,DET,TOR,5,0,24:00,4,8,.500,3,5,.600,2,2,1.000,1,1,2,2,1,0,1,0,13,11.4,+2
2,29,3,2002-04-27,32-276,DET,TOR,-10,0,22:00,3,7,.429,2,4,.500,0,0,,0,4,4,3,0,0,4,2,8,2.8,0
3,30,4,2002-04-29,32-278,DET,TOR,-6,0,22:00,4,8,.500,3,5,.600,1,2,.500,1,1,2,1,2,0,4,5,12,5.3,-6
4,31,5,2002-05-02,32-281,DET,TOR,3,0,21:00,5,9,.556,2,5,.400,0,0,,1,2,3,3,1,0,3,1,12,8.7,+4
5,32,6,2002-05-05,32-284,DET,BOS,12,0,15:00,1,4,.250,1,4,.250,0,1,.000,0,2,2,4,0,0,2,0,3,1.6,+5
6,33,7,2002-05-08,32-287,DET,BOS,-8,0,17:00,2,5,.400,2,3,.667,0,0,,0,2,2,3,0,0,0,1,6,5.6,-1
7,34,8,2002-05-10,32-289,DET,BOS,-2,0,4:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,0,0,-2.7,-2
8,35,9,2002-05-12,32-291,DET,BOS,-11,0,11:00,3,4,.750,2,3,.667,0,0,,0,1,1,0,0,1,0,2,8,6.6,-3
9,36,10,2002-05-14,32-293,DET,BOS,-9,0,21:00,3,7,.429,1,4,.250,2,3,.667,0,2,2,4,0,0,2,3,9,5.1,+3
