,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,298,1,1997-10-31,28-098,LAL,UTA,17,0,7:00,0,3,.000,0,3,.000,0,0,,1,0,1,0,0,0,1,0,0,-2.4,
1,299,2,1997-11-09,28-107,LAL,GSW,35,0,13:00,2,2,1.000,0,0,,0,0,,0,1,1,3,1,0,1,0,4,5.8,
2,300,3,1997-11-11,28-109,LAL,DAL,22,0,8:00,1,4,.250,0,1,.000,2,2,1.000,0,0,0,1,1,0,0,2,4,2.5,
3,301,4,1997-11-14,28-112,LAL,HOU,10,0,10:00,2,3,.667,0,1,.000,0,0,,0,0,0,1,1,0,1,2,4,2.6,
4,302,5,1997-11-16,28-114,LAL,VAN,26,0,7:00,1,4,.250,0,2,.000,0,0,,0,1,1,0,2,1,1,0,2,1.6,
5,303,6,1997-11-19,28-117,LAL,MIN,25,0,2:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0.0,
6,304,7,1997-11-23,28-121,LAL,LAC,17,0,11:00,1,2,.500,0,0,,0,0,,0,0,0,3,0,1,1,0,2,2.8,
7,305,8,1997-11-25,28-123,LAL,MIA,-17,0,7:00,1,2,.500,1,2,.500,0,1,.000,1,0,1,0,0,0,1,0,3,1.3,
8,306,9,1997-11-26,28-124,LAL,BOS,15,0,9:00,1,1,1.000,1,1,1.000,0,0,,0,3,3,2,0,0,1,1,3,3.6,
9,307,10,1997-11-28,28-126,LAL,PHI,-10,0,14:00,1,1,1.000,1,1,1.000,0,0,,0,1,1,5,0,0,0,2,3,5.7,
10,308,11,1997-11-30,28-128,LAL,TOR,6,0,6:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,
11,309,12,1997-12-03,28-131,LAL,DEN,18,0,5:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,
12,310,13,1997-12-07,28-135,LAL,CLE,-10,0,6:00,0,2,.000,0,2,.000,0,0,,0,2,2,2,0,0,0,1,0,0.2,
13,311,14,1997-12-10,28-138,LAL,GSW,-1,0,14:00,3,7,.429,0,2,.000,2,2,1.000,0,0,0,1,1,0,1,2,8,4.2,
14,312,15,1997-12-12,28-140,LAL,HOU,17,0,4:00,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,
15,313,16,1997-12-14,28-142,LAL,DAL,30,0,12:00,1,1,1.000,1,1,1.000,0,0,,0,2,2,4,1,0,1,4,3,4.5,
16,314,17,1997-12-16,28-144,LAL,MIN,13,0,4:00,0,0,,0,0,,0,0,,0,0,0,1,2,0,1,0,0,1.7,
