,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,656,1,1994-11-04,31-171,ATL,IND,-2,0,8:00,0,1,.000,0,0,,1,2,.500,0,1,1,0,2,0,0,2,1,1.4,
1,657,2,1994-11-05,31-172,ATL,DET,-5,0,27:00,3,7,.429,1,3,.333,1,1,1.000,0,5,5,2,0,2,1,6,8,5.2,
2,658,3,1994-11-07,31-174,ATL,UTA,-18,1,35:00,3,6,.500,0,1,.000,0,0,,0,7,7,3,2,3,0,3,6,10.1,
3,659,4,1994-11-09,31-176,ATL,PHO,-4,0,6:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,
4,660,5,1994-11-10,31-177,ATL,LAC,17,0,19:00,0,1,.000,0,0,,0,2,.000,0,1,1,1,0,1,0,4,0,-1.4,
5,661,6,1994-11-12,31-179,ATL,SAC,-8,0,9:00,0,1,.000,0,0,,0,0,,0,3,3,0,1,0,0,2,0,0.4,
6,662,7,1994-11-15,31-182,ATL,BOS,16,1,34:00,3,4,.750,1,1,1.000,2,5,.400,0,11,11,2,3,4,3,3,9,12.5,
7,663,8,1994-11-18,31-185,ATL,MIL,-4,1,34:00,2,7,.286,0,0,,0,0,,2,5,7,0,2,2,0,2,4,5.4,
8,664,9,1994-11-19,31-186,ATL,NYK,-13,0,12:00,3,5,.600,0,1,.000,0,0,,0,1,1,0,1,0,0,4,6,3.4,
9,665,10,1994-11-22,31-189,ATL,PHI,3,0,26:00,3,6,.500,1,1,1.000,0,0,,1,4,5,1,0,0,0,1,7,6.2,
10,666,11,1994-11-23,31-190,ATL,MIN,12,0,6:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,
11,667,12,1994-11-25,31-192,ATL,LAL,-5,0,17:00,1,4,.250,1,1,1.000,0,0,,0,7,7,1,0,0,0,1,3,3.0,
12,668,13,1994-11-29,31-196,ATL,CHH,-5,0,25:00,2,4,.500,1,2,.500,0,0,,1,5,6,5,0,0,0,3,5,7.5,
13,669,14,1994-12-02,31-199,ATL,CHI,11,1,21:00,2,4,.500,0,0,,0,0,,0,4,4,2,1,0,0,2,4,4.8,
14,670,15,1994-12-03,31-200,ATL,ORL,2,1,19:00,3,3,1.000,0,0,,1,2,.500,1,5,6,1,0,1,0,5,7,7.3,
15,671,16,1994-12-06,31-203,ATL,NJN,3,1,28:00,1,5,.200,0,1,.000,0,0,,1,5,6,0,0,1,0,5,2,-0.2,
16,672,17,1994-12-07,31-204,ATL,BOS,-13,1,21:00,2,9,.222,0,0,,0,0,,2,4,6,0,1,2,0,1,4,3.1,
17,673,18,1994-12-09,31-206,ATL,NYK,4,1,25:00,1,2,.500,0,0,,0,2,.000,0,7,7,2,2,1,1,4,2,3.8,
18,674,19,1994-12-10,31-207,ATL,ORL,-11,1,18:00,3,8,.375,0,1,.000,0,0,,1,2,3,0,0,2,1,4,6,1.7,
19,675,20,1994-12-13,31-210,ATL,MIN,2,1,26:00,3,7,.429,0,1,.000,1,1,1.000,1,8,9,2,0,0,1,2,7,6.0,
20,676,21,1994-12-14,31-211,ATL,IND,-2,1,21:00,2,6,.333,1,2,.500,0,0,,0,3,3,0,1,0,0,3,5,2.3,
21,677,22,1994-12-16,31-213,ATL,CHI,-5,1,21:00,1,5,.200,0,2,.000,2,2,1.000,2,5,7,0,1,3,3,3,4,2.7,
22,678,23,1994-12-17,31-214,ATL,MIA,-11,1,20:00,4,4,1.000,0,0,,1,1,1.000,1,5,6,0,0,0,0,1,9,9.6,
23,679,24,1994-12-20,31-217,ATL,MIL,18,1,17:00,0,1,.000,0,0,,0,0,,0,4,4,2,0,0,1,4,0,-0.7,
24,680,25,1994-12-22,31-219,ATL,UTA,-9,1,22:00,2,3,.667,1,2,.500,0,0,,0,3,3,1,2,1,0,2,5,7.2,
25,681,26,1994-12-23,31-220,ATL,DET,20,1,32:00,2,4,.500,1,2,.500,0,0,,0,8,8,2,1,1,0,1,5,8.1,
26,682,27,1994-12-27,31-224,ATL,HOU,-12,1,18:00,1,6,.167,0,1,.000,0,0,,1,1,2,2,0,0,0,5,2,-1.4,
27,683,28,1994-12-29,31-226,ATL,SAS,6,1,26:00,4,7,.571,1,1,1.000,0,0,,0,2,2,1,2,2,1,4,9,7.8,
28,684,29,1994-12-30,31-227,ATL,CLE,-2,1,14:00,1,3,.333,0,0,,0,0,,0,2,2,1,1,2,1,4,2,1.4,
29,685,30,1995-01-03,31-231,ATL,POR,-5,1,19:00,1,2,.500,0,0,,0,2,.000,0,4,4,2,1,0,0,3,2,2.6,
30,686,31,1995-01-06,31-234,ATL,WSB,22,0,20:00,3,6,.500,2,4,.500,0,0,,0,0,0,1,2,2,2,4,8,5.5,
31,687,32,1995-01-07,31-235,ATL,NJN,17,0,19:00,2,4,.500,0,0,,0,0,,0,5,5,1,1,0,0,4,4,3.6,
32,688,33,1995-01-10,31-238,ATL,WSB,3,0,4:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,2,0,2,2,2.3,
33,689,34,1995-01-13,31-241,ATL,ORL,-5,0,12:00,1,2,.500,0,1,.000,0,0,,1,1,2,0,0,0,0,3,2,0.8,
34,690,35,1995-01-16,31-244,ATL,MIA,4,0,6:00,0,1,.000,0,0,,0,0,,0,2,2,2,0,0,0,0,0,1.3,
35,691,36,1995-01-18,31-246,ATL,PHI,-12,0,3:00,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-0.8,
36,692,37,1995-01-20,31-248,ATL,IND,-10,0,30:00,1,8,.125,0,2,.000,2,2,1.000,0,3,3,1,1,2,0,3,4,1.6,
37,693,38,1995-01-21,31-249,ATL,BOS,5,0,12:00,1,2,.500,0,1,.000,0,0,,1,0,1,1,0,1,0,1,2,2.7,
38,694,39,1995-01-25,31-253,ATL,CHH,7,0,6:00,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-2.2,
39,695,40,1995-01-26,31-254,ATL,CLE,-9,0,8:00,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,0,3,0,-1.2,
40,696,41,1995-01-28,31-256,ATL,CHH,-9,0,13:00,0,0,,0,0,,0,0,,0,2,2,2,0,0,0,0,0,2.0,
41,697,42,1995-01-30,31-258,ATL,MIA,3,0,9:00,1,3,.333,0,1,.000,0,0,,1,1,2,1,0,0,0,0,2,2.0,
42,698,43,1995-02-03,31-262,ATL,SEA,-23,0,3:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,
43,699,44,1995-02-04,31-263,ATL,DET,-6,0,13:00,1,2,.500,0,0,,0,0,,0,4,4,1,0,1,0,1,2,3.2,
44,700,45,1995-02-06,31-265,ATL,PHI,15,0,10:00,2,2,1.000,0,0,,0,0,,0,2,2,0,1,2,0,0,4,6.4,
45,701,46,1995-02-08,31-267,ATL,NJN,23,0,11:00,2,2,1.000,0,0,,0,0,,0,0,0,1,0,1,0,4,4,3.2,
46,702,47,1995-02-14,31-273,ATL,DEN,11,0,8:00,2,2,1.000,0,0,,2,2,1.000,0,1,1,1,1,0,0,2,6,6.6,
47,703,48,1995-02-17,31-276,ATL,DAL,20,0,9:00,1,2,.500,0,0,,0,0,,0,1,1,0,1,1,0,1,2,2.6,
48,704,49,1995-02-18,31-277,ATL,SAS,-14,0,8:00,0,4,.000,0,0,,0,0,,1,2,3,1,0,0,0,1,0,-1.2,
49,705,50,1995-02-21,31-280,ATL,CHI,-17,0,9:00,2,3,.667,0,0,,0,0,,0,1,1,0,0,1,0,1,4,3.3,
50,706,51,1995-02-23,31-282,ATL,DAL,18,0,5:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,1,0,-0.4,
51,707,52,1995-02-24,31-283,ATL,WSB,15,0,9:00,1,1,1.000,0,0,,0,0,,1,3,4,1,1,0,0,1,2,4.6,
52,708,53,1995-02-27,31-286,ATL,SAC,19,0,8:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,2,0,0.2,
53,709,54,1995-03-02,31-289,ATL,MIL,-9,0,7:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-0.2,
54,710,55,1995-03-03,31-290,ATL,DET,16,0,19:00,1,2,.500,0,0,,0,0,,0,2,2,0,0,3,2,1,2,1.3,
