,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,194,1,2009-10-28,24-341,NJN,MIN,-2,0,9:50,1,2,.500,0,0,,1,2,.500,1,3,4,1,0,1,0,3,3,3.4,-6
1,195,2,2009-10-30,24-343,NJN,ORL,-10,0,22:35,2,5,.400,0,0,,0,0,,2,6,8,0,0,1,1,2,4,3.4,-5
2,196,3,2009-10-31,24-344,NJN,WAS,-19,0,12:51,2,5,.400,0,0,,0,0,,2,0,2,0,0,0,0,0,4,2.7,-15
3,197,4,2009-11-02,24-346,NJN,CHA,-11,0,0:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
4,198,5,2009-11-04,24-348,NJN,DEN,-28,0,29:04,4,8,.500,0,0,,3,5,.600,4,4,8,2,2,1,2,4,11,10.7,-8
5,199,6,2009-11-06,24-350,NJN,PHI,-3,0,16:54,4,5,.800,0,0,,0,0,,2,5,7,1,1,1,1,1,8,10.0,-5
6,200,7,2009-11-07,24-351,NJN,BOS,-10,1,37:19,4,10,.400,0,0,,0,0,,4,8,12,1,1,0,3,3,8,5.3,+1
7,201,8,2009-11-11,24-355,NJN,PHI,-3,1,28:10,3,6,.500,0,0,,0,2,.000,3,5,8,1,0,3,0,2,6,7.8,-8
8,202,9,2009-11-13,24-357,NJN,ORL,-16,1,5:13,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-1.2,-3
9,203,10,2009-11-14,24-358,NJN,MIA,-1,1,26:25,0,1,.000,0,0,,0,2,.000,3,3,6,2,1,0,1,2,0,2.1,-5
10,204,11,2009-11-17,24-361,NJN,IND,-8,0,13:12,0,0,,0,0,,0,0,,0,3,3,0,0,1,2,2,0,-1.2,-1
11,205,12,2009-11-18,24-362,NJN,MIL,-14,1,15:38,1,4,.250,0,0,,0,0,,4,4,8,0,0,1,0,1,2,3.9,-19
12,206,13,2009-11-21,25-000,NJN,NYK,-7,1,10:55,2,3,.667,0,0,,0,0,,0,2,2,0,1,0,1,1,4,2.9,-5
13,207,14,2009-11-24,25-003,NJN,DEN,-14,1,21:51,3,5,.600,0,0,,1,2,.500,3,9,12,1,1,0,3,2,7,7.0,-13
14,208,15,2009-11-25,25-004,NJN,POR,-10,1,19:54,3,7,.429,0,0,,0,0,,2,3,5,0,1,0,1,5,6,2.6,+1
