,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,16,1,2016-04-17,29-049,MIA,CHO,32,0,4:11,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,0,0,1.4,+1
1,17,3,2016-04-23,29-055,MIA,CHO,-16,0,2:31,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+5
2,18,5,2016-04-27,29-059,MIA,CHO,-2,0,15:38,0,2,.000,0,1,.000,0,0,,0,3,3,1,2,0,1,2,0,0.4,0
3,19,6,2016-04-29,29-061,MIA,CHO,7,0,5:23,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,1,1,2,0.3,-1
4,20,7,2016-05-01,29-063,MIA,CHO,33,0,20:01,2,4,.500,0,0,,0,0,,0,7,7,3,0,1,1,5,4,3.9,+11
5,21,10,2016-05-07,29-069,MIA,TOR,-4,0,13:15,0,2,.000,0,1,.000,4,4,1.000,3,1,4,1,2,1,1,3,4,6.2,+8
6,22,11,2016-05-09,29-071,MIA,TOR,7,0,20:47,1,4,.250,0,1,.000,0,0,,0,2,2,1,0,2,0,1,2,1.9,-4
7,23,12,2016-05-11,29-073,MIA,TOR,-8,0,18:13,3,5,.600,0,2,.000,0,0,,1,2,3,0,1,0,0,2,6,5.2,+3
8,24,13,2016-05-13,29-075,MIA,TOR,12,0,18:19,5,8,.625,0,1,.000,0,0,,3,2,5,0,0,0,0,2,10,8.3,+9
9,25,14,2016-05-15,29-077,MIA,TOR,-27,0,15:18,4,7,.571,0,1,.000,2,2,1.000,0,1,1,1,0,0,0,4,10,6.1,+1
