,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,98,1,1997-04-24,33-274,UTA,LAC,20,1,40:00,13,27,.481,0,0,,1,6,.167,4,6,10,2,1,0,2,4,27,14.7,
1,99,2,1997-04-26,33-276,UTA,LAC,6,1,42:00,12,25,.480,0,0,,15,19,.789,4,7,11,2,1,1,1,3,39,30.5,
2,100,3,1997-04-28,33-278,UTA,LAC,12,1,41:00,8,16,.500,0,0,,10,10,1.000,2,11,13,2,2,2,5,1,26,22.1,
3,101,4,1997-05-04,33-284,UTA,LAL,16,1,39:00,9,21,.429,0,0,,5,10,.500,3,10,13,0,2,2,3,3,23,14.2,
4,102,5,1997-05-06,33-286,UTA,LAL,2,1,43:00,12,26,.462,0,0,,7,9,.778,4,7,11,5,2,1,7,2,31,20.1,
5,103,6,1997-05-08,33-288,UTA,LAL,-20,1,34:00,2,20,.100,0,0,,11,12,.917,2,8,10,0,0,0,2,3,15,2.0,
6,104,7,1997-05-10,33-290,UTA,LAL,15,1,39:00,12,27,.444,0,0,,18,18,1.000,2,7,9,3,0,0,2,4,42,29.9,
7,105,8,1997-05-12,33-292,UTA,LAL,5,1,49:00,9,21,.429,0,0,,14,18,.778,5,15,20,3,1,0,1,2,32,28.6,
8,106,9,1997-05-19,33-299,UTA,HOU,15,1,38:00,6,16,.375,0,0,,9,11,.818,3,10,13,2,1,0,5,3,21,12.7,
9,107,10,1997-05-21,33-301,UTA,HOU,12,1,40:00,9,21,.429,0,0,,6,10,.600,3,12,15,1,1,2,2,4,24,16.5,
10,108,11,1997-05-23,33-303,UTA,HOU,-18,1,38:00,9,14,.643,1,1,1.000,2,5,.400,1,5,6,2,0,2,3,2,21,14.8,
11,109,12,1997-05-25,33-305,UTA,HOU,-3,1,41:00,10,28,.357,0,0,,2,2,1.000,3,7,10,5,3,0,3,4,22,12.5,
12,110,13,1997-05-27,33-307,UTA,HOU,5,1,44:00,11,22,.500,0,0,,7,8,.875,3,11,14,4,0,1,3,3,29,22.3,
13,111,14,1997-05-29,33-309,UTA,HOU,3,1,43:00,11,24,.458,0,0,,2,4,.500,2,9,11,5,3,2,1,2,24,21.0,
14,112,15,1997-06-01,33-312,UTA,CHI,-2,1,41:00,10,22,.455,0,0,,3,6,.500,5,10,15,3,0,0,3,1,23,15.6,
15,113,16,1997-06-04,33-315,UTA,CHI,-12,1,41:00,6,20,.300,0,0,,8,12,.667,5,8,13,1,2,0,3,2,20,11.6,
16,114,17,1997-06-06,33-317,UTA,CHI,11,1,42:00,15,29,.517,0,0,,7,10,.700,3,7,10,3,4,0,2,4,37,28.2,
17,115,18,1997-06-08,33-319,UTA,CHI,5,1,43:00,9,19,.474,0,0,,5,6,.833,2,8,10,6,0,1,2,4,23,18.0,
18,116,19,1997-06-11,33-322,UTA,CHI,-2,1,34:00,7,17,.412,0,1,.000,5,9,.556,1,6,7,6,0,1,2,5,19,11.7,
19,117,20,1997-06-13,33-324,UTA,CHI,-4,1,44:00,7,15,.467,0,0,,7,15,.467,3,4,7,2,4,0,2,3,21,15.6,
