,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2015-10-28,19-347,MIN,LAL,1,1,31:53,6,10,.600,0,1,.000,2,2,1.000,2,10,12,1,0,0,3,4,14,9.9,+6
1,2,2,2015-10-30,19-349,MIN,DEN,17,1,33:12,11,19,.579,0,0,,6,7,.857,3,11,14,2,0,4,1,3,28,26.1,+15
2,3,3,2015-11-02,19-352,MIN,POR,-5,1,26:56,5,9,.556,1,1,1.000,0,0,,1,4,5,0,0,4,4,5,11,5.4,-5
3,4,4,2015-11-05,19-355,MIN,MIA,-12,1,22:10,3,13,.231,0,0,,0,0,,0,4,4,1,0,3,0,3,6,0.9,-21
4,5,5,2015-11-07,19-357,MIN,CHI,9,1,26:47,8,18,.444,0,0,,1,1,1.000,6,7,13,2,1,4,0,4,17,17.5,+15
5,6,6,2015-11-09,19-359,MIN,ATL,10,1,31:49,5,7,.714,0,1,.000,7,8,.875,3,9,12,1,0,3,2,3,17,18.1,+11
6,7,7,2015-11-10,19-360,MIN,CHO,-9,1,30:10,7,16,.438,0,1,.000,5,5,1.000,2,11,13,2,1,3,2,3,19,16.6,+10
7,8,8,2015-11-12,19-362,MIN,GSW,-13,1,30:14,7,15,.467,0,0,,3,4,.750,3,8,11,0,1,0,5,2,17,8.6,-24
8,9,9,2015-11-13,19-363,MIN,IND,-4,1,27:11,5,9,.556,0,0,,2,2,1.000,2,7,9,1,1,0,0,0,12,12.9,-7
9,10,10,2015-11-15,20-000,MIN,MEM,-8,1,31:34,5,11,.455,0,1,.000,4,4,1.000,3,6,9,1,0,1,3,4,14,9.0,+1
10,11,11,2015-11-17,20-002,MIN,MIA,12,1,26:02,6,12,.500,0,0,,2,2,1.000,5,9,14,0,2,1,4,4,14,11.3,+14
11,12,12,2015-11-18,20-003,MIN,ORL,-3,1,37:21,8,12,.667,0,1,.000,5,6,.833,3,9,12,0,0,6,4,2,21,19.6,-7
12,13,13,2015-11-20,20-005,MIN,DET,-10,1,27:53,8,10,.800,0,0,,2,2,1.000,0,7,7,3,3,2,2,4,18,19.2,-14
13,14,14,2015-11-23,20-008,MIN,PHI,5,1,19:06,3,7,.429,0,0,,0,0,,2,1,3,0,1,2,0,4,6,4.8,+8
14,15,15,2015-11-25,20-010,MIN,ATL,4,1,22:21,3,6,.500,0,0,,0,0,,1,5,6,1,0,1,3,0,6,3.6,-2
15,16,16,2015-11-27,20-012,MIN,SAC,10,1,21:20,3,5,.600,1,1,1.000,0,0,,0,8,8,0,0,2,2,0,7,6.5,-4
16,17,17,2015-11-29,20-014,MIN,LAC,-8,1,26:10,8,13,.615,1,2,.500,0,2,.000,1,7,8,0,3,1,1,3,17,14.6,0
17,18,18,2015-12-01,20-016,MIN,ORL,-3,1,22:12,2,11,.182,0,1,.000,2,4,.500,2,4,6,0,1,2,1,3,6,1.1,-9
18,19,19,2015-12-05,20-020,MIN,POR,-6,1,31:50,13,21,.619,1,2,.500,0,0,,5,7,12,2,0,2,3,4,27,21.3,-6
19,20,20,2015-12-07,20-022,MIN,LAC,-4,1,29:24,7,9,.778,3,3,1.000,1,2,.500,0,5,5,2,0,2,2,6,18,14.0,-4
20,21,21,2015-12-09,20-024,MIN,LAL,1,1,34:58,11,19,.579,0,1,.000,4,6,.667,5,9,14,1,0,3,2,5,26,21.3,+18
21,22,22,2015-12-11,20-026,MIN,DEN,-3,1,31:27,6,11,.545,0,1,.000,2,2,1.000,3,6,9,1,2,3,2,4,14,13.8,-2
22,23,23,2015-12-13,20-028,MIN,PHO,-7,1,18:24,4,8,.500,0,0,,0,0,,2,4,6,2,0,1,1,3,8,6.5,-6
23,24,24,2015-12-15,20-030,MIN,DEN,-12,1,28:03,5,7,.714,0,0,,8,8,1.000,4,2,6,1,1,2,0,4,18,20.0,-12
24,25,25,2015-12-16,20-031,MIN,NYK,-5,1,32:26,11,22,.500,2,4,.500,1,1,1.000,5,6,11,0,0,0,2,4,25,15.7,-5
25,26,26,2015-12-18,20-033,MIN,SAC,4,1,23:51,6,11,.545,1,1,1.000,2,2,1.000,2,6,8,0,0,1,4,5,15,7.6,+12
26,27,27,2015-12-20,20-035,MIN,BRK,15,1,28:07,10,19,.526,0,0,,4,4,1.000,3,7,10,1,1,2,2,3,24,18.8,+9
27,28,28,2015-12-21,20-036,MIN,BOS,-14,1,35:06,8,14,.571,0,1,.000,9,9,1.000,3,13,16,2,1,3,2,4,25,25.3,-8
28,29,29,2015-12-23,20-038,MIN,SAS,-25,1,34:00,4,12,.333,0,2,.000,2,2,1.000,2,9,11,1,0,0,2,3,10,4.8,-13
29,30,30,2015-12-26,20-041,MIN,IND,-14,1,39:58,10,16,.625,0,2,.000,4,5,.800,3,5,8,3,1,1,5,4,24,17.2,-7
30,31,31,2015-12-28,20-043,MIN,SAS,-6,1,31:06,4,7,.571,0,0,,2,3,.667,1,11,12,1,1,0,1,5,10,9.0,+8
31,32,32,2015-12-30,20-045,MIN,UTA,14,1,31:31,10,16,.625,0,0,,5,8,.625,4,6,10,1,1,2,3,2,25,20.5,+9
32,33,33,2015-12-31,20-046,MIN,DET,-25,1,35:03,10,17,.588,0,1,.000,2,2,1.000,2,7,9,3,0,1,2,2,22,17.6,-29
33,34,34,2016-01-02,20-048,MIN,MIL,-10,1,26:12,4,17,.235,0,0,,0,0,,3,7,10,2,1,3,0,1,8,6.0,-4
34,35,35,2016-01-04,20-050,MIN,PHI,-10,1,24:35,4,8,.500,0,0,,0,0,,0,6,6,1,0,0,0,4,8,4.9,-7
35,36,36,2016-01-06,20-052,MIN,DEN,-4,1,32:07,6,14,.429,0,1,.000,2,2,1.000,4,10,14,2,0,2,0,2,14,14.4,+1
36,37,37,2016-01-08,20-054,MIN,CLE,-26,1,35:20,11,14,.786,0,0,,0,0,,2,4,6,3,0,0,2,3,22,18.1,-22
37,38,38,2016-01-10,20-056,MIN,DAL,-6,1,25:05,5,9,.556,0,0,,0,0,,1,3,4,1,1,2,2,3,10,7.2,+7
38,39,39,2016-01-12,20-058,MIN,OKC,-5,1,28:24,6,14,.429,0,1,.000,2,2,1.000,5,5,10,1,0,0,3,1,14,8.9,-20
39,40,40,2016-01-13,20-059,MIN,HOU,-3,1,33:22,4,10,.400,1,1,1.000,3,4,.750,6,10,16,3,2,0,3,2,12,13.7,+13
40,41,41,2016-01-15,20-061,MIN,OKC,-20,1,29:37,4,13,.308,0,2,.000,1,1,1.000,8,4,12,1,0,0,2,5,9,5.0,-22
41,42,42,2016-01-17,20-063,MIN,PHO,30,1,26:02,5,8,.625,1,1,1.000,3,3,1.000,1,7,8,1,1,3,2,2,14,14.2,+11
42,43,43,2016-01-19,20-065,MIN,NOP,-15,1,31:58,7,17,.412,1,1,1.000,5,5,1.000,2,11,13,2,1,1,5,2,20,12.9,+5
43,44,44,2016-01-20,20-066,MIN,DAL,-12,1,36:48,12,19,.632,1,1,1.000,2,3,.667,3,14,17,3,1,6,3,3,27,27.5,-15
44,45,45,2016-01-23,20-069,MIN,MEM,5,1,31:04,6,6,1.000,0,0,,2,2,1.000,1,8,9,3,1,1,2,3,14,15.9,+14
45,46,46,2016-01-25,20-071,MIN,CLE,-7,1,29:46,11,16,.688,0,1,.000,4,5,.800,4,7,11,4,1,1,2,3,26,25.0,+4
46,47,47,2016-01-27,20-073,MIN,OKC,-3,1,33:48,8,15,.533,0,0,,3,3,1.000,2,11,13,5,0,3,2,1,19,19.6,-9
47,48,48,2016-01-29,20-075,MIN,UTA,-13,1,36:08,13,17,.765,1,2,.500,5,5,1.000,5,7,12,1,1,1,5,1,32,27.9,0
48,49,49,2016-01-31,20-077,MIN,POR,-3,1,38:31,9,18,.500,1,2,.500,2,4,.500,6,7,13,2,2,3,3,0,21,20.0,+5
49,50,50,2016-02-02,20-079,MIN,LAL,-4,1,31:58,6,9,.667,1,2,.500,1,2,.500,2,8,10,2,0,2,1,3,14,14.1,-2
50,51,51,2016-02-03,20-080,MIN,LAC,6,1,31:03,7,16,.438,1,3,.333,2,2,1.000,3,9,12,2,0,1,1,4,17,12.9,+1
51,52,52,2016-02-06,20-083,MIN,CHI,7,1,40:52,12,19,.632,0,2,.000,2,2,1.000,6,11,17,1,0,3,2,3,26,24.6,+5
52,53,53,2016-02-08,20-085,MIN,NOP,-14,1,29:16,6,10,.600,0,0,,7,8,.875,1,11,12,1,0,1,3,3,19,15.2,-14
53,54,54,2016-02-10,20-087,MIN,TOR,5,1,35:23,12,19,.632,0,0,,11,13,.846,4,7,11,1,0,3,0,4,35,31.8,+11
54,55,55,2016-02-19,20-096,MIN,MEM,-5,1,35:30,4,15,.267,1,4,.250,2,2,1.000,5,10,15,3,1,2,3,4,11,8.5,0
55,56,56,2016-02-20,20-097,MIN,NYK,-8,1,41:15,10,23,.435,0,1,.000,4,5,.800,3,5,8,4,1,3,0,2,24,20.2,+3
56,57,57,2016-02-22,20-099,MIN,BOS,2,1,36:25,13,22,.591,1,2,.500,1,2,.500,5,8,13,4,0,2,3,2,28,23.7,+1
57,58,58,2016-02-24,20-101,MIN,TOR,-9,1,37:20,5,13,.385,0,1,.000,6,8,.750,0,6,6,0,1,0,1,5,16,7.9,-12
