,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,126,1,1988-11-04,25-312,NJN,ATL,-8,0,8:00,0,2,.000,0,0,,0,2,.000,0,1,1,0,0,3,1,3,0,-2.0,
1,127,2,1988-11-05,25-313,NJN,NYK,10,0,10:00,2,4,.500,0,0,,0,0,,2,1,3,1,2,1,3,4,4,2.5,
2,128,3,1988-11-08,25-316,NJN,WSB,8,0,10:00,1,1,1.000,0,0,,3,4,.750,1,2,3,0,0,0,0,1,5,5.2,
3,129,4,1988-11-11,25-319,NJN,CHI,-12,0,4:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,0,2,1.0,
4,130,5,1988-11-12,25-320,NJN,CHI,6,0,4:00,1,1,1.000,0,0,,0,0,,0,3,3,0,0,0,1,1,2,1.2,
5,131,6,1988-12-13,25-351,NJN,NYK,-21,0,5:00,1,4,.250,0,0,,0,0,,0,1,1,1,0,0,0,1,2,0.2,
6,132,7,1988-12-16,25-354,NJN,PHI,-8,0,12:00,1,4,.250,0,0,,2,2,1.000,0,3,3,1,0,0,0,2,4,2.4,
7,133,8,1988-12-17,25-355,NJN,IND,8,0,16:00,2,2,1.000,0,0,,3,4,.750,2,2,4,0,0,1,0,4,7,7.1,
8,134,9,1989-01-11,26-014,NJN,PHI,-9,0,2:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,
9,135,10,1989-01-14,26-017,NJN,IND,9,0,12:00,1,3,.333,0,0,,0,0,,1,3,4,0,0,0,0,2,2,1.1,
10,136,11,1989-01-17,26-020,NJN,SAS,5,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
11,137,12,1989-01-18,26-021,NJN,DET,-13,0,5:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,
12,138,13,1989-01-21,26-024,NJN,CLE,-12,0,12:00,2,4,.500,0,0,,0,0,,1,2,3,1,2,0,2,4,4,2.4,
13,139,14,1989-01-24,26-027,NJN,DEN,2,0,3:00,0,1,.000,0,0,,0,0,,1,3,4,0,0,0,0,1,0,0.5,
14,140,15,1989-01-26,26-029,NJN,SAC,-3,0,10:00,0,1,.000,0,0,,1,2,.500,0,2,2,0,0,0,1,3,1,-1.7,
15,141,16,1989-01-28,26-031,NJN,PHI,-18,0,24:00,2,7,.286,0,0,,1,2,.500,3,3,6,2,1,1,3,1,5,3.2,
16,142,17,1989-01-31,26-034,NJN,SEA,6,0,18:00,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,1,2,4,2.2,
17,143,18,1989-02-02,26-036,NJN,GSW,-14,0,12:00,1,5,.200,0,0,,0,0,,1,3,4,0,0,0,0,2,2,-0.3,
18,144,19,1989-02-03,26-037,NJN,UTA,-28,0,22:00,3,6,.500,0,0,,0,0,,3,5,8,3,1,0,0,2,6,8.9,
