,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,80,1,1989-12-02,25-193,CHH,SAS,-8,0,3:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-0.4,
1,81,2,1989-12-05,25-196,CHH,BOS,-13,0,9:00,1,2,.500,0,0,,0,0,,2,1,3,1,0,0,0,0,2,3.4,
2,82,3,1989-12-09,25-200,CHH,DEN,-13,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
3,83,4,1989-12-12,25-203,CHH,LAL,-14,0,15:00,2,7,.286,0,0,,1,2,.500,3,0,3,0,1,0,0,1,5,3.2,
4,84,5,1989-12-14,25-205,CHH,WSB,-4,0,12:00,2,3,.667,0,0,,1,2,.500,2,3,5,0,0,0,0,4,5,4.0,
5,85,6,1989-12-26,25-217,CHH,SAS,-25,0,6:00,2,2,1.000,0,0,,3,3,1.000,1,1,2,0,0,0,0,0,7,7.4,
6,86,7,1989-12-28,25-219,CHH,CLE,2,0,18:00,1,4,.250,0,0,,2,2,1.000,0,3,3,2,1,0,0,2,4,4.1,
7,87,8,1989-12-30,25-221,CHH,HOU,19,0,22:00,3,4,.750,0,0,,4,5,.800,2,1,3,1,1,0,2,3,10,8.2,
8,88,9,1990-01-04,25-226,CHH,MIN,-2,0,11:00,3,5,.600,0,0,,0,0,,1,2,3,0,0,0,0,2,6,4.2,
9,89,10,1990-01-06,25-228,CHH,IND,6,0,7:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,2,2,-0.5,
10,90,11,1990-01-08,25-230,CHH,MIL,-13,0,5:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,
11,91,12,1990-01-09,25-231,CHH,LAC,-10,0,12:00,1,3,.333,0,0,,0,0,,0,5,5,0,2,2,1,0,2,4.2,
12,92,13,1990-01-11,25-233,CHH,NJN,-8,0,6:00,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,2,2,1.5,
13,93,14,1990-01-12,25-234,CHH,CHI,-12,0,4:00,1,2,.500,0,0,,0,0,,0,3,3,0,0,0,0,0,2,1.9,
14,94,15,1990-01-15,25-237,CHH,PHO,-10,0,7:00,1,1,1.000,0,0,,0,0,,0,0,0,0,1,1,0,4,2,1.8,
15,95,16,1990-01-16,25-238,CHH,LAC,-8,0,9:00,0,1,.000,0,0,,0,0,,1,2,3,0,0,1,1,2,0,-0.5,
16,96,17,1990-01-18,25-240,CHH,DEN,2,0,8:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,1,2,2.0,
17,97,18,1990-01-19,25-241,CHH,UTA,-23,0,11:00,0,2,.000,0,0,,0,0,,0,2,2,1,1,1,1,1,0,0.2,
18,98,19,1990-01-21,25-243,CHH,POR,-15,0,10:00,3,4,.750,0,0,,1,3,.333,1,2,3,0,0,0,0,1,7,5.5,
19,99,20,1990-01-23,25-245,CHH,ATL,-5,0,11:00,3,3,1.000,0,0,,1,1,1.000,0,0,0,1,0,0,1,2,7,5.0,
20,100,21,1990-01-25,25-247,CHH,PHO,-27,0,10:00,1,3,.333,0,0,,0,3,.000,2,2,4,0,0,0,1,1,2,-0.3,
21,101,22,1990-01-27,25-249,CHH,SAC,-7,0,6:00,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-0.1,
22,102,23,1990-01-31,25-253,CHH,SAS,-34,0,13:00,2,7,.286,0,0,,2,2,1.000,2,3,5,1,0,0,0,4,6,3.3,
23,103,24,1990-02-02,25-255,CHH,SAS,-11,0,12:00,3,5,.600,0,0,,0,0,,1,1,2,1,1,0,0,3,6,5.2,
24,104,25,1990-02-05,25-258,CHH,SEA,-1,0,14:00,4,5,.800,1,1,1.000,0,0,,0,2,2,0,0,1,1,5,9,5.4,
25,105,26,1990-02-07,25-260,CHH,BOS,-21,0,8:00,1,3,.333,0,0,,0,0,,1,0,1,0,1,0,1,2,2,0.2,
26,106,27,1990-02-08,25-261,CHH,UTA,-20,0,15:00,0,3,.000,0,0,,0,0,,2,1,3,1,1,1,2,3,0,-1.2,
27,107,28,1990-02-13,25-266,CHH,IND,-23,0,17:00,4,7,.571,0,0,,1,2,.500,0,2,2,0,2,1,1,3,9,6.4,
28,108,29,1990-02-14,25-267,CHH,MIN,-9,0,4:00,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2.5,
29,109,30,1990-02-16,25-269,CHH,DEN,6,0,25:00,5,9,.556,0,0,,4,6,.667,3,3,6,1,1,3,0,5,14,13.7,
30,110,31,1990-02-18,25-271,CHH,SEA,-15,0,20:00,2,2,1.000,0,0,,2,2,1.000,0,4,4,0,1,0,3,3,6,3.4,
31,111,32,1990-02-20,25-273,CHH,POR,-10,0,13:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,2,2,0.5,
32,112,33,1990-02-23,25-276,CHH,MIL,-4,0,17:00,3,4,.750,0,0,,5,6,.833,2,2,4,0,0,0,4,4,11,5.4,
33,113,34,1990-02-25,25-278,CHH,CLE,-16,0,21:00,0,2,.000,0,0,,1,2,.500,2,3,5,0,1,0,5,4,1,-4.1,
