,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,534,1,1981-10-30,29-353,POR,PHO,8,0,17:00,4,5,.800,0,0,,1,3,.333,2,4,6,2,0,1,2,4,9,7.4,
1,535,2,1981-11-01,29-355,POR,SEA,10,0,22:00,3,7,.429,0,0,,1,1,1.000,4,7,11,2,1,1,1,3,7,9.1,
2,536,3,1981-11-03,29-357,POR,LAL,2,0,24:00,1,7,.143,0,0,,0,0,,2,4,6,2,0,1,1,6,2,-1.2,
3,537,4,1981-11-04,29-358,POR,GSW,1,0,18:00,2,7,.286,0,0,,3,6,.500,0,3,3,1,0,0,1,2,7,1.5,
4,538,5,1981-11-06,29-360,POR,UTA,10,0,17:00,2,2,1.000,0,0,,1,1,1.000,0,3,3,4,0,1,0,3,5,7.6,
5,539,6,1981-12-22,30-041,POR,LAL,-14,0,12:00,1,3,.333,0,0,,0,0,,1,1,2,1,0,0,2,3,2,-1.2,
6,540,7,1981-12-25,30-044,POR,SEA,5,0,11:00,1,1,1.000,0,0,,0,0,,3,1,4,1,0,0,0,4,2,3.2,
7,541,8,1981-12-26,30-045,POR,SDC,12,0,11:00,2,3,.667,0,0,,0,0,,1,3,4,1,0,0,1,4,4,2.4,
8,542,9,1981-12-30,30-049,POR,PHO,-1,0,15:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.9,
9,543,10,1982-01-01,30-051,POR,PHI,-15,0,9:00,1,3,.333,0,0,,0,0,,2,4,6,0,0,0,2,1,2,0.5,
10,544,11,1982-01-28,30-078,POR,SDC,3,0,5:00,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,1,1,0.2,
11,545,12,1982-02-05,30-086,POR,UTA,21,0,4:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,2,0,-1.2,
12,546,13,1982-02-14,30-095,POR,IND,-16,0,10:00,0,1,.000,0,0,,0,0,,0,3,3,1,0,0,1,3,0,-1.3,
13,547,14,1982-02-16,30-097,POR,WSB,-3,0,7:00,0,0,,0,0,,0,0,,0,1,1,0,0,1,1,0,0,0.0,
14,548,15,1982-02-19,30-100,POR,BOS,-10,0,11:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,4,0,-2.0,
15,549,16,1982-02-24,30-105,POR,KCK,12,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
16,550,17,1982-02-26,30-107,POR,NJN,-4,0,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,,0,1,0,,
17,551,18,1982-03-07,30-116,POR,GSW,4,0,11:00,1,4,.250,0,0,,2,4,.500,2,2,4,1,1,0,1,3,4,2.3,
18,552,19,1982-03-10,30-119,POR,DAL,-2,0,14:00,0,2,.000,0,0,,0,0,,1,2,3,2,0,0,2,2,0,-1.5,
19,553,20,1982-03-12,30-121,POR,SAS,4,0,7:00,0,4,.000,0,0,,0,0,,2,2,4,0,1,1,1,2,0,-0.9,
20,554,21,1982-03-13,30-122,POR,HOU,-5,0,5:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,2,2,1.2,
