,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,288,1,2013-10-30,25-053,MIN,ORL,5,1,40:37,8,19,.421,3,8,.375,12,16,.750,4,13,17,4,0,0,1,3,31,26.6,+9
1,289,2,2013-11-01,25-055,MIN,OKC,19,1,28:47,7,12,.583,3,5,.600,7,8,.875,1,11,12,2,2,0,1,1,24,24.0,+26
2,290,3,2013-11-03,25-057,MIN,NYK,9,1,40:31,10,19,.526,2,8,.250,12,15,.800,2,13,15,5,0,0,4,4,34,26.7,+24
3,291,4,2013-11-04,25-058,MIN,CLE,-1,1,36:19,8,20,.400,0,7,.000,1,1,1.000,4,9,13,5,0,1,3,1,17,12.5,+7
4,292,5,2013-11-06,25-060,MIN,GSW,-13,1,37:44,10,25,.400,1,4,.250,4,4,1.000,7,9,16,6,2,1,3,0,25,23.0,-2
5,293,6,2013-11-08,25-062,MIN,DAL,8,1,34:39,12,21,.571,3,6,.500,5,5,1.000,6,9,15,8,0,1,2,2,32,32.5,+19
6,294,7,2013-11-10,25-064,MIN,LAL,23,1,36:47,8,17,.471,4,9,.444,5,5,1.000,1,12,13,3,1,0,3,2,25,19.9,+21
7,295,8,2013-11-11,25-065,MIN,LAC,-2,1,38:48,8,19,.421,4,8,.500,3,4,.750,5,14,19,7,0,0,3,3,23,20.9,+4
8,296,9,2013-11-13,25-067,MIN,CLE,29,1,31:28,10,16,.625,1,4,.250,12,14,.857,2,6,8,6,0,0,0,2,33,31.6,+26
9,297,10,2013-11-15,25-069,MIN,DEN,-4,1,35:21,10,20,.500,2,7,.286,6,7,.857,2,8,10,2,3,2,3,4,28,22.6,-1
10,298,11,2013-11-16,25-070,MIN,BOS,18,1,32:36,7,16,.438,2,4,.500,7,7,1.000,2,10,12,2,1,0,7,3,23,13.2,+20
11,299,12,2013-11-19,25-073,MIN,WAS,-4,1,36:56,8,17,.471,4,10,.400,5,9,.556,6,5,11,4,0,0,3,5,25,18.2,-10
12,300,13,2013-11-20,25-074,MIN,LAC,-4,1,37:19,2,14,.143,0,3,.000,6,10,.600,4,8,12,8,1,0,5,2,10,5.4,+4
13,301,14,2013-11-22,25-076,MIN,BRK,30,1,27:54,5,11,.455,0,3,.000,7,7,1.000,6,10,16,4,2,0,1,1,17,21.9,+30
14,302,15,2013-11-23,25-077,MIN,HOU,-11,1,36:02,11,22,.500,2,5,.400,3,3,1.000,6,9,15,2,1,0,2,1,27,22.9,-15
15,303,16,2013-11-25,25-079,MIN,IND,-14,1,41:04,6,20,.300,1,5,.200,7,8,.875,4,13,17,2,1,0,5,1,20,11.7,-5
16,304,17,2013-11-27,25-081,MIN,DEN,-7,1,40:04,7,19,.368,3,9,.333,2,2,1.000,5,10,15,3,1,0,2,2,19,15.3,+1
17,305,18,2013-11-30,25-084,MIN,DAL,6,1,35:10,6,14,.429,2,5,.400,7,11,.636,3,8,11,2,0,1,1,1,21,17.2,+12
18,306,19,2013-12-01,25-085,MIN,OKC,-10,1,32:27,4,14,.286,3,6,.500,5,7,.714,3,9,12,2,1,0,1,2,16,12.4,+2
19,307,21,2013-12-10,25-094,MIN,DET,27,1,30:03,6,15,.400,4,6,.667,10,10,1.000,6,10,16,7,0,0,4,1,26,25.6,+19
20,308,22,2013-12-11,25-095,MIN,PHI,7,1,37:17,9,21,.429,1,6,.167,7,8,.875,4,11,15,5,2,0,3,0,26,23.1,-6
21,309,23,2013-12-13,25-097,MIN,SAS,-7,1,38:32,15,27,.556,8,9,.889,4,4,1.000,4,10,14,2,1,0,1,0,42,36.3,+5
22,310,24,2013-12-15,25-099,MIN,MEM,8,1,37:44,11,21,.524,4,8,.500,4,4,1.000,2,7,9,4,0,3,3,1,30,24.7,+7
23,311,25,2013-12-16,25-100,MIN,BOS,-4,1,36:16,9,25,.360,2,11,.182,7,11,.636,5,9,14,1,1,0,1,2,27,17.6,-11
24,312,26,2013-12-18,25-102,MIN,POR,11,1,40:51,10,18,.556,4,7,.571,5,6,.833,2,13,15,9,1,0,4,0,29,28.6,+5
25,313,27,2013-12-20,25-104,MIN,LAL,-13,1,41:59,9,18,.500,2,7,.286,5,5,1.000,4,9,13,3,0,1,0,2,25,23.5,-8
26,314,28,2013-12-22,25-106,MIN,LAC,-4,1,43:23,15,23,.652,2,6,.333,13,15,.867,3,16,19,6,1,0,4,3,45,41.0,-2
27,315,29,2013-12-27,25-111,MIN,WAS,22,1,32:21,8,18,.444,2,7,.286,7,7,1.000,1,10,11,1,1,0,0,2,25,20.2,+8
28,316,30,2013-12-28,25-112,MIN,MIL,22,1,34:44,11,17,.647,4,6,.667,7,9,.778,2,13,15,6,1,0,2,1,33,32.8,+33
29,317,31,2013-12-30,25-114,MIN,DAL,-2,1,39:42,14,24,.583,2,7,.286,6,8,.750,4,7,11,4,1,0,1,3,36,30.5,-3
30,318,32,2014-01-01,25-116,MIN,NOP,12,1,34:50,7,19,.368,1,7,.143,6,8,.750,2,4,6,3,1,1,2,2,21,13.3,+21
31,319,33,2014-01-04,25-119,MIN,OKC,-4,1,43:25,11,21,.524,5,9,.556,3,7,.429,2,12,14,5,2,1,7,2,30,21.5,-4
32,320,34,2014-01-06,25-121,MIN,PHI,31,1,29:02,7,12,.583,4,7,.571,8,10,.800,1,6,7,4,2,1,1,0,26,26.6,+28
33,321,35,2014-01-08,25-123,MIN,PHO,-1,1,36:57,4,20,.200,1,5,.200,6,6,1.000,2,10,12,1,0,0,0,5,15,5.7,-4
34,322,36,2014-01-10,25-125,MIN,CHA,27,1,31:53,6,10,.600,2,4,.500,5,7,.714,2,12,14,4,0,1,1,1,19,20.7,+12
35,323,37,2014-01-12,25-127,MIN,SAS,-18,1,31:48,3,14,.214,0,2,.000,8,11,.727,1,6,7,0,0,2,1,0,14,7.1,-18
36,324,38,2014-01-15,25-130,MIN,SAC,-3,1,37:21,9,16,.563,4,6,.667,5,6,.833,3,8,11,5,1,0,1,2,27,26.2,-3
37,325,39,2014-01-17,25-132,MIN,TOR,-5,1,32:24,7,19,.368,1,3,.333,1,2,.500,4,8,12,3,1,0,1,5,16,10.4,-5
38,326,40,2014-01-18,25-133,MIN,UTA,26,1,29:13,5,10,.500,2,4,.500,6,11,.545,2,11,13,5,3,1,1,2,18,21.1,+35
39,327,41,2014-01-21,25-136,MIN,UTA,15,1,37:54,7,15,.467,1,6,.167,4,5,.800,3,10,13,7,0,0,2,1,19,18.5,+26
40,328,42,2014-01-24,25-139,MIN,GSW,1,1,36:42,7,18,.389,1,5,.200,11,14,.786,5,9,14,8,1,0,2,1,26,25.4,-1
41,329,43,2014-01-25,25-140,MIN,POR,-11,1,36:23,4,12,.333,1,3,.333,6,6,1.000,1,12,13,4,1,1,4,2,15,12.2,+5
42,330,44,2014-01-27,25-142,MIN,CHI,9,1,35:48,8,17,.471,1,7,.143,14,14,1.000,0,8,8,2,1,0,3,4,31,22.5,+4
43,331,45,2014-01-29,25-144,MIN,NOP,11,1,43:26,11,26,.423,1,6,.167,7,9,.778,5,9,14,5,0,0,3,1,30,21.7,+8
44,332,46,2014-01-31,25-146,MIN,MEM,-4,1,37:12,12,20,.600,3,7,.429,1,1,1.000,2,14,16,2,0,1,2,2,28,23.7,+5
45,333,47,2014-02-01,25-147,MIN,ATL,-7,1,38:00,12,22,.545,2,3,.667,17,18,.944,6,13,19,1,1,0,3,0,43,38.8,-9
46,334,48,2014-02-04,25-150,MIN,LAL,10,1,40:38,8,19,.421,2,5,.400,13,18,.722,3,14,17,3,1,1,3,2,31,25.2,+5
47,335,50,2014-02-07,25-153,MIN,NOP,-7,1,35:31,6,20,.300,0,6,.000,14,17,.824,4,15,19,3,1,0,2,3,26,20.4,-2
48,336,52,2014-02-10,25-156,MIN,HOU,-18,1,36:50,9,23,.391,1,6,.167,12,12,1.000,3,7,10,1,1,0,4,1,31,20.0,-11
49,337,53,2014-02-12,25-158,MIN,DEN,27,1,36:54,11,20,.550,6,11,.545,4,4,1.000,2,9,11,8,0,1,1,2,32,31.0,+30
50,338,54,2014-02-19,25-165,MIN,IND,13,1,37:22,14,22,.636,5,10,.500,9,10,.900,1,15,16,1,1,0,3,2,42,34.9,+14
51,339,55,2014-02-22,25-168,MIN,UTA,17,1,32:35,11,20,.550,6,10,.600,9,10,.900,3,9,12,10,1,0,1,3,37,37.6,+23
52,340,56,2014-02-23,25-169,MIN,POR,-11,1,34:58,11,21,.524,2,8,.250,7,9,.778,2,8,10,0,1,0,4,4,31,19.1,-19
53,341,57,2014-02-25,25-171,MIN,PHO,9,1,38:58,10,22,.455,3,6,.500,10,14,.714,3,10,13,9,0,2,3,1,33,29.4,+16
54,342,58,2014-03-01,25-175,MIN,SAC,11,1,37:49,4,12,.333,2,5,.400,12,14,.857,1,9,10,7,2,1,3,3,22,21.2,+19
55,343,59,2014-03-03,25-177,MIN,DEN,4,1,37:55,10,21,.476,2,6,.333,11,13,.846,3,16,19,4,2,0,4,1,33,28.8,-3
56,344,60,2014-03-05,25-179,MIN,NYK,-12,1,35:45,6,17,.353,3,10,.300,4,6,.667,3,5,8,2,0,0,2,2,19,10.9,-6
57,345,61,2014-03-07,25-181,MIN,DET,13,1,36:22,10,18,.556,3,7,.429,5,6,.833,5,9,14,4,2,0,2,1,28,27.6,+20
58,346,62,2014-03-09,25-183,MIN,TOR,-7,1,40:35,9,22,.409,4,9,.444,4,4,1.000,3,8,11,9,1,1,0,2,26,25.9,0
59,347,63,2014-03-11,25-185,MIN,MIL,11,1,42:19,10,22,.455,3,9,.333,4,7,.571,2,8,10,6,0,3,0,1,27,24.1,+12
60,348,64,2014-03-14,25-188,MIN,CHA,-12,1,36:01,7,17,.412,2,4,.500,2,4,.500,0,6,6,5,0,0,0,1,18,13.0,-2
61,349,65,2014-03-16,25-190,MIN,SAC,2,1,38:37,9,15,.600,3,6,.500,5,7,.714,1,9,10,5,1,0,4,1,26,21.8,+9
62,350,66,2014-03-19,25-193,MIN,DAL,1,1,41:11,11,20,.550,2,5,.400,11,14,.786,1,7,8,3,0,1,4,2,35,25.0,-9
