,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,476,1,1986-10-31,28-316,BOS,WSB,18,1,37:00,8,11,.727,0,0,,6,6,1.000,3,6,9,1,0,1,2,5,22,18.8,
1,477,2,1986-11-01,28-317,BOS,MIL,-6,1,46:00,11,23,.478,0,0,,11,14,.786,5,8,13,3,0,2,3,4,33,24.9,
2,478,3,1986-11-05,28-321,BOS,IND,31,1,30:00,9,14,.643,0,0,,5,5,1.000,0,8,8,3,0,3,2,2,23,20.6,
3,479,4,1986-11-07,28-323,BOS,WSB,2,1,42:00,9,14,.643,0,0,,2,4,.500,1,8,9,3,1,5,3,4,20,18.1,
4,480,5,1986-11-11,28-327,BOS,NJN,-4,1,48:00,11,21,.524,0,1,.000,10,13,.769,8,6,14,5,2,4,2,2,32,33.4,
5,481,6,1986-11-12,28-328,BOS,MIL,8,1,39:00,8,17,.471,0,0,,13,14,.929,1,9,10,3,0,1,2,4,29,22.5,
6,482,7,1986-11-14,28-330,BOS,CHI,12,1,39:00,12,16,.750,0,0,,8,8,1.000,3,5,8,1,0,2,3,4,32,26.7,
7,483,8,1986-11-15,28-331,BOS,DET,7,1,43:00,9,16,.563,0,0,,2,3,.667,1,4,5,4,0,3,1,3,20,16.6,
8,484,9,1986-11-19,28-335,BOS,ATL,4,1,43:00,8,15,.533,0,0,,14,17,.824,1,4,5,3,0,2,5,4,30,20.3,
9,485,10,1986-11-21,28-337,BOS,GSW,15,1,40:00,8,13,.615,0,0,,7,9,.778,6,11,17,0,0,3,3,2,23,22.1,
10,486,11,1986-11-22,28-338,BOS,ATL,-1,1,42:00,6,9,.667,0,0,,13,15,.867,3,7,10,2,1,1,2,3,25,24.4,
11,487,12,1986-11-25,28-341,BOS,PHI,-2,1,42:00,12,18,.667,0,0,,5,8,.625,5,10,15,5,3,4,3,5,29,30.8,
12,488,13,1986-11-26,28-342,BOS,NYK,11,1,31:00,13,19,.684,0,0,,5,6,.833,4,3,7,4,0,1,1,4,31,27.1,
13,489,14,1986-11-28,28-344,BOS,SAS,15,1,39:00,9,14,.643,0,0,,5,6,.833,1,11,12,3,0,3,7,5,23,15.6,
14,490,15,1986-12-02,28-348,BOS,WSB,-8,1,44:00,9,19,.474,0,0,,3,4,.750,1,11,12,6,1,4,3,3,21,18.7,
15,491,16,1986-12-03,28-349,BOS,DEN,6,1,42:00,8,16,.500,0,0,,8,9,.889,1,7,8,4,2,2,6,3,24,17.4,
16,492,17,1986-12-05,28-351,BOS,PHI,2,1,40:00,11,17,.647,0,0,,0,0,,2,5,7,5,0,1,2,5,22,17.6,
17,493,18,1986-12-06,28-352,BOS,CLE,-2,1,42:00,11,22,.500,0,0,,9,10,.900,6,6,12,4,0,4,0,4,31,29.6,
18,494,19,1986-12-10,28-356,BOS,NJN,10,1,43:00,8,18,.444,0,0,,8,8,1.000,6,9,15,4,1,1,2,4,24,22.4,
