,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,440,1,1980-10-10,28-292,SAS,DEN,1,,,6,,,0,,,0,0,,,,,,,,,,12,,
1,441,2,1980-10-11,28-293,SAS,DAL,-11,,13:00,3,9,.333,0,,,0,0,,,,1,0,,0,,2,6,,
2,442,3,1980-10-14,28-296,SAS,KCK,6,,,0,,,0,,,0,0,,,,,,,,,,0,,
3,443,4,1980-10-16,28-298,SAS,DET,3,,,1,,,0,,,0,0,,,,,,,,,,2,,
4,444,5,1980-10-18,28-300,SAS,DAL,14,,,3,,,0,,,0,0,,,,,,,,,,6,,
5,445,6,1980-10-21,28-303,SAS,SDC,3,,,0,,,0,,,1,2,.500,,,,,,,,,1,,
6,446,7,1980-10-23,28-305,SAS,GSW,19,,,4,,,0,,,5,6,.833,,,,,,,,,13,,
7,447,8,1980-10-25,28-307,SAS,SDC,18,,,4,,,0,,,4,4,1.000,,,,,,,,,12,,
8,448,9,1980-10-26,28-308,SAS,LAL,6,,,2,,,0,,,1,2,.500,,,,,,,,,5,,
9,449,10,1980-10-28,28-310,SAS,POR,8,,,6,,,0,,,2,2,1.000,,,,,,,,,14,,
10,450,11,1980-10-29,28-311,SAS,UTA,-13,,,2,,,0,,,0,0,,,,,,,,,,4,,
11,451,12,1980-10-31,28-313,SAS,SEA,16,,,7,,,0,,,0,0,,,,,,,,,,14,,
12,452,13,1980-11-01,28-314,SAS,GSW,-15,,,9,,,0,,,4,5,.800,,,,,,,,,22,,
13,453,14,1980-11-05,28-318,SAS,PHO,30,,,3,,,0,,,3,4,.750,,,,,,,,,9,,
14,454,15,1980-11-08,28-321,SAS,LAL,3,,,1,,,0,,,0,0,,,,,,,,,,2,,
15,455,16,1980-11-11,28-324,SAS,IND,-6,,,3,,,0,,,0,0,,,,,,,,,,6,,
16,456,17,1980-11-12,28-325,SAS,PHO,-3,,,5,,,1,,,2,3,.667,,,,,,,,,13,,
17,457,18,1980-11-15,28-328,SAS,UTA,16,,,4,,,0,,,1,2,.500,,,,,,,,,9,,
18,458,19,1980-11-18,28-331,SAS,ATL,-4,,,6,,,1,,,1,1,1.000,,,,,,,,,14,,
19,459,20,1980-11-19,28-332,SAS,NJN,8,,,1,,,0,,,0,0,,,,,,,,,,2,,
20,460,21,1980-11-22,28-335,SAS,PHI,-7,,,1,,,0,,,0,0,,,,,,,,,,2,,
21,461,22,1980-11-26,28-339,SAS,CHI,3,,,3,,,0,,,0,0,,,,,,,,,,6,,
22,462,23,1980-11-28,28-341,SAS,HOU,-9,,,4,,,0,,,0,0,,,,,,,,,,8,,
