,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,563,1,1992-11-06,30-061,ATL,NYK,-12,1,40:00,10,20,.500,0,1,.000,8,15,.533,3,7,10,4,1,0,6,3,28,16.0,
1,564,2,1992-11-07,30-062,ATL,CHI,1,1,45:00,11,15,.733,0,0,,4,7,.571,4,8,12,3,2,1,3,5,26,23.7,
2,565,3,1992-11-11,30-066,ATL,HOU,-19,1,37:00,4,12,.333,0,1,.000,3,4,.750,5,10,15,2,0,0,6,4,11,4.1,
3,566,4,1992-11-12,30-067,ATL,SAS,7,1,38:00,8,21,.381,0,0,,0,0,,4,3,7,2,2,1,3,2,16,8.5,
4,567,5,1992-11-14,30-069,ATL,DAL,-8,1,35:00,8,13,.615,0,0,,3,3,1.000,5,9,14,1,1,0,2,4,19,17.4,
5,568,6,1992-11-17,30-072,ATL,MIL,-8,1,34:00,5,13,.385,1,1,1.000,3,4,.750,4,6,10,2,3,0,1,4,14,12.9,
6,569,7,1992-11-19,30-074,ATL,NJN,-7,1,34:00,6,11,.545,0,0,,3,6,.500,5,7,12,1,2,1,2,3,15,14.3,
7,570,8,1992-11-21,30-076,ATL,BOS,9,1,31:00,4,11,.364,0,0,,2,2,1.000,2,7,9,1,1,1,2,3,10,6.6,
8,571,9,1992-11-23,30-078,ATL,BOS,4,1,39:00,6,14,.429,0,0,,2,2,1.000,5,5,10,3,1,0,1,4,14,12.1,
9,572,10,1992-11-25,30-080,ATL,PHI,6,1,34:00,7,15,.467,0,0,,6,6,1.000,8,11,19,1,0,2,1,2,20,21.5,
10,573,11,1992-11-27,30-082,ATL,CLE,-21,1,20:00,4,9,.444,0,0,,3,4,.750,3,5,8,0,0,0,3,2,11,5.7,
11,574,12,1992-11-28,30-083,ATL,MIA,12,1,41:00,10,14,.714,0,0,,5,7,.714,7,8,15,3,0,2,6,4,25,21.6,
12,575,13,1992-12-01,30-086,ATL,IND,12,1,37:00,13,28,.464,0,1,.000,3,9,.333,5,9,14,0,2,1,1,3,29,18.9,
13,576,14,1992-12-02,30-087,ATL,NJN,-7,1,15:00,1,4,.250,0,0,,2,2,1.000,1,2,3,0,0,0,1,3,4,0.7,
14,577,15,1992-12-04,30-089,ATL,IND,-16,1,38:00,6,12,.500,0,0,,6,8,.750,4,9,13,2,0,0,2,2,18,15.3,
15,578,16,1992-12-05,30-090,ATL,SAS,8,1,41:00,15,20,.750,1,1,1.000,3,3,1.000,2,17,19,2,1,1,4,4,34,30.0,
16,579,17,1992-12-08,30-093,ATL,CHI,9,1,42:00,15,20,.750,0,0,,1,1,1.000,2,14,16,3,1,1,4,4,31,26.8,
