,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,149,1,2013-10-30,23-264,GSW,LAL,31,1,31:04,15,19,.789,5,7,.714,3,4,.750,1,2,3,1,0,0,1,3,38,30.1,+30
1,150,2,2013-10-31,23-265,GSW,LAC,-11,1,38:09,3,7,.429,1,2,.500,3,3,1.000,0,1,1,1,2,0,2,4,10,5.7,-13
2,151,3,2013-11-02,23-267,GSW,SAC,11,1,40:14,10,17,.588,3,8,.375,4,4,1.000,1,6,7,2,1,0,1,3,27,21.8,+19
3,152,4,2013-11-04,23-269,GSW,PHI,20,1,29:38,5,12,.417,4,8,.500,1,2,.500,1,2,3,2,2,0,1,3,15,10.7,+38
4,153,5,2013-11-06,23-271,GSW,MIN,13,1,37:18,11,21,.524,6,9,.667,2,2,1.000,0,2,2,1,1,2,0,4,30,21.8,+8
5,154,6,2013-11-08,23-273,GSW,SAS,-2,1,39:27,5,16,.313,1,5,.200,0,0,,0,1,1,2,3,1,3,4,11,2.6,-1
6,155,7,2013-11-09,23-274,GSW,MEM,-18,1,28:26,5,13,.385,2,8,.250,0,0,,0,1,1,2,0,1,0,3,12,6.1,-20
7,156,8,2013-11-12,23-277,GSW,DET,18,1,26:54,6,9,.667,2,4,.500,0,0,,0,2,2,3,0,0,0,2,14,12.0,+17
8,157,9,2013-11-14,23-279,GSW,OKC,1,1,38:02,10,15,.667,6,9,.667,1,1,1.000,2,3,5,2,0,3,0,3,27,25.1,0
9,158,10,2013-11-16,23-281,GSW,UTA,14,1,39:53,9,14,.643,5,8,.625,2,2,1.000,1,3,4,2,0,0,2,0,25,19.8,+21
10,159,11,2013-11-18,23-283,GSW,UTA,11,1,41:20,6,17,.353,3,7,.429,2,4,.500,2,3,5,0,0,0,1,2,17,7.2,+20
11,160,12,2013-11-20,23-285,GSW,MEM,-7,1,48:04,9,19,.474,2,7,.286,1,2,.500,1,0,1,0,0,0,3,2,21,7.8,+1
12,161,13,2013-11-22,23-287,GSW,LAL,-7,1,41:13,6,20,.300,4,10,.400,3,5,.600,0,3,3,3,2,0,2,2,19,8.8,-6
13,162,14,2013-11-23,23-288,GSW,POR,-12,1,27:07,10,13,.769,2,4,.500,8,8,1.000,0,1,1,1,1,0,4,6,30,20.5,-2
14,163,15,2013-11-26,23-291,GSW,NOP,1,1,42:55,8,18,.444,3,6,.500,3,6,.500,2,3,5,8,1,1,4,1,22,16.6,-2
15,164,16,2013-11-27,23-292,GSW,DAL,-4,1,37:52,5,16,.313,3,9,.333,7,8,.875,1,9,10,2,0,0,4,2,20,10.4,+6
16,165,17,2013-11-29,23-294,GSW,OKC,-1,1,48:20,5,19,.263,2,9,.222,4,7,.571,2,4,6,4,2,1,1,5,16,8.6,+7
17,166,18,2013-12-01,23-296,GSW,SAC,2,1,40:52,10,19,.526,8,11,.727,0,0,,0,2,2,1,3,0,4,4,28,17.4,+1
18,167,19,2013-12-03,23-298,GSW,TOR,9,1,41:08,8,20,.400,6,12,.500,0,0,,1,2,3,7,1,0,2,4,22,14.8,+5
19,168,20,2013-12-06,23-301,GSW,HOU,-22,1,34:59,2,10,.200,0,4,.000,1,1,1.000,0,3,3,1,1,0,3,4,5,-3.2,-16
