,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,238,1,2010-10-30,24-219,HOU,DEN,-13,0,20:28,0,7,.000,0,2,.000,1,2,.500,3,4,7,3,0,0,3,3,1,-3.1,-4
1,239,2,2010-11-03,24-223,HOU,NOH,-8,0,20:46,3,7,.429,2,5,.400,1,2,.500,0,0,0,3,0,0,2,5,9,3.0,+2
2,240,3,2010-11-10,24-230,HOU,WAS,-7,0,21:19,2,11,.182,0,3,.000,0,0,,2,1,3,4,0,0,2,4,4,-2.0,-7
3,241,4,2010-11-12,24-232,HOU,IND,3,0,34:37,5,10,.500,0,1,.000,3,4,.750,1,5,6,7,2,2,4,3,13,12.9,+3
4,242,5,2010-11-14,24-234,HOU,NYK,8,1,35:46,1,6,.167,0,3,.000,5,8,.625,0,7,7,6,3,0,5,3,7,5.1,+1
5,243,6,2010-11-16,24-236,HOU,CHI,-3,1,43:12,3,5,.600,0,0,,1,3,.333,1,3,4,7,2,0,4,5,7,6.4,+4
6,244,7,2010-11-17,24-237,HOU,OKC,-17,1,22:29,0,3,.000,0,1,.000,2,2,1.000,1,3,4,4,1,0,4,3,2,0.1,-9
7,245,8,2010-11-19,24-239,HOU,TOR,-10,1,40:03,3,9,.333,1,1,1.000,4,4,1.000,1,6,7,12,2,0,2,5,11,14.8,0
8,246,9,2010-11-22,24-242,HOU,PHO,-7,1,32:08,6,10,.600,0,1,.000,1,1,1.000,0,1,1,8,6,0,1,3,13,18.1,-15
9,247,10,2010-11-24,24-244,HOU,GSW,10,1,39:34,4,8,.500,1,2,.500,5,6,.833,0,7,7,10,2,0,3,4,14,16.1,+20
10,248,11,2010-11-26,24-246,HOU,CHA,-10,1,38:22,3,7,.429,0,2,.000,0,1,.000,1,2,3,6,1,1,2,2,6,6.3,-12
11,249,12,2010-11-28,24-248,HOU,OKC,1,1,38:16,5,12,.417,2,4,.500,2,4,.500,3,3,6,8,1,2,1,3,14,15.6,+2
12,250,13,2010-11-29,24-249,HOU,DAL,-10,1,25:36,3,7,.429,0,2,.000,0,0,,0,1,1,5,0,0,2,1,6,3.7,-13
13,251,14,2010-12-01,24-251,HOU,LAL,10,1,35:37,2,4,.500,2,4,.500,2,2,1.000,1,1,2,10,2,0,2,2,8,13.2,+18
14,252,15,2010-12-03,24-253,HOU,MEM,16,1,39:09,11,15,.733,4,5,.800,2,2,1.000,1,2,3,12,2,0,3,2,28,29.8,+13
15,253,16,2010-12-04,24-254,HOU,CHI,-3,1,43:32,5,17,.294,1,4,.250,5,7,.714,2,5,7,4,3,0,2,1,16,11.6,+6
16,254,17,2010-12-07,24-257,HOU,DET,14,1,42:02,7,13,.538,4,6,.667,4,5,.800,1,2,3,12,6,0,6,2,22,24.2,+27
17,255,18,2010-12-10,24-260,HOU,MIL,-6,1,32:53,4,15,.267,2,5,.400,1,2,.500,1,2,3,3,1,0,2,2,11,3.3,-14
18,256,19,2010-12-11,24-261,HOU,CLE,15,1,34:36,3,7,.429,1,3,.333,0,0,,1,2,3,6,1,1,1,2,7,8.7,+8
19,257,20,2010-12-14,24-264,HOU,SAC,13,1,28:14,4,7,.571,2,4,.500,2,4,.500,2,2,4,9,3,0,2,1,12,16.8,+11
20,258,21,2010-12-15,24-265,HOU,OKC,-12,1,34:40,5,11,.455,1,3,.333,4,4,1.000,0,4,4,3,3,0,1,5,15,12.6,-3
21,259,22,2010-12-17,24-267,HOU,MEM,16,1,38:22,5,9,.556,2,4,.500,5,6,.833,1,1,2,18,5,1,5,4,17,25.0,+31
22,260,23,2010-12-19,24-269,HOU,SAC,9,1,33:00,5,10,.500,2,3,.667,1,2,.500,4,2,6,7,0,0,5,2,13,10.1,+8
23,261,24,2010-12-20,24-270,HOU,GSW,9,1,36:22,3,6,.500,2,3,.667,5,8,.625,1,2,3,8,4,0,2,1,13,17.3,+8
24,262,25,2010-12-22,24-272,HOU,LAC,5,1,31:17,2,7,.286,0,3,.000,1,3,.333,1,3,4,6,2,0,1,2,5,6.1,+10
25,263,26,2010-12-27,24-277,HOU,WAS,7,1,31:40,3,7,.429,1,4,.250,1,2,.500,0,4,4,6,1,2,4,4,8,6.1,+12
26,264,27,2010-12-29,24-279,HOU,MIA,-6,1,23:52,3,6,.500,3,4,.750,2,4,.500,3,4,7,7,1,0,1,5,11,13.4,+4
27,265,28,2010-12-31,24-281,HOU,TOR,9,1,25:30,2,9,.222,0,3,.000,2,2,1.000,0,4,4,3,0,1,1,2,6,2.7,-4
28,266,29,2011-01-02,24-283,HOU,POR,-15,1,21:48,2,6,.333,1,2,.500,1,2,.500,0,1,1,4,0,2,0,0,6,6.7,-13
29,267,30,2011-01-03,24-284,HOU,DEN,-7,1,31:40,5,12,.417,4,7,.571,7,10,.700,3,4,7,4,3,0,0,5,21,20.5,-6
30,268,31,2011-01-05,24-286,HOU,POR,-3,1,39:13,2,7,.286,1,3,.333,3,4,.750,0,4,4,7,0,1,2,5,8,6.3,-8
31,269,32,2011-01-07,24-288,HOU,ORL,-15,1,21:17,0,3,.000,0,1,.000,0,2,.000,1,0,1,5,1,0,0,4,0,0.7,-15
32,270,33,2011-01-08,24-289,HOU,UTA,-4,1,43:25,1,13,.077,0,7,.000,4,6,.667,3,3,6,6,1,0,1,4,6,2.1,-10
33,271,34,2011-01-10,24-291,HOU,BOS,6,1,37:31,4,9,.444,1,4,.250,8,8,1.000,2,0,2,8,1,1,1,3,17,18.8,+11
34,272,35,2011-01-12,24-293,HOU,OKC,-6,1,37:47,8,14,.571,0,1,.000,2,2,1.000,1,2,3,4,1,0,1,1,18,15.1,0
35,273,36,2011-01-14,24-295,HOU,NOH,-5,1,44:32,10,20,.500,2,5,.400,6,6,1.000,3,3,6,7,3,0,2,5,28,24.9,+9
36,274,37,2011-01-15,24-296,HOU,ATL,6,1,33:17,6,12,.500,2,4,.500,2,2,1.000,2,3,5,4,1,0,4,2,16,11.3,-5
37,275,38,2011-01-17,24-298,HOU,MIL,9,1,34:16,2,9,.222,0,1,.000,0,0,,1,4,5,6,2,0,0,1,4,6.2,+12
38,276,39,2011-01-19,24-300,HOU,NYK,15,1,34:29,8,14,.571,2,6,.333,0,0,,1,0,1,4,0,0,1,1,18,13.5,+19
