,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,151,1,1984-10-27,23-126,KCK,POR,-21,1,30:00,4,16,.250,0,0,,2,4,.500,3,7,10,2,0,2,2,5,10,2.6,
1,152,2,1984-10-30,23-129,KCK,CHI,-5,1,21:00,1,2,.500,0,0,,0,0,,0,3,3,2,1,2,2,5,2,1.7,
2,153,3,1984-11-01,23-131,KCK,HOU,-3,1,36:00,2,5,.400,0,0,,4,5,.800,2,6,8,2,5,1,2,3,8,12.0,
3,154,4,1984-11-03,23-133,KCK,DEN,-14,0,26:00,4,6,.667,0,0,,1,1,1.000,2,7,9,1,1,1,4,3,9,7.1,
4,155,5,1984-11-06,23-136,KCK,HOU,-14,0,24:00,3,6,.500,0,0,,1,3,.333,5,4,9,1,1,4,0,4,7,10.8,
5,156,6,1984-11-09,23-139,KCK,NJN,2,0,25:00,5,8,.625,0,0,,0,1,.000,1,3,4,1,2,1,2,2,10,8.2,
6,157,7,1984-11-10,23-140,KCK,NYK,-13,0,14:00,3,3,1.000,0,0,,0,0,,2,6,8,0,0,1,5,3,6,2.8,
7,158,8,1984-11-16,23-146,KCK,LAL,-12,1,26:00,3,8,.375,0,0,,2,4,.500,3,6,9,1,0,0,0,5,8,5.4,
8,159,9,1984-11-17,23-147,KCK,LAC,-8,1,33:00,7,13,.538,0,0,,2,4,.500,9,8,17,1,0,2,2,4,16,16.1,
9,160,10,1984-11-20,23-150,KCK,UTA,7,1,33:00,4,7,.571,0,0,,7,13,.538,2,11,13,2,3,0,4,4,15,12.8,
10,161,11,1984-11-21,23-151,KCK,WSB,-5,1,36:00,3,9,.333,0,0,,0,0,,2,13,15,1,0,1,6,4,6,0.0,
11,162,12,1984-11-23,23-153,KCK,IND,17,1,28:00,6,8,.750,0,0,,5,7,.714,3,14,17,2,2,4,3,4,17,20.9,
12,163,13,1984-11-24,23-154,KCK,BOS,-11,1,35:00,4,7,.571,0,0,,7,9,.778,4,11,15,0,2,1,2,4,15,16.1,
13,164,14,1984-11-27,23-157,KCK,SEA,-8,1,36:00,7,14,.500,0,0,,1,4,.250,8,8,16,1,4,1,2,5,15,16.2,
14,165,15,1984-11-29,23-159,KCK,GSW,-3,1,33:00,4,7,.571,0,0,,0,0,,0,7,7,1,0,4,4,4,8,4.7,
