,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,59,1,1970-10-15,23-207,PHO,BOS,19,,,2,,,,,,2,3,.667,,,,,,,,,6,,
1,60,2,1970-10-17,23-209,PHO,DET,-3,,,5,,,,,,1,2,.500,,,,,,,,,11,,
2,61,3,1970-10-20,23-212,PHO,SDR,-1,,,2,,,,,,0,0,,,,,,,,,,4,,
3,62,4,1970-10-21,23-213,PHO,SEA,-4,,,0,,,,,,0,0,,,,,,,,,,0,,
4,63,5,1970-10-23,23-215,PHO,CLE,4,,,0,,,,,,0,0,,,,,,,,,,0,,
5,64,6,1970-10-25,23-217,PHO,SDR,19,,,1,,,,,,0,0,,,,,,,,,,2,,
6,65,7,1970-10-28,23-220,PHO,CHI,-13,,,3,,,,,,0,0,,,,,,,,,,6,,
7,66,8,1970-10-30,23-222,PHO,BOS,-15,,,0,,,,,,0,0,,,,,,,,,,0,,
8,67,9,1970-10-31,23-223,PHO,BAL,-3,,,3,,,,,,0,0,,,,,,,,,,6,,
9,68,10,1970-11-02,23-225,PHO,BUF,8,,,4,,,,,,1,3,.333,,,,,,,,6,9,,
10,69,11,1970-11-04,23-227,PHO,CIN,18,,,0,,,,,,0,0,,,,,,,,,,0,,
11,70,12,1970-11-06,23-229,PHO,CHI,3,,,2,,,,,,0,0,,,,,,,,,,4,,
12,71,13,1970-11-07,23-230,PHO,ATL,7,,,2,,,,,,2,2,1.000,,,,,,,,6,6,,
13,72,14,1970-11-08,23-231,PHO,MIL,-20,,,0,,,,,,3,3,1.000,,,,,,,,,3,,
14,73,15,1970-11-11,23-234,PHO,POR,14,,,1,,,,,,0,1,.000,,,,,,,,,2,,
15,74,16,1970-11-13,23-236,PHO,CIN,6,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
16,75,17,1970-11-15,23-238,PHO,DET,4,,,2,,,,,,6,11,.545,,,,,,,,,10,,
17,76,18,1970-11-17,23-240,PHO,NYK,-3,,,1,,,,,,0,0,,,,,,,,,,2,,
18,77,19,1970-12-11,23-264,PHO,SDR,-6,,,5,,,,,,0,0,,,,,,,,,,10,,
19,78,20,1970-12-12,23-265,PHO,MIL,2,,,3,,,,,,0,0,,,,,,,,,,6,,
20,79,21,1970-12-15,23-268,PHO,SFW,-6,,,6,,,,,,2,4,.500,,,,,,,,,14,,
21,80,22,1970-12-17,23-270,PHO,DET,3,,,0,,,,,,0,0,,,,,,,,,,0,,
22,81,23,1970-12-19,23-272,PHO,SEA,-4,,,0,,,,,,0,0,,,,,,,,,,0,,
23,82,24,1970-12-20,23-273,PHO,NYK,-15,,,2,,,,,,0,2,.000,,,,,,,,,4,,
24,83,25,1970-12-22,23-275,PHO,PHI,-4,,,2,,,,,,0,0,,,,,,,,,,4,,
25,84,26,1970-12-25,23-278,PHO,ATL,12,,,2,,,,,,0,0,,,,,,,,,,4,,
26,85,27,1970-12-26,23-279,PHO,POR,12,,,3,,,,,,0,1,.000,,,,,,,,,6,,
27,86,28,1970-12-27,23-280,PHO,LAL,-18,,,4,,,,,,0,0,,,,,,,,,,8,,
28,87,29,1970-12-30,23-283,PHO,LAL,18,,,1,,,,,,0,0,,,,,,,,,,2,,
29,88,30,1971-01-02,23-286,PHO,SFW,6,,,5,,,,,,0,0,,,,,,,,,,10,,
30,89,31,1971-01-03,23-287,PHO,SFW,21,,,1,,,,,,0,0,,,,,,,,,,2,,
31,90,32,1971-01-08,23-292,PHO,BOS,-8,,,1,,,,,,0,0,,,,,,,,,,2,,
32,91,33,1971-01-09,23-293,PHO,PHI,-11,,,4,,,,,,6,7,.857,,,,,,,,,14,,
33,92,34,1971-01-10,23-294,PHO,ATL,11,,,4,,,,,,6,6,1.000,,,,,,,,,14,,
34,93,35,1971-01-14,23-298,PHO,NYK,19,,,1,,,,,,1,3,.333,,,,,,,,,3,,
35,94,36,1971-01-16,23-300,PHO,BAL,17,,,3,,,,,,1,1,1.000,,,,,,,,,7,,
36,95,37,1971-01-18,23-302,PHO,CIN,19,,,5,,,,,,1,3,.333,,,,,,,,,11,,
37,96,38,1971-01-20,23-304,PHO,CIN,-12,,,3,,,,,,0,0,,,,,,,,,,6,,
38,97,39,1971-01-22,23-306,PHO,PHI,-1,,,5,,,,,,5,9,.556,,,,,,,,,15,,
39,98,40,1971-01-24,23-308,PHO,CHI,1,,,3,,,,,,0,0,,,,,,,,,,6,,
40,99,41,1971-01-26,23-310,PHO,BUF,32,,,6,,,,,,2,2,1.000,,,,,,,,,14,,
41,100,42,1971-01-28,23-312,PHO,LAL,6,,,1,,,,,,0,0,,,,,,,,,,2,,
42,101,43,1971-01-29,23-313,PHO,POR,9,,,3,,,,,,3,3,1.000,,,,,,,,,9,,
43,102,44,1971-01-30,23-314,PHO,SEA,18,,,1,,,,,,1,3,.333,,,,,,,,,3,,
44,103,45,1971-02-04,23-319,PHO,SFW,-12,,,4,,,,,,4,5,.800,,,,,,,,,12,,
45,104,46,1971-02-06,23-321,PHO,CLE,28,,,0,,,,,,0,2,.000,,,,,,,,,0,,
46,105,47,1971-02-08,23-323,PHO,MIL,-24,,,0,,,,,,0,0,,,,,,,,,,0,,
47,106,48,1971-02-09,23-324,PHO,BAL,5,,,0,,,,,,0,0,,,,,,,,,,0,,
48,107,49,1971-02-12,23-327,PHO,CLE,9,,,3,,,,,,1,1,1.000,,,,,,,,,7,,
49,108,50,1971-02-13,23-328,PHO,NYK,-17,,,1,,,,,,1,3,.333,,,,,,,,,3,,
50,109,51,1971-02-14,23-329,PHO,BUF,11,,,0,,,,,,0,0,,,,,,,,,,0,,
51,110,52,1971-02-16,23-331,PHO,BOS,3,,,4,,,,,,1,3,.333,,,,,,,,,9,,
52,111,53,1971-02-17,23-332,PHO,CIN,16,,,4,,,,,,2,2,1.000,,,,,,,,,10,,
53,112,54,1971-02-19,23-334,PHO,BOS,4,,,1,,,,,,0,0,,,,,,,,,,2,,
54,113,55,1971-02-21,23-336,PHO,MIL,-28,,,0,,,,,,1,1,1.000,,,,,,,,,1,,
55,114,56,1971-02-27,23-342,PHO,DET,7,,,1,,,,,,2,2,1.000,,,,,,,,6,4,,
56,115,57,1971-03-03,23-346,PHO,CHI,25,,,5,,,,,,1,2,.500,,,,,,,,6,11,,
57,116,58,1971-03-07,23-350,PHO,BAL,-9,,,5,,,,,,0,0,,,,,,,,,,10,,
58,117,59,1971-03-09,23-352,PHO,DET,6,0,17:00,1,3,.333,,,,4,6,.667,,,4,0,,,,2,6,,
59,118,60,1971-03-10,23-353,PHO,ATL,-41,,,5,,,,,,1,2,.500,,,,,,,,,11,,
60,119,61,1971-03-12,23-355,PHO,CHI,-24,,,0,,,,,,0,0,,,,,,,,,,0,,
61,120,62,1971-03-13,23-356,PHO,CHI,-12,,,2,,,,,,0,2,.000,,,,,,,,,4,,
62,121,63,1971-03-14,23-357,PHO,MIL,12,,,3,,,,,,0,0,,,,,,,,,,6,,
