,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,182,1,2002-12-28,23-052,LAC,GSW,-7,1,37:00,7,19,.368,2,6,.333,5,9,.556,3,5,8,2,1,0,3,4,21,10.3,-8
1,183,2,2002-12-31,23-055,LAC,PHI,-8,1,32:00,2,10,.200,0,4,.000,1,2,.500,1,9,10,5,0,3,7,3,5,-0.8,-11
2,184,3,2003-01-02,23-057,LAC,DAL,-10,1,31:00,7,11,.636,1,3,.333,5,6,.833,0,9,9,2,0,0,2,5,20,14.8,-19
3,185,4,2003-01-03,23-058,LAC,MEM,-5,1,39:00,9,16,.563,0,4,.000,3,4,.750,1,7,8,5,1,1,3,5,21,16.0,-11
4,186,5,2003-01-05,23-060,LAC,SAS,-8,1,43:00,7,18,.389,1,4,.250,7,8,.875,4,7,11,2,2,2,5,5,22,14.5,-2
5,187,6,2003-01-08,23-063,LAC,MEM,8,1,42:00,11,20,.550,1,3,.333,0,1,.000,0,5,5,5,0,0,3,5,23,13.0,+16
6,188,7,2003-01-10,23-065,LAC,SEA,2,1,35:00,6,10,.600,1,3,.333,8,8,1.000,2,7,9,3,1,2,1,6,21,21.0,+12
7,189,8,2003-01-12,23-067,LAC,DAL,-6,1,42:00,8,14,.571,1,4,.250,0,2,.000,2,5,7,3,0,0,3,3,17,10.4,-3
8,190,9,2003-01-15,23-070,LAC,MIN,-31,1,30:00,3,13,.231,1,3,.333,6,6,1.000,0,9,9,5,0,1,2,3,13,8.8,-14
9,191,10,2003-01-18,23-073,LAC,SAC,5,1,42:00,7,15,.467,2,3,.667,8,10,.800,3,6,9,4,1,0,3,3,24,19.0,0
10,192,11,2003-01-20,23-075,LAC,LAL,-4,1,38:00,4,11,.364,1,3,.333,0,1,.000,3,7,10,6,3,0,1,4,9,11.3,+3
11,193,12,2003-01-22,23-077,LAC,UTA,7,1,43:00,4,12,.333,0,2,.000,4,5,.800,0,5,5,7,0,0,4,3,12,6.0,+11
12,194,13,2003-01-24,23-079,LAC,MIN,-3,1,38:00,6,15,.400,0,1,.000,1,1,1.000,0,6,6,3,0,0,7,4,13,0.2,-13
13,195,14,2003-01-26,23-081,LAC,IND,-7,1,39:00,6,12,.500,2,4,.500,0,0,,1,4,5,1,1,1,5,2,14,6.5,-18
14,196,15,2003-01-29,23-084,LAC,CHI,2,1,20:00,2,7,.286,0,2,.000,0,1,.000,1,5,6,4,0,0,2,3,4,1.3,-8
15,197,16,2003-01-31,23-086,LAC,PHO,-6,1,37:00,3,7,.429,0,1,.000,4,6,.667,0,3,3,4,1,1,5,6,10,3.5,-8
16,198,17,2003-02-02,23-088,LAC,TOR,-14,1,30:00,5,9,.556,0,1,.000,9,10,.900,1,4,5,2,1,1,4,3,19,14.1,-4
17,199,18,2003-02-04,23-090,LAC,NYK,-13,1,34:00,3,11,.273,0,2,.000,5,5,1.000,1,2,3,4,1,0,3,3,11,5.4,-19
18,200,19,2003-02-05,23-091,LAC,DET,-9,1,25:00,4,7,.571,0,0,,0,0,,0,2,2,0,0,1,2,2,8,3.2,-18
19,201,20,2003-02-11,23-097,LAC,PHO,1,1,41:00,7,9,.778,1,1,1.000,1,1,1.000,2,5,7,5,3,1,7,1,16,15.2,-8
20,202,21,2003-02-12,23-098,LAC,WAS,-4,1,34:00,7,13,.538,3,4,.750,2,2,1.000,0,6,6,3,2,1,1,4,19,16.7,-4
21,203,22,2003-02-15,23-101,LAC,BOS,-8,1,30:00,2,12,.167,1,6,.167,0,0,,0,5,5,6,0,1,5,5,5,-3.2,-5
