,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,64,1,1985-10-25,23-123,LAC,SAC,4,0,5:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.0,
1,65,2,1985-10-26,23-124,LAC,HOU,1,0,5:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,1,0,0,-1.0,
2,66,3,1985-10-29,23-127,LAC,POR,6,0,10:00,3,9,.333,0,1,.000,2,2,1.000,0,0,0,1,0,0,1,3,8,1.4,
3,67,4,1985-10-31,23-129,LAC,CHI,8,0,5:00,0,0,,0,0,,0,0,,1,0,1,0,0,0,2,0,0,-1.3,
4,68,5,1985-11-02,23-131,LAC,NYK,8,0,6:00,2,6,.333,0,0,,0,0,,0,1,1,0,0,0,1,0,4,-0.1,
5,69,6,1985-11-07,23-136,LAC,HOU,-22,0,12:00,1,4,.250,1,1,1.000,0,0,,0,2,2,2,0,0,1,1,3,1.2,
6,70,7,1985-11-12,23-141,LAC,GSW,-12,0,10:00,2,4,.500,0,0,,0,0,,0,0,0,2,2,0,0,0,4,5.4,
7,71,8,1985-11-13,23-142,LAC,SEA,-4,0,7:00,1,3,.333,0,0,,0,0,,0,0,0,0,0,1,3,3,2,-3.2,
8,72,9,1985-11-15,23-144,LAC,LAL,-31,0,6:00,1,4,.250,0,1,.000,0,0,,0,1,1,2,0,1,1,0,2,1.0,
9,73,10,1985-11-20,23-149,LAC,LAL,-15,0,2:00,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,1,0,0,0.0,
10,74,11,1985-11-26,23-155,LAC,SEA,-32,0,4:00,0,3,.000,0,0,,0,0,,0,3,3,0,1,0,1,0,0,-1.2,
11,75,12,1985-12-07,23-166,LAC,UTA,-40,0,4:00,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,0,1,1,3,0.9,
12,76,13,1985-12-11,23-170,LAC,DEN,-39,0,15:00,5,9,.556,0,0,,4,4,1.000,0,4,4,1,1,0,1,1,14,11.2,
13,77,14,1985-12-13,23-172,LAC,SEA,-19,0,6:00,0,1,.000,0,0,,2,2,1.000,0,2,2,3,0,0,1,0,2,3.0,
14,78,15,1985-12-14,23-173,LAC,PHO,-22,0,9:00,2,8,.250,0,0,,0,0,,0,0,0,0,0,0,0,0,4,-0.8,
15,79,16,1985-12-20,23-179,LAC,SAS,-15,0,19:00,6,13,.462,0,1,.000,4,4,1.000,1,1,2,3,1,1,3,4,16,9.5,
16,80,17,1985-12-21,23-180,LAC,SAC,1,0,12:00,1,6,.167,0,0,,0,0,,2,0,2,1,1,0,3,5,2,-3.7,
17,81,18,1985-12-26,23-185,LAC,PHI,-9,0,15:00,4,9,.444,0,1,.000,0,0,,0,0,0,1,2,0,0,3,8,4.8,
18,82,19,1985-12-28,23-187,LAC,SEA,5,0,16:00,4,9,.444,0,0,,1,1,1.000,0,0,0,1,0,1,3,3,9,1.5,
19,83,20,1985-12-30,23-189,LAC,BOS,-22,0,21:00,4,12,.333,0,0,,2,2,1.000,1,2,3,0,1,0,0,2,10,4.7,
20,84,21,1986-01-03,23-193,LAC,CLE,-19,0,15:00,5,9,.556,0,0,,5,7,.714,0,1,1,3,1,0,1,1,15,11.9,
21,85,22,1986-01-04,23-194,LAC,IND,-29,0,14:00,2,5,.400,0,0,,0,0,,0,0,0,3,0,0,0,1,4,3.0,
22,86,23,1986-01-07,23-197,LAC,ATL,-14,0,15:00,5,10,.500,1,1,1.000,0,0,,2,2,4,2,0,0,0,2,11,8.6,
23,87,24,1986-01-11,23-201,LAC,CHI,-9,0,9:00,2,5,.400,1,1,1.000,1,1,1.000,0,1,1,0,0,0,0,0,6,3.6,
24,88,25,1986-01-13,23-203,LAC,WSB,-13,0,8:00,0,4,.000,0,0,,0,0,,0,1,1,0,1,0,2,0,0,-3.5,
25,89,26,1986-01-15,23-205,LAC,SEA,7,0,16:00,4,8,.500,0,0,,0,0,,0,2,2,0,1,1,2,6,8,1.9,
26,90,27,1986-01-16,23-206,LAC,LAL,-16,0,12:00,2,6,.333,0,0,,0,0,,0,0,0,1,0,0,0,2,4,0.5,
27,91,28,1986-01-18,23-208,LAC,UTA,34,0,36:00,9,16,.563,0,0,,4,6,.667,2,1,3,2,1,0,2,1,22,15.3,
28,92,29,1986-01-21,23-211,LAC,SAS,1,0,8:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-2.7,
29,93,30,1986-01-22,23-212,LAC,DAL,13,0,16:00,3,7,.429,0,0,,0,0,,1,0,1,3,1,0,1,2,6,4.3,
30,94,31,1986-01-24,23-214,LAC,LAL,11,0,4:00,2,2,1.000,0,0,,0,1,.000,0,1,1,0,0,0,1,0,4,2.3,
31,95,32,1986-01-25,23-215,LAC,UTA,-40,0,15:00,3,9,.333,0,0,,2,2,1.000,1,2,3,1,1,0,0,1,8,5.5,
32,96,33,1986-01-29,23-219,LAC,PHO,-10,0,19:00,6,9,.667,0,0,,0,0,,0,0,0,1,0,0,1,4,12,6.2,
33,97,34,1986-02-01,23-222,LAC,POR,-35,0,14:00,3,7,.429,0,0,,0,0,,1,0,1,1,0,0,1,3,6,1.5,
34,98,35,1986-02-06,23-227,LAC,PHO,-12,0,16:00,5,9,.556,0,0,,0,0,,2,0,2,2,0,1,2,4,10,5.6,
35,99,36,1986-02-11,23-232,LAC,PHO,8,0,6:00,0,4,.000,0,0,,1,2,.500,0,0,0,0,0,0,1,0,1,-3.2,
36,100,37,1986-02-15,23-236,LAC,HOU,7,0,4:00,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,1,0,2,0.7,
37,101,38,1986-02-21,23-242,LAC,GSW,-2,0,13:00,1,4,.250,0,0,,0,0,,1,0,1,0,0,0,0,1,2,-0.1,
38,102,39,1986-02-25,23-246,LAC,MIL,-15,0,4:00,0,2,.000,0,2,.000,0,0,,1,0,1,0,0,0,0,0,0,-0.7,
39,103,40,1986-02-26,23-247,LAC,DET,-7,0,18:00,6,12,.500,2,5,.400,0,0,,1,1,2,0,1,0,1,3,14,7.8,
40,104,41,1986-02-28,23-249,LAC,BOS,-16,0,9:00,0,2,.000,0,0,,0,0,,0,0,0,1,1,1,0,3,0,-0.2,
41,105,42,1986-03-02,23-251,LAC,IND,-17,0,15:00,3,10,.300,0,1,.000,3,3,1.000,0,0,0,0,1,1,0,0,9,4.9,
42,106,43,1986-03-04,23-253,LAC,CLE,5,0,16:00,1,4,.250,0,1,.000,3,4,.750,1,1,2,0,1,0,1,3,5,2.0,
43,107,44,1986-03-06,23-255,LAC,DAL,-18,0,22:00,7,15,.467,0,3,.000,1,1,1.000,0,2,2,2,1,1,3,1,15,7.6,
44,108,45,1986-03-07,23-256,LAC,SAS,-16,0,10:00,1,6,.167,1,1,1.000,2,4,.500,1,1,2,1,1,0,0,2,5,2.3,
45,109,46,1986-03-09,23-258,LAC,DEN,-2,0,12:00,2,9,.222,1,2,.500,0,0,,1,2,3,2,2,0,0,2,5,3.4,
46,110,47,1986-03-11,23-260,LAC,LAL,-21,0,21:00,4,13,.308,0,3,.000,4,4,1.000,1,1,2,1,2,0,0,3,12,7.0,
47,111,48,1986-03-12,23-261,LAC,SEA,4,0,9:00,0,2,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,2,-0.2,
48,112,49,1986-03-14,23-263,LAC,SAC,1,0,8:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,
49,113,50,1986-03-15,23-264,LAC,HOU,-32,0,14:00,1,5,.200,0,0,,0,0,,0,0,0,1,0,0,0,1,2,-0.8,
50,114,51,1986-03-18,23-267,LAC,GSW,-4,0,12:00,2,5,.400,0,1,.000,0,0,,0,2,2,1,0,0,1,1,4,1.2,
51,115,52,1986-03-22,23-271,LAC,DET,-20,0,9:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,3,2,0,-3.1,
52,116,53,1986-03-26,23-275,LAC,SAS,-8,0,10:00,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,2,2,2,-1.8,
53,117,54,1986-03-28,23-277,LAC,PHO,11,0,9:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-2.6,
54,118,55,1986-03-29,23-278,LAC,SAC,9,1,28:00,3,10,.300,0,0,,1,2,.500,1,1,2,4,3,0,1,3,7,5.4,
55,119,56,1986-04-01,23-281,LAC,UTA,4,0,12:00,4,10,.400,0,0,,0,0,,1,3,4,1,1,0,4,3,8,0.7,
56,120,57,1986-04-02,23-282,LAC,UTA,3,0,16:00,3,7,.429,0,0,,0,0,,0,3,3,5,2,0,1,2,6,6.9,
57,121,58,1986-04-05,23-285,LAC,GSW,-1,0,6:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,
58,122,59,1986-04-12,23-292,LAC,DAL,7,0,9:00,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,2,1,2,0.0,
59,123,60,1986-04-13,23-293,LAC,PHO,-19,0,6:00,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-3.1,
