,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,133,1,2013-10-29,23-054,IND,ORL,10,1,35:38,8,12,.667,2,3,.667,1,2,.500,2,5,7,5,0,1,1,2,19,18.7,+11
1,134,2,2013-10-30,23-055,IND,NOP,5,1,41:20,7,12,.583,2,4,.500,0,0,,2,6,8,4,0,0,2,1,16,14.0,+3
2,135,3,2013-11-02,23-058,IND,CLE,15,1,31:47,7,13,.538,5,7,.714,3,5,.600,0,5,5,3,0,0,2,3,22,15.3,+9
3,136,4,2013-11-05,23-061,IND,DET,8,1,38:40,4,12,.333,2,6,.333,0,2,.000,1,5,6,7,1,0,5,3,10,4.3,-2
4,137,5,2013-11-06,23-062,IND,CHI,17,1,31:49,5,17,.294,3,6,.500,2,4,.500,2,3,5,4,0,0,3,4,15,4.8,+18
5,138,6,2013-11-08,23-064,IND,TOR,7,1,29:12,2,5,.400,0,2,.000,0,0,,0,2,2,4,1,0,2,3,4,2.5,+6
6,139,7,2013-11-09,23-065,IND,BRK,5,1,39:26,7,12,.583,1,2,.500,0,1,.000,2,1,3,7,0,0,2,2,15,12.8,+10
7,140,8,2013-11-11,23-067,IND,MEM,16,1,34:09,5,11,.455,3,5,.600,0,0,,0,11,11,12,0,0,1,3,13,16.8,+11
8,141,9,2013-11-15,23-071,IND,MIL,27,1,24:16,4,10,.400,0,1,.000,3,4,.750,1,3,4,1,1,0,2,1,11,6.1,-4
9,142,10,2013-11-16,23-072,IND,CHI,-16,1,32:04,5,14,.357,0,4,.000,2,2,1.000,0,1,1,3,2,0,0,4,12,7.0,-20
10,143,11,2013-11-20,23-076,IND,NYK,7,1,42:17,3,10,.300,0,3,.000,3,3,1.000,2,7,9,5,0,1,4,4,9,5.3,-4
