,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,111,1,2005-11-02,28-089,LAL,DEN,2,0,10:28,2,3,.667,0,1,.000,0,0,,0,1,1,0,3,0,2,0,4,4.0,-8
1,112,2,2005-11-03,28-090,LAL,PHO,-10,0,23:16,4,6,.667,1,3,.333,0,0,,0,2,2,3,0,0,0,2,9,8.3,-13
2,113,3,2005-11-06,28-093,LAL,DEN,20,0,9:04,1,3,.333,1,1,1.000,0,0,,0,3,3,0,0,1,0,1,3,2.5,+2
3,114,4,2005-11-08,28-095,LAL,ATL,6,0,15:17,2,6,.333,0,1,.000,0,0,,0,1,1,0,1,0,0,1,4,1.5,-8
4,115,5,2005-11-09,28-096,LAL,MIN,-14,0,13:24,2,3,.667,0,1,.000,0,0,,0,2,2,3,0,0,0,1,4,5.0,-4
5,116,6,2005-11-11,28-098,LAL,PHI,-4,0,7:24,1,3,.333,0,1,.000,0,2,.000,1,0,1,0,0,0,1,0,2,-0.8,0
6,117,7,2005-11-14,28-101,LAL,MEM,-12,0,14:00,2,4,.500,0,0,,4,4,1.000,1,1,2,3,1,1,0,0,8,10.8,+15
7,118,8,2005-11-16,28-103,LAL,NYK,5,0,2:28,1,4,.250,0,2,.000,0,0,,0,1,1,0,0,0,0,0,2,-0.1,-4
8,119,9,2005-11-18,28-105,LAL,LAC,-6,0,10:08,1,3,.333,0,1,.000,0,0,,1,0,1,0,1,0,1,2,2,0.2,-2
9,120,10,2005-11-20,28-107,LAL,CHI,-3,1,17:50,0,3,.000,0,2,.000,2,2,1.000,0,2,2,1,0,0,1,1,2,-0.2,-2
10,121,11,2005-11-24,28-111,LAL,SEA,12,0,5:44,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-1.4,-8
11,122,12,2005-11-27,28-114,LAL,NJN,-6,0,4:34,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,+4
12,123,13,2005-11-29,28-116,LAL,SAS,-6,0,4:51,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-3
13,124,14,2005-12-01,28-118,LAL,UTA,4,0,2:07,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,2.3,+3
14,125,15,2005-12-02,28-119,LAL,MIN,-5,0,12:26,3,4,.750,0,0,,3,3,1.000,2,3,5,0,1,0,3,1,9,7.3,-2
15,126,16,2005-12-04,28-121,LAL,CHA,1,0,7:51,1,1,1.000,1,1,1.000,2,2,1.000,0,1,1,0,1,2,1,0,5,6.4,0
16,127,17,2005-12-06,28-123,LAL,MIL,19,0,7:10,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,2,0,0,-2.1,+3
17,128,18,2005-12-07,28-124,LAL,TOR,11,0,21:37,6,11,.545,0,1,.000,2,3,.667,1,2,3,1,2,1,4,2,14,8.2,-3
18,129,19,2005-12-09,28-126,LAL,CHI,13,0,12:48,3,4,.750,0,0,,0,0,,0,3,3,0,0,0,0,0,6,5.3,-5
19,130,20,2005-12-10,28-127,LAL,MIN,-13,0,5:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1.5,-5
20,131,21,2005-12-12,28-129,LAL,DAL,3,0,17:17,3,4,.750,0,1,.000,0,0,,0,1,1,0,0,0,1,4,6,2.1,+7
21,132,22,2005-12-14,28-131,LAL,MEM,15,0,17:48,3,5,.600,0,0,,2,2,1.000,2,2,4,1,0,0,2,0,8,6.4,-9
22,133,23,2005-12-16,28-133,LAL,WAS,6,0,11:06,1,2,.500,0,0,,2,2,1.000,0,0,0,1,1,0,2,4,4,1.1,+5
23,134,24,2005-12-18,28-135,LAL,HOU,-2,0,9:48,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,0,0,0,2,1.3,+4
24,135,25,2005-12-20,28-137,LAL,DAL,22,0,15:20,3,5,.600,0,1,.000,2,2,1.000,0,2,2,0,0,0,2,3,8,3.1,-7
