,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,378,1,1996-11-01,27-232,NYK,TOR,8,1,29:00,4,5,.800,0,0,,4,6,.667,1,2,3,3,1,0,4,6,12,7.3,
1,379,2,1996-11-03,27-234,NYK,CHH,27,1,27:00,3,6,.500,1,1,1.000,5,8,.625,0,3,3,1,0,0,0,3,12,8.2,
2,380,3,1996-11-05,27-236,NYK,LAL,-6,1,35:00,2,7,.286,0,0,,3,8,.375,5,2,7,6,0,0,3,1,7,5.8,
3,381,4,1996-11-07,27-238,NYK,GSW,5,1,33:00,7,12,.583,1,4,.250,3,3,1.000,2,3,5,3,1,0,3,4,18,13.2,
4,382,5,1996-11-08,27-239,NYK,LAC,7,1,40:00,6,9,.667,0,0,,1,2,.500,4,2,6,2,0,1,5,3,13,8.0,
5,383,6,1996-11-10,27-241,NYK,VAN,19,1,29:00,6,10,.600,0,0,,0,0,,1,3,4,4,1,0,0,2,12,12.0,
6,384,7,1996-11-12,27-243,NYK,PHI,-4,1,37:00,10,17,.588,2,6,.333,6,7,.857,2,3,5,3,0,1,0,6,28,22.4,
7,385,8,1996-11-14,27-245,NYK,TOR,3,1,25:00,1,3,.333,0,1,.000,0,0,,2,3,5,0,2,0,2,3,2,1.4,
8,386,9,1996-11-16,27-247,NYK,MIN,3,1,37:00,5,10,.500,0,0,,3,6,.500,2,4,6,4,1,3,4,3,13,10.1,
9,387,10,1996-11-19,27-250,NYK,ORL,4,1,34:00,4,8,.500,0,0,,0,1,.000,2,0,2,3,1,0,3,3,8,3.9,
10,388,11,1996-11-20,27-251,NYK,CHH,-7,1,27:00,4,5,.800,0,0,,1,3,.333,2,1,3,1,0,0,1,4,9,6.1,
11,389,12,1996-11-23,27-254,NYK,PHI,-17,1,32:00,4,8,.500,0,1,.000,6,6,1.000,2,1,3,3,0,0,1,5,14,10.8,
12,390,13,1996-11-24,27-255,NYK,SEA,-10,1,27:00,4,10,.400,0,0,,2,2,1.000,4,2,6,0,0,0,0,3,10,6.8,
13,391,14,1996-11-30,27-261,NYK,SAC,14,1,30:00,5,7,.714,0,1,.000,2,5,.400,0,0,0,0,0,0,1,3,12,5.7,
14,392,15,1996-12-03,27-264,NYK,MIA,-24,1,32:00,4,9,.444,0,0,,4,6,.667,2,1,3,0,0,1,0,4,12,7.3,
15,393,16,1996-12-04,27-265,NYK,NJN,7,1,31:00,5,9,.556,0,0,,8,13,.615,2,2,4,2,0,0,1,2,18,13.3,
16,394,17,1996-12-06,27-267,NYK,MIA,18,1,23:00,5,8,.625,1,2,.500,2,3,.667,4,0,4,1,0,0,1,5,13,9.5,
17,395,18,1996-12-10,27-271,NYK,WSB,12,1,32:00,5,12,.417,1,2,.500,0,0,,4,3,7,2,3,1,1,2,11,11.6,
18,396,19,1996-12-12,27-273,NYK,GSW,11,1,37:00,7,13,.538,0,2,.000,0,2,.000,5,5,10,0,1,1,3,1,14,10.2,
19,397,20,1996-12-14,27-275,NYK,DEN,7,1,35:00,5,9,.556,1,1,1.000,0,0,,1,1,2,2,0,0,1,3,11,6.9,
20,398,21,1996-12-17,27-278,NYK,UTA,5,1,42:00,1,5,.200,0,1,.000,10,11,.909,2,3,5,4,2,0,3,3,12,11.4,
21,399,22,1996-12-18,27-279,NYK,DET,-34,1,22:00,6,8,.750,1,1,1.000,0,0,,1,2,3,0,1,0,1,4,13,9.5,
22,400,23,1996-12-20,27-281,NYK,PHI,7,1,38:00,8,11,.727,2,2,1.000,0,1,.000,2,5,7,5,2,0,2,5,18,17.5,
23,401,24,1996-12-21,27-282,NYK,DET,3,1,28:00,5,12,.417,0,1,.000,5,7,.714,1,5,6,2,1,0,1,5,15,9.4,
24,402,25,1996-12-23,27-284,NYK,ATL,6,1,28:00,2,5,.400,0,1,.000,2,2,1.000,1,3,4,3,0,0,2,3,6,3.8,
25,403,26,1996-12-26,27-287,NYK,MIN,-8,1,40:00,7,15,.467,0,1,.000,0,0,,3,1,4,6,2,1,1,2,14,13.8,
26,404,27,1996-12-28,27-289,NYK,ORL,11,1,37:00,6,9,.667,0,0,,2,2,1.000,3,1,4,1,2,0,2,4,14,11.6,
27,405,28,1996-12-30,27-291,NYK,NJN,12,1,34:00,1,5,.200,0,2,.000,4,5,.800,1,2,3,1,0,0,3,1,6,1.1,
28,406,29,1997-01-02,27-294,NYK,WSB,12,1,26:00,1,7,.143,0,1,.000,0,0,,3,2,5,0,0,1,4,1,2,-3.5,
29,407,30,1997-01-04,27-296,NYK,ATL,-17,1,33:00,3,8,.375,0,0,,1,1,1.000,1,4,5,4,2,1,4,3,7,4.8,
30,408,31,1997-01-05,27-297,NYK,MIL,5,1,36:00,4,14,.286,1,2,.500,5,6,.833,4,1,5,3,1,1,2,3,14,9.1,
31,409,32,1997-01-18,27-310,NYK,PHO,-7,1,28:00,3,10,.300,0,2,.000,0,0,,2,0,2,0,1,1,1,4,6,0.7,
32,410,33,1997-01-20,27-312,NYK,WSB,16,1,37:00,7,12,.583,1,2,.500,0,0,,1,4,5,3,1,0,2,5,15,10.4,
33,411,34,1997-01-21,27-313,NYK,CHI,-1,1,42:00,8,15,.533,0,2,.000,0,0,,2,2,4,3,2,0,2,2,16,12.0,
34,412,35,1997-01-23,27-315,NYK,IND,2,1,30:00,2,7,.286,0,0,,6,8,.750,0,4,4,1,0,1,0,5,10,5.7,
