,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,113,1,2012-11-02,23-347,MIL,BOS,11,0,21:40,5,7,.714,0,0,,0,0,,2,5,7,0,0,2,1,5,10,8.4,0
1,114,2,2012-11-03,23-348,MIL,CLE,3,0,29:59,8,9,.889,0,0,,1,2,.500,0,7,7,0,0,4,1,6,17,15.0,+19
2,115,3,2012-11-07,23-352,MIL,MEM,-18,0,26:26,4,8,.500,0,0,,2,2,1.000,5,6,11,3,1,3,4,4,10,10.9,-11
3,116,4,2012-11-09,23-354,MIL,WAS,10,0,30:42,4,7,.571,0,1,.000,5,6,.833,1,8,9,1,0,3,2,5,13,11.2,+15
4,117,5,2012-11-10,23-355,MIL,BOS,-4,0,26:22,4,7,.571,0,0,,2,2,1.000,5,7,12,0,0,1,1,6,10,9.6,+4
5,118,6,2012-11-12,23-357,MIL,PHI,9,0,17:35,1,2,.500,0,0,,0,0,,1,8,9,0,0,2,4,5,2,-0.5,+5
6,119,7,2012-11-14,23-359,MIL,IND,14,0,21:52,4,6,.667,0,0,,1,4,.250,4,1,5,2,1,2,0,4,9,10.5,-9
7,120,8,2012-11-17,23-362,MIL,NOH,4,0,20:49,1,5,.200,0,0,,2,6,.333,2,4,6,0,1,3,1,5,4,2.0,-6
8,121,9,2012-11-19,23-364,MIL,CHA,-4,0,21:23,3,5,.600,0,0,,0,0,,1,2,3,2,1,1,1,5,6,5.1,-14
9,122,10,2012-11-21,24-000,MIL,MIA,-7,0,6:05,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,3,0,-1.5,-4
10,123,11,2012-11-24,24-003,MIL,CHI,-7,0,29:13,4,9,.444,0,0,,0,0,,1,7,8,2,2,4,0,6,8,9.9,0
11,124,12,2012-11-26,24-005,MIL,CHI,1,0,12:17,1,4,.250,0,0,,0,0,,1,5,6,0,0,0,2,1,2,-0.6,-20
12,125,13,2012-11-28,24-007,MIL,NYK,-14,0,13:41,1,5,.200,0,0,,0,2,.000,2,2,4,0,0,1,1,3,2,-1.4,-8
13,126,14,2012-11-30,24-009,MIL,MIN,-10,0,32:08,5,7,.714,0,0,,0,0,,2,10,12,1,1,10,0,2,10,19.4,-2
14,127,15,2012-12-01,24-010,MIL,BOS,3,0,32:52,7,11,.636,0,0,,4,5,.800,4,12,16,1,1,5,0,2,18,23.5,+18
15,128,16,2012-12-03,24-012,MIL,NOH,-21,0,25:49,3,8,.375,0,1,.000,2,2,1.000,4,3,7,1,2,7,1,2,8,13.1,-16
16,129,17,2012-12-05,24-014,MIL,SAS,-11,1,17:13,2,4,.500,0,0,,0,0,,2,5,7,2,2,1,3,5,4,4.0,-3
17,130,18,2012-12-07,24-016,MIL,CHA,15,1,25:51,4,8,.500,0,0,,0,0,,4,6,10,1,1,5,0,3,8,12.6,+24
18,131,19,2012-12-09,24-018,MIL,BRK,9,1,37:37,3,12,.250,0,0,,0,0,,2,4,6,1,1,4,3,3,6,1.7,+12
19,132,21,2012-12-14,24-023,MIL,CLE,4,1,30:22,4,7,.571,0,0,,2,2,1.000,5,5,10,2,1,3,2,2,10,13.4,-2
20,133,22,2012-12-15,24-024,MIL,LAC,-26,1,16:57,1,3,.333,0,0,,2,2,1.000,0,3,3,1,0,1,1,2,4,2.8,-15
21,134,23,2012-12-18,24-027,MIL,IND,5,1,29:20,2,4,.500,0,0,,1,2,.500,4,5,9,0,1,5,0,5,5,9.4,+13
22,135,24,2012-12-19,24-028,MIL,MEM,-10,1,21:25,4,6,.667,0,0,,0,0,,2,7,9,1,3,2,2,3,8,10.8,-5
23,136,25,2012-12-21,24-030,MIL,BOS,5,1,39:10,8,10,.800,0,0,,1,3,.333,2,18,20,3,2,2,1,4,17,22.1,+11
24,137,26,2012-12-22,24-031,MIL,CLE,-12,1,30:00,0,3,.000,0,0,,2,2,1.000,2,10,12,0,1,5,4,4,2,3.2,-20
25,138,27,2012-12-26,24-035,MIL,BRK,15,1,23:03,6,11,.545,0,0,,0,0,,2,10,12,1,1,1,2,5,12,9.5,+9
