,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,817,1,1992-11-06,34-293,SAS,SAC,-8,0,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,
1,818,2,1992-11-07,34-294,SAS,DEN,-4,0,22:00,0,0,,0,0,,0,0,,6,4,10,1,0,1,1,5,0,3.8,
2,819,3,1992-11-10,34-297,SAS,MIL,6,1,31:00,0,1,.000,0,0,,0,0,,3,5,8,3,0,0,2,4,0,1.4,
3,820,4,1992-11-12,34-299,SAS,ATL,-7,1,9:00,0,0,,0,0,,0,0,,1,2,3,0,1,1,1,0,0,2.0,
4,821,5,1992-11-14,34-301,SAS,HOU,-6,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
5,822,6,1992-11-17,34-304,SAS,CLE,11,0,6:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,
6,823,7,1992-11-19,34-306,SAS,DAL,28,0,9:00,0,0,,0,0,,0,0,,0,3,3,0,2,0,0,1,0,2.5,
7,824,8,1992-11-21,34-308,SAS,HOU,-3,0,15:00,2,2,1.000,0,0,,0,0,,4,2,6,0,0,0,1,2,4,5.0,
8,825,9,1992-11-24,34-311,SAS,POR,-4,0,7:00,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,1,2,1.3,
9,826,10,1992-11-25,34-312,SAS,UTA,26,0,8:00,0,0,,0,0,,0,2,.000,0,4,4,0,0,0,0,3,0,-0.8,
10,827,11,1992-11-28,34-315,SAS,SEA,7,0,10:00,0,0,,0,0,,0,0,,0,4,4,0,1,0,0,2,0,1.4,
11,828,12,1992-12-01,34-318,SAS,WSB,-13,0,10:00,1,1,1.000,0,0,,0,0,,2,2,4,0,0,0,0,1,2,3.3,
12,829,13,1992-12-02,34-319,SAS,PHI,16,0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
13,830,14,1992-12-08,34-325,SAS,UTA,18,0,22:00,0,2,.000,0,0,,0,0,,5,4,9,1,2,0,0,1,0,5.6,
14,831,15,1992-12-10,34-327,SAS,MIA,10,1,30:00,1,2,.500,0,0,,0,0,,3,6,9,1,2,0,1,3,2,5.4,
15,832,16,1992-12-12,34-329,SAS,DAL,22,1,17:00,2,3,.667,0,0,,0,0,,1,5,6,0,0,1,2,4,4,2.0,
16,833,17,1992-12-15,34-332,SAS,LAL,-6,1,27:00,1,1,1.000,0,0,,1,2,.500,2,6,8,0,3,0,0,5,3,6.5,
17,834,18,1992-12-17,34-334,SAS,HOU,-12,1,21:00,0,2,.000,0,0,,0,0,,1,2,3,0,0,0,0,2,0,-0.9,
18,835,19,1992-12-18,34-335,SAS,DAL,21,1,33:00,2,2,1.000,0,0,,0,1,.000,2,10,12,3,0,0,2,4,4,5.9,
19,836,20,1992-12-22,34-339,SAS,DEN,5,1,19:00,0,1,.000,0,0,,0,0,,1,4,5,0,0,0,1,3,0,-1.0,
20,837,21,1992-12-25,34-342,SAS,LAC,9,0,4:00,0,0,,0,0,,0,0,,1,0,1,0,1,1,1,1,0,1.0,
21,838,22,1992-12-26,34-343,SAS,LAL,12,0,10:00,1,2,.500,0,0,,0,0,,2,3,5,0,0,0,0,1,2,2.9,
22,839,23,1992-12-28,34-345,SAS,GSW,-1,0,5:00,0,0,,0,0,,5,12,.417,1,1,2,0,1,0,0,0,5,4.2,
23,840,24,1992-12-30,34-347,SAS,DEN,20,0,18:00,0,1,.000,0,0,,0,0,,1,1,2,2,0,0,0,4,0,0.1,
24,841,25,1993-01-03,34-351,SAS,PHO,1,0,7:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,
25,842,26,1993-01-05,34-353,SAS,UTA,-26,0,16:00,1,3,.333,0,0,,0,0,,4,3,7,0,1,2,1,2,2,4.6,
26,843,27,1993-01-07,34-355,SAS,UTA,10,0,11:00,0,3,.000,0,0,,0,0,,1,1,2,1,0,0,0,2,0,-1.2,
27,844,28,1993-01-09,34-357,SAS,POR,16,0,8:00,1,1,1.000,0,0,,0,0,,0,2,2,1,1,0,2,2,2,1.2,
28,845,29,1993-01-11,34-359,SAS,DET,18,0,10:00,0,3,.000,0,0,,2,2,1.000,4,2,6,0,0,0,0,0,2,3.3,
29,846,30,1993-01-13,34-361,SAS,MIN,8,0,9:00,1,2,.500,0,0,,0,0,,1,1,2,1,0,0,1,2,2,0.9,
30,847,31,1993-01-16,34-364,SAS,CHH,13,0,14:00,1,1,1.000,0,0,,0,0,,2,1,3,1,0,0,0,3,2,2.9,
31,848,32,1993-01-19,35-001,SAS,DEN,11,0,13:00,0,1,.000,0,0,,0,0,,0,4,4,1,0,0,0,4,0,-0.4,
32,849,33,1993-01-22,35-004,SAS,DET,14,0,4:00,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,2,2.0,
33,850,34,1993-01-24,35-006,SAS,CHI,4,0,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,2,1,0,-2.1,
34,851,35,1993-01-29,35-011,SAS,PHO,-15,0,6:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,
35,852,36,1993-01-30,35-012,SAS,SAC,5,0,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
36,853,37,1993-02-02,35-015,SAS,NJN,18,0,9:00,1,2,.500,0,0,,0,0,,4,1,5,0,0,0,1,0,2,3.1,
37,854,38,1993-02-06,35-019,SAS,MIN,9,0,8:00,2,3,.667,0,0,,0,0,,1,2,3,0,0,0,2,2,4,1.2,
38,855,39,1993-02-09,35-022,SAS,LAC,15,0,13:00,2,4,.500,0,0,,0,0,,2,3,5,0,0,1,2,1,4,2.6,
39,856,40,1993-02-11,35-024,SAS,WSB,10,0,5:00,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-0.1,
40,857,41,1993-02-15,35-028,SAS,LAC,3,0,7:00,0,1,.000,0,0,,0,0,,2,3,5,0,0,0,0,1,0,1.2,
41,858,42,1993-02-16,35-029,SAS,GSW,-21,1,27:00,3,5,.600,0,0,,0,1,.000,4,7,11,0,0,1,1,3,6,6.7,
42,859,43,1993-02-18,35-031,SAS,PHI,5,1,12:00,0,1,.000,0,0,,0,0,,2,4,6,0,0,1,0,1,0,2.2,
43,860,44,1993-02-25,35-038,SAS,CHH,-7,0,14:00,0,0,,0,0,,0,0,,0,2,2,1,0,1,0,1,0,1.6,
44,861,45,1993-02-26,35-039,SAS,MIA,-7,0,6:00,0,1,.000,0,0,,0,0,,1,3,4,0,0,0,0,2,0,0.1,
45,862,46,1993-02-28,35-041,SAS,ORL,4,0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
46,863,47,1993-03-02,35-043,SAS,IND,-14,0,21:00,3,5,.600,0,0,,0,0,,8,5,13,1,0,0,0,3,6,10.3,
