,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,784,1,2016-10-26,33-333,PHO,SAC,-19,0,3:24,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-1.9,-15
1,785,3,2016-10-30,33-337,PHO,GSW,-6,0,14:39,3,6,.500,0,0,,1,2,.500,1,2,3,2,0,0,0,0,7,6.3,+1
2,786,4,2016-10-31,33-338,PHO,LAC,-18,0,12:32,4,5,.800,1,2,.500,0,0,,0,2,2,1,1,0,0,1,9,9.0,-2
3,787,5,2016-11-02,33-340,PHO,POR,3,0,11:01,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,2,1.7,-5
4,788,6,2016-11-04,33-342,PHO,NOP,1,0,11:02,1,6,.167,0,0,,0,0,,0,1,1,2,0,0,0,1,2,-0.5,0
5,789,7,2016-11-06,33-344,PHO,LAL,-11,0,14:26,1,5,.200,0,1,.000,0,0,,1,1,2,1,0,0,0,2,2,-0.2,+8
6,790,8,2016-11-08,33-346,PHO,POR,-3,0,14:34,3,5,.600,0,2,.000,4,4,1.000,0,2,2,3,1,0,0,1,10,11.0,+8
7,791,9,2016-11-09,33-347,PHO,DET,7,0,8:12,2,3,.667,1,1,1.000,0,0,,1,1,2,1,0,0,0,0,5,5.4,-1
8,792,10,2016-11-12,33-350,PHO,BRK,-18,0,6:06,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,-5
9,793,11,2016-11-13,33-351,PHO,GSW,-13,0,15:22,5,8,.625,1,3,.333,0,0,,0,1,1,4,0,0,1,2,11,8.7,+5
10,794,12,2016-11-16,33-354,PHO,DEN,-16,0,18:06,6,8,.750,0,0,,0,0,,0,1,1,1,1,0,1,1,12,9.4,-1
11,795,13,2016-11-18,33-356,PHO,IND,20,0,24:02,5,9,.556,3,4,.750,0,0,,0,1,1,1,2,0,0,0,13,11.7,+9
12,796,14,2016-11-19,33-357,PHO,PHI,-15,0,9:30,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0.3,-15
13,797,15,2016-11-21,33-359,PHO,WAS,-5,0,14:00,2,4,.500,1,2,.500,0,0,,0,1,1,2,0,0,1,1,5,3.3,+6
14,798,16,2016-11-23,33-361,PHO,ORL,5,0,15:31,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,0,1,4,2.9,+4
15,799,17,2016-11-25,33-363,PHO,MIN,-13,0,12:04,0,6,.000,0,2,.000,0,0,,1,2,3,1,1,0,0,0,0,-1.2,+5
