,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,285,1,2005-11-01,30-252,PHI,MIL,-9,0,20:13,4,8,.500,0,0,,0,0,,3,2,5,0,1,0,1,1,8,6.3,-12
1,286,2,2005-11-02,30-253,PHI,DET,-20,0,10:14,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,2,4,1.9,-7
2,287,3,2005-11-04,30-255,PHI,CHA,-17,0,15:14,1,4,.250,0,0,,0,0,,3,1,4,0,1,0,0,0,2,3.0,-5
3,288,4,2005-11-05,30-256,PHI,IND,2,0,7:51,2,4,.500,0,0,,2,3,.667,1,0,1,0,0,0,0,0,6,4.3,+1
4,289,5,2005-11-09,30-260,PHI,DAL,15,0,12:21,4,4,1.000,0,0,,0,0,,2,0,2,0,1,0,0,3,8,8.0,+14
5,290,6,2005-11-11,30-262,PHI,LAL,4,0,7:41,2,3,.667,0,0,,0,0,,0,0,0,1,1,0,2,2,4,1.6,-9
6,291,7,2005-11-13,30-264,PHI,LAC,5,0,25:25,8,11,.727,0,0,,5,5,1.000,4,2,6,1,0,1,0,3,21,20.1,+14
7,292,8,2005-11-15,30-266,PHI,TOR,12,0,17:50,0,5,.000,0,0,,0,0,,1,1,2,0,0,0,1,2,0,-4.3,-6
8,293,9,2005-11-16,30-267,PHI,TOR,6,0,16:43,3,5,.600,0,0,,3,4,.750,2,3,5,1,1,0,1,2,9,8.5,-7
9,294,10,2005-11-18,30-269,PHI,MIA,-10,0,9:18,0,1,.000,0,0,,0,0,,1,0,1,1,0,2,0,3,0,0.9,0
10,295,11,2005-11-19,30-270,PHI,CLE,-3,0,11:29,3,6,.500,0,0,,1,1,1.000,0,0,0,1,0,0,1,2,7,2.9,-1
11,296,12,2005-11-21,30-272,PHI,NOK,12,0,12:35,0,3,.000,0,0,,0,0,,0,1,1,0,1,0,0,2,0,-1.6,-6
12,297,13,2005-11-23,30-274,PHI,MIL,-11,0,9:20,3,4,.750,0,0,,0,0,,0,1,1,0,0,0,0,2,6,3.9,-2
13,298,14,2005-11-29,30-280,PHI,POR,24,0,3:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+5
14,299,15,2005-12-02,30-283,PHI,NOK,-2,0,7:09,1,1,1.000,0,0,,0,0,,0,2,2,0,0,1,1,2,2,1.2,-6
15,300,16,2005-12-03,30-284,PHI,SAS,-9,0,2:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+2
16,301,17,2005-12-07,30-288,PHI,MIL,-3,0,0:56,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+2
17,302,18,2005-12-18,30-299,PHI,TOR,27,0,5:02,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,+1
18,303,19,2006-01-03,30-315,PHI,SAC,13,0,8:39,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,+20
19,304,20,2006-01-04,30-316,PHI,PHO,-20,0,16:01,3,10,.300,0,0,,2,2,1.000,3,1,4,0,2,0,2,3,8,3.4,0
20,305,21,2006-01-06,30-318,PHI,LAL,-26,0,7:25,0,3,.000,0,0,,0,0,,1,2,3,1,0,0,0,2,0,-0.9,-5
21,306,22,2006-01-22,30-334,PHI,MIN,2,0,9:16,3,4,.750,0,0,,0,0,,2,1,3,0,0,0,0,0,6,6.1,+7
