,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,310,1,1980-10-11,26-046,KCK,UTA,7,,,2,,,0,,,2,2,1.000,,,,,,,,,6,,
1,311,2,1980-10-12,26-047,KCK,PHO,-9,,,1,,,0,,,3,4,.750,,,,,,,,,5,,
2,312,3,1980-10-14,26-049,KCK,SAS,-6,,,0,,,0,,,0,0,,,,,,,,,,0,,
3,313,4,1980-10-15,26-050,KCK,LAL,-5,,,1,,,0,,,0,0,,,,,,,,,,2,,
4,314,5,1980-10-17,26-052,KCK,DAL,12,,,1,,,0,,,0,0,,,,,,,,,,2,,
5,315,6,1980-10-18,26-053,KCK,SEA,-5,,,6,,,0,,,0,2,.000,,,,,,,,,12,,
6,316,7,1980-10-21,26-056,KCK,GSW,-5,,,5,,,0,,,2,3,.667,,,,,,,,,12,,
7,317,8,1980-10-23,26-058,KCK,HOU,9,,,1,,,0,,,0,0,,,,,,,,,,2,,
8,318,9,1980-10-25,26-060,KCK,DEN,3,,,4,,,0,,,0,0,,,,,,,,,,8,,
9,319,10,1980-10-28,26-063,KCK,ATL,-10,,,3,,,0,,,1,1,1.000,,,,,,,,,7,,
10,320,11,1980-10-29,26-064,KCK,POR,17,,,3,,,0,,,5,8,.625,,,,,,,,,11,,
11,321,12,1980-10-31,26-066,KCK,BOS,-5,,,2,,,0,,,0,0,,,,,,,,,,4,,
12,322,13,1980-11-01,26-067,KCK,PHO,-27,,,2,,,0,,,1,4,.250,,,,,,,,,5,,
13,323,14,1980-11-04,26-070,KCK,UTA,-3,,,3,,,0,,,1,1,1.000,,,,,,,,,7,,
14,324,15,1980-11-08,26-074,KCK,CLE,5,,,2,,,0,,,4,6,.667,,,,,,,,,8,,
15,325,16,1980-11-11,26-077,KCK,POR,1,,,1,,,0,,,1,1,1.000,,,,,,,,,3,,
16,326,17,1980-11-12,26-078,KCK,GSW,-10,,,0,,,0,,,0,0,,,,,,,,,,0,,
