,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,400,1,1967-10-18,27-222,BAL,NYK,23,,32:00,3,13,.231,,,,3,3,1.000,,,9,1,,,,4,9,,
1,401,2,1967-10-21,27-225,BAL,BOS,-16,,,4,,,,,,7,8,.875,,,,,,,,,15,,
2,402,3,1967-10-24,27-228,BAL,SEA,11,,,7,13,.538,,,,12,13,.923,,,13,2,,,,5,26,,
3,403,4,1967-10-25,27-229,BAL,SDR,16,,,6,,,,,,3,4,.750,,,,,,,,,15,,
4,404,5,1967-10-27,27-231,BAL,SFW,-13,,37:00,6,15,.400,,,,0,3,.000,,,8,4,,,,3,12,,
5,405,6,1967-10-29,27-233,BAL,LAL,-13,,,8,11,.727,,,,0,0,,,,4,2,,,,4,16,,
6,406,7,1967-10-31,27-235,BAL,STL,-11,,32:00,6,7,.857,,,,3,5,.600,,,7,0,,,,6,15,,
7,407,8,1967-11-01,27-236,BAL,PHI,-25,,35:00,12,20,.600,,,,2,2,1.000,,,9,1,,,,3,26,,
8,408,9,1967-11-03,27-238,BAL,DET,-2,,40:00,6,15,.400,,,,4,4,1.000,,,13,4,,,,2,16,,
9,409,10,1967-11-04,27-239,BAL,DET,-9,,,6,,,,,,3,4,.750,,,,,,,,,15,,
10,410,11,1967-11-08,27-243,BAL,CIN,22,,,4,,,,,,1,2,.500,,,,,,,,,9,,
11,411,12,1967-11-10,27-245,BAL,BOS,-1,,44:00,4,10,.400,,,,2,5,.400,,,15,1,,,,4,10,,
12,412,13,1967-11-11,27-246,BAL,SEA,5,,,4,7,.571,,,,3,6,.500,,,15,3,,,,6,11,,
13,413,14,1967-11-14,27-249,BAL,SFW,-6,,,6,,,,,,5,7,.714,,,,,,,,,17,,
14,414,15,1967-11-17,27-252,BAL,LAL,9,,41:00,6,,,,,,0,1,.000,,,19,,,,,,12,,
15,415,16,1967-11-18,27-253,BAL,NYK,8,,,6,,,,,,3,4,.750,,,,,,,,,15,,
16,416,17,1967-11-22,27-257,BAL,CHI,-5,,,6,,,,,,2,2,1.000,,,,,,,,,14,,
17,417,18,1967-11-25,27-260,BAL,BOS,8,,,6,,,,,,4,5,.800,,,,,,,,,16,,
18,418,19,1967-11-28,27-263,BAL,SFW,-7,,18:00,0,4,.000,,,,3,3,1.000,,,3,0,,,,1,3,,
19,419,20,1967-12-01,27-266,BAL,CIN,14,,,4,,,,,,1,3,.333,,,,,,,,,9,,
20,420,21,1967-12-02,27-267,BAL,PHI,-9,,21:00,6,12,.500,,,,1,1,1.000,,,10,1,,,,4,13,,
21,421,22,1967-12-05,27-270,BAL,NYK,-31,,31:00,6,12,.500,,,,8,9,.889,,,12,1,,,,3,20,,
22,422,23,1967-12-06,27-271,BAL,LAL,-11,,,7,,,,,,1,3,.333,,,,,,,,,15,,
23,423,24,1967-12-08,27-273,BAL,BOS,-15,,37:00,4,10,.400,,,,1,3,.333,,,20,0,,,,3,9,,
24,424,25,1967-12-09,27-274,BAL,PHI,-14,,45:00,5,16,.313,,,,3,5,.600,,,21,1,,,,4,13,,
25,425,26,1967-12-10,27-275,BAL,STL,-2,,43:00,3,6,.500,,,,5,5,1.000,,,15,4,,,,3,11,,
26,426,27,1967-12-12,27-277,BAL,DET,23,,,4,,,,,,3,3,1.000,,,16,10,,,,6,11,,
27,427,28,1967-12-13,27-278,BAL,CIN,-28,,,0,5,.000,,,,4,5,.800,,,8,5,,,,,4,,
28,428,29,1967-12-15,27-280,BAL,SFW,-13,,,2,,,,,,9,11,.818,,,,,,,,,13,,
29,429,30,1967-12-19,27-284,BAL,STL,19,,37:00,7,15,.467,,,,2,3,.667,,,14,0,,,,4,16,,
30,430,31,1967-12-21,27-286,BAL,CHI,8,,,6,,,,,,7,10,.700,,,,,,,,,19,,
31,431,32,1967-12-22,27-287,BAL,CHI,5,,,3,,,,,,3,4,.750,,,,,,,,,9,,
32,432,33,1967-12-25,27-290,BAL,PHI,-3,,,5,15,.333,,,,1,1,1.000,,,14,2,,,,3,11,,
33,433,34,1967-12-29,27-294,BAL,CIN,17,,,8,,,,,,3,6,.500,,,14,4,,,,,19,,
34,434,35,1968-01-01,27-297,BAL,CHI,-6,,,12,,,,,,8,9,.889,,,14,,,,,,32,,
35,435,36,1968-01-02,27-298,BAL,DET,-1,,41:00,1,5,.200,,,,7,8,.875,,,14,2,,,,2,9,,
36,436,37,1968-01-03,27-299,BAL,CHI,-19,,38:00,10,19,.526,,,,1,1,1.000,,,17,3,,,,2,21,,
37,437,38,1968-01-06,27-302,BAL,LAL,3,,,2,,,,,,1,3,.333,,,20,,,,,,5,,
38,438,39,1968-01-09,27-305,BAL,CIN,3,,,8,,,,,,3,3,1.000,,,18,,,,,,19,,
39,439,40,1968-01-10,27-306,BAL,CIN,-16,,,0,2,.000,,,,0,0,,,,3,1,,,,,0,,
40,440,41,1968-01-11,27-307,BAL,STL,-7,,45:00,8,14,.571,,,,1,5,.200,,,13,0,,,,3,17,,
41,441,42,1968-01-12,27-308,BAL,PHI,-17,,29:00,4,8,.500,,,,0,1,.000,,,11,0,,,,4,8,,
42,442,43,1968-01-13,27-309,BAL,CHI,-4,,,6,,,,,,2,3,.667,,,,,,,,,14,,
43,443,44,1968-01-16,27-312,BAL,SEA,-26,,30:00,6,11,.545,,,,2,2,1.000,,,7,1,,,,3,14,,
44,444,45,1968-01-17,27-313,BAL,NYK,-2,,29:00,6,8,.750,,,,6,6,1.000,,,5,2,,,,5,18,,
45,445,46,1968-01-18,27-314,BAL,STL,-3,,42:00,4,6,.667,,,,6,7,.857,,,9,1,,,,3,14,,
46,446,47,1968-01-20,27-316,BAL,BOS,3,,,1,,,,,,4,4,1.000,,,,,,,,,6,,
47,447,48,1968-01-25,27-321,BAL,SDR,14,,,4,,,,,,1,1,1.000,,,,,,,,,9,,
48,448,49,1968-01-26,27-322,BAL,SFW,15,,34:00,5,,,,,,3,3,1.000,,,7,1,,,,,13,,
49,449,50,1968-01-27,27-323,BAL,SDR,1,,,6,,,,,,1,5,.200,,,,,,,,,13,,
50,450,51,1968-01-28,27-324,BAL,SEA,-9,,20:00,2,7,.286,,,,2,4,.500,,,4,4,,,,4,6,,
51,451,52,1968-01-30,27-326,BAL,NYK,3,,19:00,2,5,.400,,,,2,3,.667,,,6,0,,,,6,6,,
52,452,53,1968-01-31,27-327,BAL,DET,5,,,2,,,,,,2,3,.667,,,,,,,,,6,,
53,453,54,1968-02-02,27-329,BAL,BOS,-21,,36:00,3,11,.273,,,,0,2,.000,,,10,3,,,,3,6,,
54,454,55,1968-02-03,27-330,BAL,PHI,-12,,35:00,3,8,.375,,,,3,4,.750,,,6,1,,,,3,9,,
55,455,56,1968-02-04,27-331,BAL,DET,-2,,,5,,,,,,0,2,.000,,,,,,,,,10,,
56,456,57,1968-02-05,27-332,BAL,SDR,13,,,4,,,,,,4,5,.800,,,,,,,,,12,,
57,457,58,1968-02-07,27-334,BAL,NYK,-3,,28:00,3,8,.375,,,,1,2,.500,,,4,2,,,,3,7,,
58,458,59,1968-02-08,27-335,BAL,SDR,4,,,5,,,,,,3,3,1.000,,,,,,,,,13,,
59,459,60,1968-02-10,27-337,BAL,DET,5,,,1,,,,,,4,4,1.000,,,,,,,,,6,,
60,460,61,1968-02-11,27-338,BAL,SDR,20,,,5,,,,,,1,1,1.000,,,,,,,,,11,,
61,461,62,1968-02-13,27-340,BAL,LAL,-3,,50:00,4,9,.444,,,,3,5,.600,,,14,2,,,,2,11,,
62,462,63,1968-02-16,27-343,BAL,SEA,29,,30:00,6,10,.600,,,,4,4,1.000,,,9,3,,,,1,16,,
63,463,64,1968-02-17,27-344,BAL,CIN,-2,,,2,,,,,,1,1,1.000,,,,,,,,,5,,
64,464,65,1968-02-24,27-351,BAL,DET,8,,,0,,,,,,0,0,,,,,,,,,,0,,
65,465,66,1968-02-28,27-355,BAL,NYK,-4,,,5,,,,,,4,5,.800,,,,,,,,,14,,
66,466,67,1968-03-01,27-357,BAL,SDR,42,,,9,,,,,,2,3,.667,,,,,,,,,20,,
67,467,68,1968-03-02,27-358,BAL,SFW,-8,,,0,,,,,,0,1,.000,,,,,,,,,0,,
68,468,69,1968-03-03,27-359,BAL,LAL,-7,,,1,1,1.000,,,,0,0,,,,1,1,,,,1,2,,
69,469,70,1968-03-05,27-361,BAL,SEA,5,,15:00,1,4,.250,,,,0,0,,,,5,0,,,,6,2,,
70,470,71,1968-03-08,27-364,BAL,SEA,6,,39:00,10,21,.476,,,,1,3,.333,,,20,3,,,,3,21,,
71,471,72,1968-03-10,28-000,BAL,LAL,30,,,1,5,.200,,,,1,1,1.000,,,12,3,,,,2,3,,
72,472,73,1968-03-12,28-002,BAL,NYK,-3,,41:00,1,4,.250,,,,3,3,1.000,,,20,4,,,,2,5,,
73,473,74,1968-03-13,28-003,BAL,CHI,-4,,,2,,,,,,1,2,.500,,,,,,,,,5,,
74,474,75,1968-03-15,28-005,BAL,PHI,-7,,40:00,14,28,.500,,,,1,1,1.000,,,17,3,,,,3,29,,
75,475,76,1968-03-16,28-006,BAL,BOS,-25,,,7,,,,,,0,1,.000,,,,,,,,,14,,
76,476,77,1968-03-17,28-007,BAL,BOS,8,,34:00,13,17,.765,,,,6,9,.667,,,14,2,,,,5,32,,
77,477,78,1968-03-20,28-010,BAL,PHI,-18,,30:00,9,20,.450,,,,0,0,,,,11,2,,,,2,18,,
