,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,60,1,1949-11-05,27-048,BLB,MNL,-15,,,3,,,,,,1,2,.500,,,,,,,,,7,,
1,61,2,1949-11-10,27-053,BLB,WSC,-16,,,,,,,,,1,1,1.000,,,,,,,,,1,,
2,62,3,1949-11-12,27-055,BLB,FTW,7,,,3,,,,,,6,6,1.000,,,,,,,,,12,,
3,63,4,1949-11-15,27-058,BLB,BOS,5,,,1,,,,,,,,,,,,,,,,,2,,
4,64,5,1949-11-17,27-060,BLB,DNN,15,,,1,,,,,,1,2,.500,,,,,,,,,3,,
5,65,6,1949-11-19,27-062,BLB,BOS,-9,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
6,66,7,1949-11-20,27-063,BLB,SHE,5,,,1,,,,,,6,7,.857,,,,,,,,,8,,
7,67,8,1949-11-23,27-066,BLB,MNL,-13,,,1,,,,,,1,2,.500,,,,,,,,,3,,
8,68,9,1949-11-24,27-067,BLB,STB,2,,,3,,,,,,2,3,.667,,,,,,,,,8,,
9,69,10,1949-11-27,27-070,BLB,DNN,-7,,,5,,,,,,6,7,.857,,,,,,,,,16,,
10,70,11,1949-11-30,27-073,BLB,CHS,-7,,,2,,,,,,4,4,1.000,,,,,,,,,8,,
11,71,12,1949-12-01,27-074,BLB,ROC,6,,,1,,,,,,7,7,1.000,,,,,,,,,9,,
12,72,13,1949-12-03,27-076,BLB,NYK,-30,,,4,,,,,,3,5,.600,,,,,,,,,11,,
13,73,14,1949-12-07,27-080,BLB,CHS,-12,,,1,,,,,,3,3,1.000,,,,,,,,,5,,
14,74,15,1949-12-08,27-081,BLB,NYK,-22,,,,,,,,,,,,,,,,,,,,,,
15,75,16,1949-12-10,27-083,BLB,STB,3,,,,,,,,,,1,,,,,,,,,,,,
16,76,17,1949-12-15,27-088,BLB,MNL,19,,,2,,,,,,,,,,,,,,,,,4,,
17,77,18,1949-12-17,27-090,BLB,WSC,17,,,3,,,,,,2,2,1.000,,,,,,,,,8,,
18,78,19,1949-12-18,27-091,BLB,FTW,-11,,,1,,,,,,,1,,,,,,,,,,2,,
19,79,20,1949-12-20,27-093,BLB,INO,9,,,,,,,,,,,,,,,,,,,,,,
20,80,21,1949-12-21,27-094,BLB,PHW,-10,,,1,,,,,,5,5,1.000,,,,,,,,,7,,
21,81,22,1949-12-22,27-095,BLB,WSC,4,,,2,,,,,,4,5,.800,,,,,,,,,8,,
22,82,23,1949-12-25,27-098,BLB,PHW,-1,,,2,,,,,,1,1,1.000,,,,,,,,1,5,,
23,83,24,1949-12-26,27-099,BLB,BOS,-25,,,1,,,,,,4,5,.800,,,,,,,,,6,,
24,84,25,1949-12-28,27-101,BLB,MNL,-11,,,6,,,,,,5,7,.714,,,,,,,,,17,,
25,85,26,1949-12-29,27-102,BLB,STB,-27,,,5,,,,,,5,6,.833,,,,,,,,4,15,,
26,86,27,1950-01-01,27-105,BLB,TRI,-13,,,1,,,,,,3,4,.750,,,,,,,,5,5,,
27,87,28,1950-01-02,27-106,BLB,AND,-17,,,1,,,,,,4,5,.800,,,,,,,,,6,,
28,88,29,1950-01-05,27-109,BLB,ROC,3,,,,,,,,,,,,,,,,,,,,,,
29,89,30,1950-01-06,27-110,BLB,BOS,-21,,,1,,,,,,6,7,.857,,,,,,,,,8,,
30,90,31,1950-01-07,27-111,BLB,INO,-24,,,,,,,,,2,3,.667,,,,,,,,,2,,
31,91,32,1950-01-10,27-114,BLB,ROC,-18,,,,,,,,,,,,,,,,,,,,,,
32,92,33,1950-01-19,27-123,BLB,WSC,-13,,,,,,,,,1,2,.500,,,,,,,,,1,,
33,93,34,1950-01-21,27-125,BLB,PHW,10,,,,,,,,,,,,,,,,,,,,,,
34,94,35,1950-01-24,27-128,BLB,ROC,-14,,,1,,,,,,1,2,.500,,,,,,,,,3,,
35,95,36,1950-01-26,27-130,BLB,NYK,-2,,,,,,,,,1,2,.500,,,,,,,,,1,,
36,96,37,1950-01-27,27-131,BLB,PHW,3,,,,,,,,,1,1,1.000,,,,,,,,,1,,
37,97,38,1950-02-02,27-137,BLB,ROC,10,,,,,,,,,,,,,,,,,,,,,,
38,98,39,1950-02-03,27-138,BLB,CHS,-17,,,3,,,,,,4,4,1.000,,,,,,,,,10,,
39,99,40,1950-02-04,27-139,BLB,AND,20,,,1,,,,,,3,5,.600,,,,,,,,,5,,
40,100,41,1950-02-05,27-140,BLB,SYR,-9,,,,,,,,,,,,,,,,,,,1,,,
41,101,42,1950-02-09,27-144,BLB,STB,12,,,,,,,,,1,2,.500,,,,,,,,6,1,,
42,102,43,1950-02-15,27-150,BLB,NYK,-13,,,,,,,,,2,2,1.000,,,,,,,,,2,,
43,103,44,1950-02-18,27-153,BLB,PHW,-27,,,,,,,,,11,11,1.000,,,,,,,,,11,,
44,104,45,1950-02-20,27-155,BLB,TRI,-9,,,1,,,,,,,,,,,,,,,,,2,,
45,105,46,1950-02-21,27-156,BLB,CHS,-8,,,1,,,,,,,,,,,,,,,,,2,,
46,106,47,1950-02-24,27-159,BLB,PHW,8,,,,,,,,,1,1,1.000,,,,,,,,,1,,
47,107,48,1950-02-25,27-160,BLB,BOS,-16,,,1,,,,,,,,,,,,,,,,,2,,
48,108,49,1950-03-01,27-164,BLB,NYK,-6,,,,,,,,,2,2,1.000,,,,,,,,,2,,
49,109,50,1950-03-02,27-165,BLB,MNL,-20,,,1,,,,,,,,,,,,,,,,,2,,
50,110,51,1950-03-15,27-178,BLB,MNL,-34,,,3,,,,,,,,,,,,,,,,,6,,
51,111,52,1950-03-16,27-179,BLB,STB,-8,,,,,,,,,2,3,.667,,,,,,,,,2,,
52,112,53,1950-03-19,27-182,BLB,ROC,-31,,,2,,,,,,1,1,1.000,,,,,,,,,5,,
