,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,132,1,1953-10-30,24-106,MLH,MNL,10,,,4,,,,,,5,6,.833,,,,,,,,4,13,,
1,133,2,1953-11-01,24-108,MLH,FTW,-10,,,2,,,,,,2,2,1.000,,,,,,,,6,6,,
2,134,3,1953-11-04,24-111,MLH,NYK,-6,,,6,,,,,,1,1,1.000,,,,,,,,3,13,,
3,135,4,1953-11-06,24-113,MLH,NYK,-12,,,2,,,,,,1,5,.200,,,,,,,,,5,,
4,136,5,1953-11-10,24-117,MLH,SYR,-15,,,2,,,,,,,2,,,,,,,,,2,4,,
5,137,6,1953-11-13,24-120,MLH,MNL,-8,,,6,,,,,,3,6,.500,,,,,,,,6,15,,
6,138,7,1953-11-15,24-122,MLH,SYR,-8,,,2,,,,,,6,9,.667,,,,,,,,,10,,
7,139,8,1953-11-18,24-125,MLH,BLB,-30,,,4,,,,,,1,4,.250,,,,,,,,,9,,
8,140,9,1953-11-19,24-126,MLH,ROC,-10,,,1,,,,,,,,,,,,,,,,,2,,
9,141,10,1953-11-20,24-127,MLH,ROC,-18,,,,,,,,,2,3,.667,,,,,,,,,2,,
10,142,11,1953-11-22,24-129,MLH,MNL,-2,,,3,,,,,,2,4,.500,,,,,,,,4,8,,
11,143,12,1953-11-25,24-132,MLH,FTW,6,,,,,,,,,4,7,.571,,,,,,,,3,4,,
12,144,13,1953-11-26,24-133,MLH,FTW,-14,,,3,,,,,,1,,,,,,,,,,,7,,
13,145,14,1953-11-27,24-134,MLH,PHW,4,,,7,,,,,,1,2,.500,,,,,,,,2,15,,
14,146,15,1953-11-28,24-135,MLH,PHW,3,,,7,,,,,,3,4,.750,,,,,,,,1,17,,
15,147,16,1953-12-01,24-138,MLH,SYR,-7,,,6,,,,,,2,4,.500,,,,,,,,,14,,
16,148,17,1953-12-05,24-142,MLH,BOS,-18,,,5,,,,,,,,,,,,,,,,3,10,,
17,149,18,1953-12-09,24-146,MLH,FTW,-24,,,,,,,,,,,,,,,,,,,,,,
18,150,19,1953-12-10,24-147,MLH,SYR,-20,,,,,,,,,3,4,.750,,,,,,,,1,3,,
19,151,20,1953-12-11,24-148,MLH,NYK,12,,,7,,,,,,2,2,1.000,,,,,,,,2,16,,
20,152,21,1953-12-13,24-150,MLH,BLB,3,,,6,,,,,,5,5,1.000,,,,,,,,3,17,,
21,153,22,1953-12-15,24-152,MLH,ROC,-12,,,2,,,,,,4,5,.800,,,,,,,,,8,,
22,154,23,1953-12-16,24-153,MLH,MNL,-6,,,2,,,,,,3,4,.750,,,,,,,,4,7,,
23,155,24,1953-12-19,24-156,MLH,FTW,-6,,,1,,,,,,,,,,,,,,,,2,2,,
24,156,25,1953-12-21,24-158,MLH,BOS,-16,,,3,,,,,,1,2,.500,,,,,,,,2,7,,
25,157,26,1953-12-23,24-160,MLH,BOS,-6,,,4,,,,,,,,,,,,,,,,3,8,,
26,158,27,1953-12-26,24-163,MLH,BOS,7,,,5,,,,,,1,,,,,,,,,,2,11,,
27,159,28,1953-12-27,24-164,MLH,SYR,-21,,,6,,,,,,4,,,,,,,,,,3,16,,
28,160,29,1953-12-28,24-165,MLH,PHW,-6,,,6,,,,,,1,,,,,,,,,,2,13,,
29,161,30,1954-01-01,24-169,MLH,BLB,10,,,1,,,,,,4,,,,,,,,,,3,6,,
30,162,31,1954-01-05,24-173,MLH,PHW,-11,,,2,,,,,,2,,,,,,,,,,3,6,,
31,163,32,1954-01-06,24-174,MLH,PHW,-5,,,2,,,,,,1,1,1.000,,,,,,,,3,5,,
32,164,33,1954-01-07,24-175,MLH,PHW,-15,,,1,,,,,,3,3,1.000,,,,,,,,4,5,,
33,165,34,1954-01-09,24-177,MLH,MNL,-11,,,1,,,,,,1,2,.500,,,,,,,,1,3,,
34,166,35,1954-01-10,24-178,MLH,FTW,-8,,,2,,,,,,1,,,,,,,,,,,5,,
35,167,36,1954-01-12,24-180,MLH,ROC,-5,,,2,,,,,,2,,,,,,,,,,2,6,,
36,168,37,1954-01-14,24-182,MLH,BOS,-12,,,,,,,,,,,,,,,,,,,4,,,
37,169,38,1954-01-16,24-184,MLH,MNL,6,,,6,,,,,,4,4,1.000,,,,,,,,3,16,,
38,170,39,1954-01-18,24-186,MLH,MNL,-19,,,2,,,,,,2,3,.667,,,,,,,,4,6,,
39,171,40,1954-01-19,24-187,MLH,NYK,-3,,,4,,,,,,1,1,1.000,,,,,,,,1,9,,
40,172,41,1954-01-23,24-191,MLH,NYK,-12,,,3,,,,,,3,4,.750,,,,,,,,2,9,,
41,173,42,1954-01-24,24-192,MLH,NYK,2,,,2,,,,,,1,2,.500,,,,,,,,1,5,,
42,174,43,1954-01-26,24-194,MLH,MNL,-15,,,,,,,,,2,6,.333,,,,,,,,1,2,,
43,175,44,1954-01-27,24-195,MLH,FTW,-9,,,4,,,,,,,,,,,,,,,,2,8,,
44,176,45,1954-01-29,24-197,MLH,BOS,12,,,5,,,,,,3,,,,,,,,,,5,13,,
45,177,46,1954-01-30,24-198,MLH,MNL,-16,,,6,,,,,,3,5,.600,,,,,,,,2,15,,
46,178,47,1954-02-01,24-200,MLH,FTW,-1,,,5,,,,,,2,,,,,,,,,,2,12,,
47,179,48,1954-02-03,24-202,MLH,BLB,6,,,1,,,,,,1,,,,,,,,,,4,3,,
48,180,49,1954-02-05,24-204,MLH,PHW,3,,,2,,,,,,1,,,,,,,,,,5,5,,
49,181,50,1954-02-07,24-206,MLH,SYR,-15,,,6,,,,,,2,,,,,,,,,,2,14,,
50,182,51,1954-02-09,24-208,MLH,ROC,-11,,,2,,,,,,,,,,,,,,,,3,4,,
51,183,52,1954-02-10,24-209,MLH,ROC,-1,,,2,,,,,,,,,,,,,,,,4,4,,
52,184,53,1954-02-11,24-210,MLH,ROC,-11,,,2,,,,,,3,,,,,,,,,,3,7,,
53,185,54,1954-02-12,24-211,MLH,MNL,9,,,4,,,,,,3,4,.750,,,,,,,,2,11,,
54,186,55,1954-02-16,24-215,MLH,FTW,-4,,,3,,,,,,2,,,,,,,,,,,8,,
55,187,56,1954-02-19,24-218,MLH,BOS,-5,,,3,,,,,,,,,,,,,,,,2,6,,
56,188,57,1954-02-20,24-219,MLH,ROC,-2,,,7,,,,,,2,,,,,,,,,,4,16,,
57,189,58,1954-02-21,24-220,MLH,FTW,2,,,2,,,,,,3,,,,,,,,,,,7,,
58,190,59,1954-02-22,24-221,MLH,FTW,-13,,,2,,,,,,4,,,,,,,,,,,8,,
59,191,60,1954-02-23,24-222,MLH,SYR,2,,,,,,,,,1,,,,,,,,,,1,1,,
60,192,61,1954-02-26,24-225,MLH,SYR,-6,,,2,,,,,,2,3,.667,,,,,,,,1,6,,
61,193,62,1954-02-27,24-226,MLH,NYK,1,,,1,,,,,,1,1,1.000,,,,,,,,3,3,,
62,194,63,1954-02-28,24-227,MLH,BOS,-19,,,3,,,,,,3,3,1.000,,,,,,,,1,9,,
63,195,64,1954-03-01,24-228,MLH,PHW,-5,,,2,,,,,,,,,,,,,,,,1,4,,
64,196,65,1954-03-03,24-230,MLH,BLB,3,,,7,,,,,,2,,,,,,,,,,3,16,,
65,197,66,1954-03-04,24-231,MLH,BLB,-8,,,2,,,,,,,,,,,,,,,,,4,,
66,198,67,1954-03-07,24-234,MLH,MNL,-2,,,2,,,,,,1,1,1.000,,,,,,,,5,5,,
67,200,68,1954-03-08,24-235,MLH,BLB,10,,,3,,,,,,1,,,,,,,,,,2,7,,
68,199,69,1954-03-08,24-235,MLH,BLB,11,,,,,,,,,1,,,,,,,,,,,1,,
69,201,70,1954-03-09,24-236,MLH,NYK,-7,,,4,,,,,,3,,,,,,,,,,3,11,,
70,202,71,1954-03-10,24-237,MLH,ROC,-15,,,3,,,,,,,,,,,,,,,,6,6,,
71,203,72,1954-03-14,24-241,MLH,ROC,38,,,6,,,,,,3,,,,,,,,,,3,15,,
