,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,62,1,2006-11-02,21-303,DEN,LAC,-1,0,16:41,1,5,.200,0,3,.000,0,0,,0,2,2,0,1,0,1,1,2,-0.9,+15
1,63,2,2006-11-03,21-304,DEN,MIN,-3,0,4:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0
2,64,3,2006-11-08,21-309,DEN,NYK,-2,0,3:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,3,0,-2.2,-8
3,65,4,2006-11-10,21-311,DEN,PHI,7,0,5:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-6
4,66,5,2006-11-14,21-315,DEN,MIA,7,0,6:14,1,3,.333,1,3,.333,0,0,,2,0,2,0,0,0,0,0,3,2.7,-12
5,67,6,2006-11-15,21-316,DEN,ORL,-9,0,16:43,0,3,.000,0,1,.000,0,0,,0,1,1,0,2,0,1,3,0,-2.0,-2
6,68,7,2006-11-21,21-322,DEN,CHI,4,0,16:48,2,9,.222,1,5,.200,1,2,.500,2,1,3,0,0,1,1,2,6,0.7,0
7,69,8,2006-11-22,21-323,DEN,GSW,3,0,3:51,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,0.6,-4
8,70,9,2006-11-24,21-325,DEN,GSW,11,0,14:09,0,3,.000,0,1,.000,2,4,.500,0,1,1,2,2,0,3,3,2,-1.4,-8
9,71,10,2006-11-26,21-327,DEN,LAC,15,0,0:29,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+2
10,72,11,2006-11-28,21-329,DEN,MEM,-12,0,2:30,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,0
11,73,12,2006-12-01,21-332,DEN,MIN,14,0,1:36,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+1
12,74,13,2006-12-02,21-333,DEN,IND,20,0,17:55,3,7,.429,0,1,.000,3,4,.750,4,1,5,0,1,0,1,4,9,6.4,+9
13,75,14,2006-12-06,21-337,DEN,ATL,-2,0,11:46,2,3,.667,0,0,,0,0,,0,2,2,1,2,0,2,4,4,2.4,-8
14,76,15,2006-12-08,21-339,DEN,MIA,16,0,26:49,5,8,.625,0,0,,5,6,.833,2,2,4,0,0,1,1,5,15,10.7,+13
15,77,16,2006-12-09,21-340,DEN,DAL,-15,0,16:19,1,5,.200,0,0,,3,6,.500,5,0,5,0,0,0,1,2,5,2.4,-1
16,78,17,2006-12-13,21-344,DEN,WAS,-29,0,8:38,1,4,.250,0,0,,1,1,1.000,0,1,1,0,0,0,1,0,3,-0.1,-10
17,79,18,2006-12-15,21-346,DEN,BOS,-5,0,9:38,1,2,.500,0,0,,0,0,,1,0,1,2,0,0,0,1,2,2.7,+4
18,80,19,2006-12-16,21-347,DEN,NYK,23,0,1:15,1,1,1.000,1,1,1.000,1,2,.500,0,0,0,0,0,0,0,0,4,3.3,+3
19,81,20,2006-12-18,21-349,DEN,WAS,9,1,31:28,3,7,.429,2,4,.500,2,2,1.000,3,3,6,1,0,0,1,1,10,8.6,+5
20,82,21,2006-12-22,21-353,DEN,SAC,-5,1,25:31,2,10,.200,1,5,.200,2,2,1.000,3,4,7,1,0,0,0,1,7,4.4,-10
21,83,22,2006-12-26,21-357,DEN,BOS,11,0,20:02,3,4,.750,1,1,1.000,2,5,.400,0,2,2,1,0,0,1,1,9,6.1,-6
22,84,23,2006-12-28,21-359,DEN,SEA,14,0,14:39,2,6,.333,0,1,.000,0,0,,2,5,7,0,0,0,5,5,4,-3.5,-2
23,85,24,2006-12-29,21-360,DEN,NOK,-10,0,24:19,1,5,.200,1,3,.333,0,0,,0,5,5,1,1,1,0,5,3,1.8,0
24,86,25,2006-12-31,21-362,DEN,DAL,-4,0,25:49,2,7,.286,0,2,.000,2,2,1.000,0,3,3,0,0,0,2,2,6,0.0,+10
25,87,26,2007-01-02,21-364,DEN,PHI,-11,0,15:32,2,7,.286,0,2,.000,2,2,1.000,0,1,1,0,0,0,3,2,6,-1.6,-6
26,88,27,2007-01-05,22-002,DEN,LAL,-19,0,23:14,4,7,.571,0,0,,2,2,1.000,0,9,9,3,2,0,2,3,10,10.3,+14
27,89,28,2007-01-06,22-003,DEN,UTA,-12,1,34:24,5,9,.556,1,3,.333,6,8,.750,1,1,2,0,0,0,1,4,17,10.3,-9
28,90,29,2007-01-08,22-005,DEN,MIL,12,1,27:12,4,8,.500,3,5,.600,0,0,,3,6,9,2,1,0,2,3,11,10.1,+15
29,91,30,2007-01-10,22-007,DEN,SAS,-9,1,18:24,1,4,.250,0,2,.000,0,0,,1,2,3,0,0,0,1,2,2,-0.9,-7
30,92,31,2007-01-12,22-009,DEN,HOU,-4,0,25:10,0,5,.000,0,1,.000,0,0,,3,2,5,1,0,0,0,5,0,-2.1,+8
31,93,32,2007-01-14,22-011,DEN,POR,16,1,23:19,2,4,.500,1,3,.333,4,4,1.000,1,6,7,0,1,0,1,4,9,7.9,+14
32,94,33,2007-01-19,22-016,DEN,CLE,11,1,21:37,4,7,.571,2,3,.667,2,2,1.000,0,1,1,0,0,0,1,2,12,7.2,+5
33,95,34,2007-01-20,22-017,DEN,HOU,8,1,23:20,3,8,.375,2,5,.400,4,4,1.000,0,2,2,0,0,0,1,2,12,6.4,-1
34,96,35,2007-01-22,22-019,DEN,MEM,17,0,6:36,1,4,.250,0,1,.000,0,0,,0,0,0,0,0,0,1,1,2,-1.8,-9
35,97,36,2007-01-23,22-020,DEN,SEA,5,0,7:47,2,3,.667,0,0,,0,0,,0,2,2,0,2,1,0,3,4,4.8,+9
36,98,37,2007-01-26,22-023,DEN,UTA,-5,0,6:05,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,-3
37,99,38,2007-01-27,22-024,DEN,NJN,-10,0,1:11,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,+4
38,100,39,2007-01-29,22-026,DEN,CHA,-4,0,5:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-5
39,101,40,2007-01-31,22-028,DEN,POR,-9,0,0:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-1
40,102,41,2007-02-02,22-030,DEN,POR,7,0,18:32,2,6,.333,0,1,.000,0,0,,2,6,8,0,0,0,1,2,4,2.0,+6
41,103,42,2007-02-03,22-031,DEN,SAC,-7,0,18:39,3,6,.500,2,4,.500,2,2,1.000,1,1,2,0,0,0,1,2,10,6.2,-6
42,104,43,2007-02-05,22-033,DEN,PHO,-5,0,20:57,4,6,.667,1,2,.500,0,0,,5,4,9,1,1,0,0,3,9,11.6,+9
43,105,44,2007-02-07,22-035,DEN,NOK,-2,0,17:36,2,4,.500,0,1,.000,0,0,,2,2,4,1,0,0,2,4,4,1.1,+8
44,106,45,2007-02-09,22-037,DEN,IND,7,1,30:22,4,8,.500,3,6,.500,4,4,1.000,2,3,5,0,1,0,5,5,15,7.3,+13
45,107,46,2007-02-10,22-038,DEN,MIL,7,1,27:20,4,8,.500,0,3,.000,4,4,1.000,0,4,4,1,1,0,2,1,12,8.5,+6
46,108,47,2007-02-12,22-040,DEN,GSW,12,1,34:16,2,9,.222,0,2,.000,8,8,1.000,3,2,5,3,0,0,1,2,12,9.5,+5
47,109,48,2007-02-14,22-042,DEN,MIN,-5,1,27:07,4,9,.444,3,5,.600,0,0,,1,4,5,2,0,0,0,3,11,8.4,+7
48,110,49,2007-02-20,22-048,DEN,SAS,-15,0,25:46,3,6,.500,2,4,.500,0,0,,0,4,4,0,0,0,1,5,8,3.2,-4
49,111,50,2007-02-23,22-051,DEN,UTA,-10,1,20:55,0,3,.000,0,1,.000,0,0,,0,2,2,1,0,0,1,2,0,-2.6,-4
50,112,51,2007-02-24,22-052,DEN,DAL,-20,0,21:38,1,6,.167,1,3,.333,4,4,1.000,0,2,2,0,1,0,2,3,7,1.6,-15
51,113,52,2007-02-26,22-054,DEN,MEM,4,0,11:49,1,6,.167,0,1,.000,1,2,.500,1,1,2,0,0,0,0,3,3,-1.4,-2
52,114,53,2007-02-28,22-056,DEN,ORL,10,0,28:51,5,8,.625,3,6,.500,2,2,1.000,0,3,3,0,0,1,0,5,15,11.0,+8
53,115,54,2007-03-02,22-058,DEN,HOU,-11,0,19:41,2,4,.500,2,4,.500,4,4,1.000,0,5,5,1,0,0,0,3,10,9.0,0
54,116,55,2007-03-06,22-062,DEN,NOK,15,0,23:12,3,7,.429,2,6,.333,1,2,.500,0,3,3,0,0,1,2,2,9,3.7,+14
55,117,56,2007-03-07,22-063,DEN,GSW,-14,0,20:57,2,11,.182,1,5,.200,3,4,.750,7,3,10,1,0,1,2,4,8,4.3,+1
56,118,57,2007-03-09,22-065,DEN,DET,-13,0,24:22,4,13,.308,4,8,.500,2,2,1.000,2,7,9,1,0,0,1,4,14,8.1,+1
57,119,58,2007-03-11,22-067,DEN,SAC,12,0,33:01,8,11,.727,4,7,.571,4,4,1.000,1,7,8,1,0,0,0,2,24,22.2,+21
58,120,59,2007-03-13,22-069,DEN,POR,8,0,16:21,2,3,.667,0,1,.000,0,0,,2,4,6,0,0,0,2,4,4,1.7,0
59,121,60,2007-03-15,22-071,DEN,LAL,27,0,36:13,10,13,.769,5,6,.833,4,5,.800,1,5,6,1,1,0,0,5,29,25.4,+25
60,122,61,2007-03-17,22-073,DEN,PHO,24,0,19:15,1,4,.250,1,2,.500,2,2,1.000,1,2,3,1,1,0,2,4,5,2.0,+3
61,123,62,2007-03-20,22-076,DEN,NJN,4,0,28:30,3,8,.375,1,4,.250,0,0,,1,4,5,0,1,0,0,2,7,4.7,-14
62,124,63,2007-03-22,22-078,DEN,CHI,-1,0,22:16,4,10,.400,4,7,.571,0,0,,1,2,3,2,0,1,1,3,12,7.8,-11
63,125,64,2007-03-23,22-079,DEN,TOR,-27,0,29:05,7,17,.412,4,8,.500,2,2,1.000,2,5,7,0,1,0,3,3,20,10.6,-24
64,126,65,2007-03-25,22-081,DEN,CLE,12,0,26:11,6,10,.600,2,4,.500,0,0,,0,1,1,1,0,0,0,1,14,10.0,+2
65,127,66,2007-03-26,22-082,DEN,DET,-4,0,23:12,4,9,.444,2,3,.667,2,2,1.000,1,1,2,0,0,0,1,5,12,5.3,+2
66,128,67,2007-03-28,22-084,DEN,SEA,-3,0,25:48,4,11,.364,0,4,.000,3,3,1.000,1,2,3,4,1,0,0,3,11,8.8,-4
67,129,68,2007-03-30,22-086,DEN,PHO,-17,0,28:32,1,7,.143,1,7,.143,1,2,.500,0,3,3,0,0,0,1,2,4,-1.8,-8
68,130,69,2007-04-01,22-088,DEN,SEA,11,0,24:18,5,10,.500,4,7,.571,2,2,1.000,1,2,3,1,0,2,2,3,16,11.2,+5
69,131,70,2007-04-03,22-090,DEN,LAL,6,0,16:44,4,5,.800,3,3,1.000,0,0,,0,1,1,0,0,0,0,4,11,7.8,+6
70,132,71,2007-04-04,22-091,DEN,SAC,5,0,24:59,3,7,.429,1,3,.333,2,2,1.000,1,2,3,0,0,0,3,4,9,2.0,+16
71,133,72,2007-04-06,22-093,DEN,DAL,4,0,19:24,1,3,.333,1,3,.333,0,0,,0,5,5,1,0,3,1,2,3,3.8,-2
72,134,73,2007-04-07,22-094,DEN,LAC,3,0,20:50,1,8,.125,1,5,.200,0,0,,2,1,3,1,1,0,0,2,3,0.4,+8
73,135,74,2007-04-09,22-096,DEN,LAL,4,0,25:19,6,9,.667,2,5,.400,3,3,1.000,0,2,2,1,0,0,1,3,17,12.2,-8
74,136,75,2007-04-11,22-098,DEN,UTA,9,0,19:09,3,8,.375,2,6,.333,1,2,.500,0,0,0,2,0,0,1,3,9,3.4,-1
75,137,76,2007-04-13,22-100,DEN,NOK,2,0,16:20,1,3,.333,0,2,.000,0,0,,0,2,2,0,0,0,1,2,2,-0.9,+2
76,138,77,2007-04-14,22-101,DEN,MEM,-15,0,21:17,4,8,.500,0,3,.000,2,2,1.000,0,3,3,0,2,1,0,3,10,8.4,-11
77,139,78,2007-04-16,22-103,DEN,MIN,15,0,23:15,7,12,.583,1,5,.200,8,8,1.000,3,7,10,0,0,0,1,3,23,19.4,+4
78,140,79,2007-04-18,22-105,DEN,SAS,23,1,30:31,7,15,.467,3,7,.429,0,0,,0,3,3,1,1,0,1,3,17,9.7,0
