,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,131,1,2008-04-20,37-139,DET,PHI,-4,0,12:12,1,2,.500,1,1,1.000,0,0,,1,1,2,0,1,0,1,3,3,1.8,0
1,132,2,2008-04-25,37-144,DET,PHI,-20,0,3:49,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-3
2,133,3,2008-05-01,37-150,DET,PHI,23,0,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
3,134,4,2008-05-10,37-159,DET,ORL,1,0,26:07,3,6,.500,2,3,.667,0,0,,1,2,3,3,1,0,0,2,8,8.6,+7
4,135,5,2008-05-13,37-162,DET,ORL,5,0,15:09,1,5,.200,1,3,.333,0,0,,0,1,1,1,1,0,0,1,3,1.5,-3
5,136,6,2008-05-20,37-169,DET,BOS,-9,0,12:51,1,2,.500,1,1,1.000,0,0,,0,2,2,1,1,0,0,2,3,3.5,+8
6,137,7,2008-05-22,37-171,DET,BOS,6,0,10:09,2,3,.667,0,0,,0,0,,0,0,0,2,1,0,0,1,4,4.7,-6
7,138,8,2008-05-24,37-173,DET,BOS,-14,0,8:51,0,1,.000,0,1,.000,0,0,,0,0,0,2,1,0,2,3,0,-1.5,+5
8,139,9,2008-05-26,37-175,DET,BOS,19,0,9:07,0,1,.000,0,1,.000,0,0,,0,1,1,2,1,0,0,4,0,0.4,+1
9,140,10,2008-05-28,37-177,DET,BOS,-4,0,11:29,0,1,.000,0,1,.000,0,0,,0,0,0,2,1,0,0,4,0,0.1,+8
10,141,11,2008-05-30,37-179,DET,BOS,-8,0,5:33,0,0,,0,0,,0,0,,0,1,1,0,0,0,2,0,0,-1.7,-4
