,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,873,1,2007-11-14,36-346,DET,GSW,7,0,6:43,1,2,.500,1,1,1.000,0,0,,0,0,0,1,1,0,0,1,3,3.3,-3
1,874,2,2007-11-16,36-348,DET,LAL,-12,0,6:57,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,3,0,0,-2.0,-3
2,875,3,2007-11-28,36-360,DET,CLE,35,0,7:04,0,2,.000,0,1,.000,0,0,,0,0,0,4,1,0,0,1,0,2.0,-1
3,876,4,2007-12-01,36-363,DET,MIL,26,0,4:19,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,1,1,2,1.0,+1
4,877,5,2007-12-02,36-364,DET,NJN,23,0,5:27,0,3,.000,0,3,.000,2,2,1.000,0,0,0,1,0,0,0,1,2,0.2,+8
5,878,6,2007-12-04,37-001,DET,ATL,11,0,5:30,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,1,2,0,-1.8,-1
6,879,7,2007-12-05,37-002,DET,NOH,15,0,12:29,1,5,.200,1,2,.500,1,1,1.000,1,1,2,3,0,0,0,2,4,3.2,+2
7,880,8,2007-12-07,37-004,DET,CHI,-7,0,11:54,2,4,.500,0,1,.000,1,2,.500,0,0,0,4,1,1,0,1,5,6.7,-5
8,881,9,2007-12-09,37-006,DET,CHA,19,0,5:12,0,2,.000,0,2,.000,1,2,.500,0,1,1,0,0,0,0,0,1,-0.5,-1
9,882,10,2007-12-11,37-008,DET,MEM,10,0,9:22,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,1,0,2,2,3,1.6,-9
10,883,11,2007-12-14,37-011,DET,ATL,10,0,10:14,1,3,.333,0,1,.000,0,0,,0,0,0,3,0,0,0,3,2,1.2,+11
11,884,12,2007-12-16,37-013,DET,GSW,22,0,16:48,0,2,.000,0,2,.000,0,0,,0,0,0,3,1,0,0,4,0,0.1,+1
12,885,13,2007-12-19,37-016,DET,BOS,2,0,10:43,2,4,.500,1,2,.500,0,0,,0,0,0,0,3,0,0,0,5,6.0,+4
13,886,14,2007-12-21,37-018,DET,MEM,27,0,11:17,0,2,.000,0,1,.000,0,0,,0,1,1,2,1,0,0,1,0,0.9,+4
14,887,15,2007-12-23,37-020,DET,HOU,12,0,4:44,0,1,.000,0,0,,0,0,,1,2,3,1,0,1,0,1,0,1.6,-2
15,888,16,2007-12-26,37-023,DET,NJN,18,0,5:47,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0.3,-6
16,889,17,2008-01-10,37-038,DET,SAS,10,0,6:15,2,3,.667,1,1,1.000,2,2,1.000,0,1,1,0,2,0,0,2,7,7.2,+3
17,890,18,2008-03-24,37-112,DET,PHO,5,0,9:30,1,2,.500,1,2,.500,0,0,,0,2,2,0,1,0,1,1,3,2.2,+5
18,891,19,2008-03-26,37-114,DET,TOR,-7,0,12:54,0,2,.000,0,1,.000,0,0,,1,0,1,1,1,0,2,1,0,-1.4,-4
19,892,20,2008-03-27,37-115,DET,MIA,16,0,9:46,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,1,3,2,-1.9,-2
20,893,21,2008-04-01,37-120,DET,MIN,4,0,4:40,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-7
21,894,22,2008-04-11,37-130,DET,WAS,28,0,17:31,1,4,.250,0,2,.000,0,0,,1,0,1,1,0,0,2,2,2,-1.8,+9
22,895,23,2008-04-13,37-132,DET,TOR,7,0,10:53,3,4,.750,0,0,,0,0,,0,0,0,1,0,0,0,0,6,5.1,+3
23,896,24,2008-04-15,37-134,DET,MIN,12,0,9:17,4,6,.667,1,2,.500,0,0,,0,0,0,2,0,0,0,1,9,7.4,+10
