,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,54,1,1977-10-18,23-329,MIL,LAL,5,,,3,,,,,,0,0,,,,,,,,,,6,,
1,55,2,1977-10-19,23-330,MIL,DEN,-18,,,5,,,,,,1,3,.333,,,,,,,,,11,,
2,56,3,1977-10-22,23-333,MIL,CHI,18,,,4,,,,,,3,4,.750,,,,,,,,,11,,
3,57,4,1977-10-30,23-341,MIL,SEA,13,,,0,,,,,,0,0,,,,,,,,,,0,,
4,58,5,1977-11-01,23-343,MIL,KCK,20,,,3,,,,,,0,0,,,,,,,,,,6,,
5,59,6,1977-11-03,23-345,MIL,CLE,-9,,,2,,,,,,0,1,.000,,,,,,,,,4,,
6,60,7,1977-11-04,23-346,MIL,HOU,2,,,6,,,,,,0,0,,,,,,,,,,12,,
7,61,8,1977-11-08,23-350,MIL,DEN,-10,,,6,,,,,,0,0,,,,,,,,,,12,,
8,62,9,1977-11-10,23-352,MIL,WSB,3,,,1,,,,,,1,4,.250,,,,,,,,,3,,
9,63,10,1977-11-11,23-353,MIL,CLE,-6,,,3,,,,,,0,0,,,,,,,,,,6,,
10,64,11,1977-11-13,23-355,MIL,BOS,-8,,,4,,,,,,0,0,,,,,,,,,,8,,
11,65,12,1977-11-15,23-357,MIL,POR,-3,,,4,,,,,,2,2,1.000,,,,,,,,,10,,
12,66,13,1977-11-16,23-358,MIL,NJN,10,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
13,67,14,1977-11-19,23-361,MIL,PHI,-11,,,0,,,,,,2,2,1.000,,,,,,,,,2,,
14,68,15,1977-11-22,23-364,MIL,GSW,21,,,1,,,,,,0,0,,,,,,,,,,2,,
15,69,16,1977-11-23,24-000,MIL,KCK,6,,,1,,,,,,3,3,1.000,,,,,,,,,5,,
16,70,17,1977-11-25,24-002,MIL,ATL,2,,,4,,,,,,0,0,,,,,,,,,,8,,
17,71,18,1977-11-26,24-003,MIL,SAS,-22,,,1,,,,,,0,2,.000,,,,,,,,,2,,
18,72,19,1977-11-29,24-006,MIL,DET,-1,,,3,,,,,,0,0,,,,,,,,,,6,,
19,73,20,1977-12-02,24-009,MIL,WSB,-13,,,2,,,,,,0,0,,,,,,,,,,4,,
20,74,21,1977-12-03,24-010,MIL,NYK,7,,,4,,,,,,1,1,1.000,,,,,,,,,9,,
21,75,22,1977-12-04,24-011,MIL,NJN,16,,,6,,,,,,0,0,,,,,,,,,,12,,
22,76,23,1977-12-06,24-013,MIL,LAL,-1,,,3,,,,,,2,2,1.000,,,,,,,,,8,,
23,77,24,1977-12-08,24-015,MIL,GSW,1,,,7,,,,,,0,2,.000,,,,,,,,,14,,
24,78,25,1977-12-09,24-016,MIL,SEA,-13,,,2,,,,,,4,4,1.000,,,,,,,,,8,,
25,79,26,1977-12-10,24-017,MIL,DEN,-7,,,0,,,,,,0,0,,,,,,,,,,0,,
26,80,27,1977-12-13,24-020,MIL,PHI,12,,,1,,,,,,0,0,,,,,,,,,,2,,
27,81,28,1977-12-16,24-023,MIL,NYK,2,,,3,,,,,,0,0,,,,,,,,,,6,,
28,82,29,1977-12-18,24-025,MIL,BUF,11,,,1,,,,,,1,2,.500,,,,,,,,,3,,
29,83,30,1977-12-23,24-030,MIL,ATL,-16,,,0,,,,,,0,2,.000,,,,,,,,,0,,
30,84,31,1977-12-25,24-032,MIL,KCK,9,,,1,,,,,,0,0,,,,,,,,,,2,,
31,85,32,1977-12-27,24-034,MIL,BUF,3,,,1,,,,,,0,0,,,,,,,,,,2,,
32,86,33,1977-12-29,24-036,MIL,BOS,-9,,,0,,,,,,0,0,,,,,,,,,,0,,
33,87,34,1978-01-03,24-041,MIL,PHO,-22,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
34,88,35,1978-01-05,24-043,MIL,NOJ,-7,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
35,89,36,1978-01-06,24-044,MIL,HOU,2,,,1,,,,,,1,2,.500,,,,,,,,,3,,
36,90,37,1978-01-08,24-046,MIL,KCK,10,,,2,,,,,,0,0,,,,,,,,,,4,,
37,91,38,1978-01-11,24-049,MIL,SAS,-24,,,1,,,,,,0,0,,,,,,,,,,2,,
38,92,39,1978-01-13,24-051,MIL,CHI,-17,,,0,,,,,,0,0,,,,,,,,,,0,,
39,93,40,1978-01-17,24-055,MIL,NJN,10,,,3,,,,,,0,0,,,,,,,,,,6,,
40,94,41,1978-01-18,24-056,MIL,BOS,-14,,,6,,,,,,2,4,.500,,,,,,,,,14,,
41,95,42,1978-01-19,24-057,MIL,DEN,5,,,0,,,,,,2,2,1.000,,,,,,,,,2,,
42,96,43,1978-01-22,24-060,MIL,CHI,22,,,1,,,,,,0,0,,,,,,,,,,2,,
43,97,44,1978-01-27,24-065,MIL,LAL,-17,,,1,,,,,,0,0,,,,,,,,,,2,,
44,98,45,1978-01-29,24-067,MIL,SEA,-2,,,0,,,,,,0,0,,,,,,,,,,0,,
45,99,46,1978-02-02,24-071,MIL,GSW,-3,,,4,,,,,,2,2,1.000,,,,,,,,,10,,
46,100,47,1978-02-03,24-072,MIL,PHO,-10,,,3,,,,,,0,0,,,,,,,,,,6,,
47,101,48,1978-02-08,24-077,MIL,BUF,1,,,0,,,,,,0,0,,,,,,,,,,0,,
48,102,49,1978-02-10,24-079,MIL,CLE,10,,,5,,,,,,0,0,,,,,,,,,,10,,
49,103,50,1978-02-11,24-080,MIL,NYK,-11,,,0,,,,,,1,2,.500,,,,,,,,,1,,
50,104,51,1978-02-15,24-084,MIL,NOJ,13,,,3,,,,,,0,0,,,,,,,,,,6,,
51,105,52,1978-02-17,24-086,MIL,HOU,17,,,3,,,,,,2,4,.500,,,,,,,,,8,,
52,106,53,1978-02-19,24-088,MIL,SEA,-5,,,1,,,,,,0,0,,,,,,,,,,2,,
53,107,54,1978-02-24,24-093,MIL,CHI,3,,,2,,,,,,0,0,,,,,,,,,,4,,
54,108,55,1978-02-26,24-095,MIL,NOJ,2,,,0,,,,,,2,2,1.000,,,,,,,,,2,,
55,109,56,1978-02-28,24-097,MIL,WSB,1,,,2,,,,,,0,0,,,,,,,,,,4,,
56,110,57,1978-03-03,24-100,MIL,PHO,-6,,,2,,,,,,0,0,,,,,,,,,,4,,
57,111,58,1978-03-05,24-102,MIL,POR,-38,,,1,,,,,,0,0,,,,,,,,,,2,,
58,112,59,1978-03-08,24-105,MIL,NYK,2,,,3,,,,,,0,0,,,,,,,,,,6,,
59,113,60,1978-03-10,24-107,MIL,GSW,-22,,,2,,,,,,1,3,.333,,,,,,,,,5,,
60,114,61,1978-03-12,24-109,MIL,ATL,-5,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
61,115,62,1978-03-14,24-111,MIL,PHO,15,,,1,,,,,,0,0,,,,,,,,,,2,,
62,116,63,1978-03-17,24-114,MIL,BUF,-9,,,1,,,,,,3,4,.750,,,,,,,,,5,,
63,117,64,1978-03-18,24-115,MIL,IND,9,,,0,,,,,,0,0,,,,,,,,,,0,,
64,118,65,1978-03-19,24-116,MIL,WSB,11,,,1,,,,,,0,2,.000,,,,,,,,,2,,
65,119,66,1978-03-21,24-118,MIL,ATL,14,,,2,,,,,,0,0,,,,,,,,,,4,,
66,120,67,1978-03-23,24-120,MIL,POR,7,,,3,,,,,,1,1,1.000,,,,,,,,,7,,
67,121,68,1978-03-24,24-121,MIL,PHI,-9,,,1,,,,,,0,0,,,,,,,,,,2,,
68,122,69,1978-03-26,24-123,MIL,DET,1,,,3,,,,,,4,4,1.000,,,,,,,,,10,,
69,123,70,1978-03-30,24-127,MIL,IND,5,,,0,,,,,,0,0,,,,,,,,,,0,,
70,124,71,1978-03-31,24-128,MIL,NJN,-8,,,0,,,,,,2,3,.667,,,,,,,,,2,,
71,125,72,1978-04-02,24-130,MIL,DET,8,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
72,126,73,1978-04-04,24-132,MIL,LAL,-1,,,0,,,,,,0,0,,,,,,,,,,0,,
73,127,74,1978-04-06,24-134,MIL,CLE,-12,,,5,,,,,,1,2,.500,,,,,,,,,11,,
74,128,75,1978-04-07,24-135,MIL,SAS,6,,,0,,,,,,0,0,,,,,,,,,,0,,
75,129,76,1978-04-08,24-136,MIL,BOS,12,,,1,,,,,,0,2,.000,,,,,,,,,2,,
