,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,744,1,2007-12-08,32-034,ATL,MEM,8,0,0:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
1,745,2,2007-12-10,32-036,ATL,ORL,11,0,27:10,0,2,.000,0,0,,1,2,.500,2,1,3,1,1,1,0,4,1,1.7,-2
2,746,3,2007-12-14,32-040,ATL,DET,-10,1,28:37,2,3,.667,0,0,,2,4,.500,2,10,12,1,0,1,0,4,6,8.1,0
3,747,4,2007-12-15,32-041,ATL,CHA,9,0,4:16,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,+8
4,748,5,2007-12-19,32-045,ATL,MIA,3,0,6:43,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,3,2,1.5,-6
5,749,6,2008-01-02,32-059,ATL,CLE,-4,0,2:45,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+7
6,750,7,2008-01-04,32-061,ATL,IND,-22,0,6:47,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,1,2,0,-1.2,-10
7,751,8,2008-01-09,32-066,ATL,CLE,9,0,22:31,0,3,.000,0,0,,0,0,,1,7,8,0,0,1,0,4,0,-0.2,+3
8,752,9,2008-01-11,32-068,ATL,WAS,-4,0,5:35,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,0,0,0,0.2,-9
9,753,10,2008-01-16,32-073,ATL,MIL,-7,0,12:29,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,3,0,0.8,-2
10,754,11,2008-01-18,32-075,ATL,TOR,-11,0,6:37,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,1,2,1.3,+1
11,755,12,2008-02-12,32-100,ATL,DET,-4,0,3:07,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-8
12,756,13,2008-02-13,32-101,ATL,CHA,-2,0,20:38,1,2,.500,0,0,,0,0,,0,4,4,0,0,0,1,2,2,0.4,+11
13,757,14,2008-03-22,32-139,SAC,MEM,-6,0,4:41,1,2,.500,0,0,,0,0,,1,0,1,1,0,0,0,1,2,2.0,0
14,758,15,2008-03-30,32-147,SAC,SEA,13,0,1:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-2
15,759,16,2008-04-01,32-149,SAC,HOU,1,0,2:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,+1
16,760,17,2008-04-05,32-153,SAC,DEN,3,0,2:14,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.8,+1
17,761,18,2008-04-14,32-162,SAC,SAS,-3,0,2:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6
