,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,92,1,2007-10-31,21-004,PHI,TOR,-9,0,15:52,2,4,.500,0,0,,2,2,1.000,0,1,1,2,0,0,0,3,6,4.5,+17
1,93,2,2007-11-02,21-006,PHI,CHI,11,0,9:32,0,1,.000,0,0,,1,2,.500,0,0,0,3,0,0,0,1,1,1.6,+6
2,94,3,2007-11-03,21-007,PHI,NJN,-5,0,18:54,6,9,.667,0,2,.000,1,3,.333,0,1,1,3,2,0,1,1,13,11.3,+8
3,95,4,2007-11-07,21-011,PHI,CHA,31,0,23:57,3,8,.375,0,0,,1,2,.500,1,0,1,5,2,0,1,2,7,6.6,+14
4,96,5,2007-11-09,21-013,PHI,TOR,-2,0,20:10,6,10,.600,3,3,1.000,6,8,.750,1,1,2,3,1,0,0,1,21,19.3,+4
5,97,6,2007-11-11,21-015,PHI,NOH,-21,0,19:38,2,7,.286,0,2,.000,0,0,,1,0,1,5,1,0,3,1,4,1.7,-19
6,98,7,2007-11-13,21-017,PHI,DAL,-15,0,11:42,2,4,.500,0,1,.000,0,0,,0,1,1,3,0,0,1,2,4,2.6,-4
7,99,8,2007-11-14,21-018,PHI,NOH,-19,0,16:31,2,7,.286,1,3,.333,2,2,1.000,0,2,2,1,1,0,1,0,7,4.2,-21
8,100,9,2007-11-16,21-020,PHI,POR,4,0,25:20,8,13,.615,2,3,.667,1,1,1.000,0,4,4,3,3,0,3,1,19,16.0,+15
9,101,10,2007-11-20,21-024,PHI,WAS,-15,0,29:54,10,13,.769,4,4,1.000,1,1,1.000,0,2,2,4,0,0,3,0,25,20.3,-5
10,102,11,2007-11-23,21-027,PHI,DET,-5,0,30:46,5,10,.500,0,4,.000,5,6,.833,1,4,5,4,0,0,4,2,15,9.5,+1
11,103,12,2007-11-24,21-028,PHI,GSW,-2,0,34:01,5,12,.417,3,4,.750,5,6,.833,0,1,1,3,1,1,4,5,18,9.3,-6
12,104,13,2007-11-27,21-031,PHI,MIL,15,0,24:00,3,8,.375,0,2,.000,2,2,1.000,0,2,2,6,1,0,1,0,8,8.4,-4
13,105,14,2007-11-28,21-032,PHI,UTA,-11,0,22:23,4,8,.500,0,0,,5,7,.714,3,3,6,6,0,0,1,2,13,13.6,+3
14,106,15,2007-11-30,21-034,PHI,WAS,1,0,20:08,0,5,.000,0,1,.000,6,6,1.000,1,1,2,2,0,0,1,0,6,3.9,-8
15,107,16,2007-12-01,21-035,PHI,NJN,-2,0,26:23,3,11,.273,2,3,.667,5,6,.833,1,3,4,3,1,0,2,1,13,8.4,+5
16,108,17,2007-12-03,21-037,PHI,ATL,-9,0,25:23,1,8,.125,1,2,.500,0,0,,0,2,2,1,0,0,2,3,3,-4.1,+5
17,109,18,2007-12-05,21-039,PHI,BOS,-10,0,27:49,8,13,.615,2,3,.667,0,0,,0,1,1,3,2,0,2,3,18,13.3,-7
18,110,19,2007-12-07,21-041,PHI,NYK,11,0,23:46,6,11,.545,0,2,.000,3,3,1.000,0,0,0,6,2,0,3,2,15,12.1,+4
19,111,20,2007-12-08,21-042,PHI,NYK,28,0,9:57,3,6,.500,0,1,.000,1,2,.500,0,0,0,3,1,0,1,2,7,4.9,-3
20,112,21,2007-12-12,21-046,PHI,MIN,4,0,17:35,1,8,.125,1,2,.500,1,2,.500,1,2,3,5,0,0,1,1,4,1.8,-16
21,113,22,2007-12-14,21-048,PHI,SAC,-10,0,23:27,6,10,.600,2,3,.667,1,2,.500,0,2,2,6,2,0,1,2,15,15.0,-3
22,114,23,2007-12-15,21-049,PHI,CLE,6,0,19:31,3,10,.300,0,2,.000,2,2,1.000,0,1,1,5,0,1,0,0,8,6.7,0
23,115,24,2007-12-19,21-053,PHI,IND,-17,0,18:52,0,3,.000,0,1,.000,3,4,.750,0,2,2,2,0,0,2,2,3,-0.3,-17
24,116,25,2007-12-22,21-056,PHI,MEM,2,0,17:17,3,9,.333,1,2,.500,0,0,,0,2,2,2,1,0,0,1,7,4.5,+10
25,117,26,2007-12-26,21-060,PHI,MIA,11,0,24:51,4,11,.364,0,2,.000,5,5,1.000,0,2,2,3,0,0,3,3,13,5.4,+6
26,118,27,2007-12-28,21-062,PHI,SAC,12,0,20:04,1,7,.143,0,0,,4,4,1.000,0,4,4,3,2,2,1,1,6,6.8,+9
27,119,28,2007-12-30,21-064,PHI,POR,-25,0,29:35,3,14,.214,1,5,.200,0,0,,0,2,2,1,1,0,2,3,7,-2.5,-18
28,120,29,2007-12-31,21-065,PHI,SEA,8,0,20:45,3,6,.500,1,3,.333,12,14,.857,1,1,2,3,4,0,2,0,19,20.3,+3
29,121,30,2008-01-02,21-067,PHI,UTA,-3,0,29:07,5,14,.357,1,2,.500,6,8,.750,0,2,2,4,0,1,2,3,17,9.3,+3
30,122,31,2008-01-04,21-069,PHI,LAL,-31,0,26:29,8,14,.571,1,2,.500,0,1,.000,0,1,1,3,3,0,4,3,17,10.2,-11
31,123,32,2008-01-06,21-071,PHI,DEN,-13,0,27:08,3,8,.375,0,1,.000,4,6,.667,0,2,2,7,0,0,2,4,10,6.7,-9
