,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,25,1,2011-12-27,22-190,POR,SAC,22,0,1:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
1,26,2,2012-01-11,22-205,POR,ORL,-3,0,4:25,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,0,0,0.2,+3
2,27,3,2012-01-13,22-207,POR,SAS,-16,0,2:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
3,28,4,2012-01-21,22-215,POR,DET,-3,0,4:07,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-2.2,-7
4,29,5,2012-01-23,22-217,POR,SAC,12,0,1:10,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,-3
5,30,6,2012-01-24,22-218,POR,MEM,13,0,2:42,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,-6
6,31,7,2012-01-27,22-221,POR,PHO,38,0,3:44,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,+2
7,32,8,2012-02-01,22-226,POR,CHA,44,0,10:02,1,4,.250,1,1,1.000,0,0,,0,6,6,0,0,1,1,0,3,2.1,-4
8,33,9,2012-02-04,22-229,POR,DEN,20,0,2:45,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-4
9,34,10,2012-02-18,22-243,POR,ATL,20,0,2:32,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,0,0,-1.0,+3
10,35,11,2012-02-20,22-245,POR,LAL,-11,0,2:37,1,1,1.000,0,0,,0,0,,1,0,1,1,1,0,0,0,2,4.1,+6
