,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,229,1,2000-10-31,25-343,SAS,IND,13,0,18:00,0,4,.000,0,0,,1,4,.250,0,3,3,0,1,0,0,1,1,-1.5,+4
1,230,2,2000-11-02,25-345,SAS,MIN,12,0,21:00,2,6,.333,0,0,,4,4,1.000,4,7,11,1,1,1,0,4,8,10.3,+15
2,231,3,2000-11-04,25-347,SAS,GSW,12,0,23:00,10,12,.833,0,0,,6,10,.600,6,5,11,2,1,0,3,4,26,23.5,+18
3,232,4,2000-11-07,25-350,SAS,PHO,-19,0,21:00,3,14,.214,0,1,.000,3,4,.750,5,2,7,1,0,0,2,5,9,0.8,-14
4,233,5,2000-11-08,25-351,SAS,LAL,10,0,20:00,5,11,.455,0,0,,3,4,.750,2,4,6,1,1,2,1,0,13,11.6,+8
5,234,6,2000-11-10,25-353,SAS,DAL,-2,0,16:00,3,4,.750,0,0,,4,4,1.000,3,1,4,0,2,0,1,1,10,11.4,-18
6,235,7,2000-11-11,25-354,SAS,VAN,13,0,17:00,3,4,.750,0,0,,4,4,1.000,0,3,3,0,0,0,1,4,10,6.7,+16
7,236,8,2000-11-14,25-357,SAS,UTA,7,0,21:00,2,9,.222,0,0,,4,4,1.000,6,2,8,2,0,0,0,1,8,8.3,0
8,237,9,2000-11-16,25-359,SAS,WAS,4,0,21:00,5,10,.500,0,0,,1,2,.500,2,1,3,0,1,0,2,4,11,4.7,-15
9,238,10,2000-11-17,25-360,SAS,MIN,-5,0,24:00,6,8,.750,0,0,,1,2,.500,1,5,6,1,0,0,1,4,13,9.7,+9
10,239,11,2000-11-22,25-365,SAS,SEA,27,0,27:00,5,10,.500,0,0,,12,14,.857,4,6,10,2,1,0,0,3,22,22.0,+14
11,240,12,2000-11-24,26-001,SAS,DEN,-10,0,26:00,4,6,.667,0,0,,4,5,.800,1,3,4,1,2,1,1,5,12,11.0,+4
12,241,13,2000-11-25,26-002,SAS,PHI,20,0,35:00,3,15,.200,0,1,.000,4,4,1.000,2,5,7,3,3,0,3,3,10,4.5,+10
13,242,14,2000-11-29,26-006,SAS,SAC,3,0,27:00,3,8,.375,0,0,,0,2,.000,3,4,7,0,1,1,0,3,6,4.6,-2
14,243,15,2000-12-01,26-008,SAS,LAL,-9,0,17:00,6,11,.545,0,2,.000,0,0,,0,2,2,0,1,0,2,3,12,5.1,-11
15,244,16,2000-12-03,26-010,SAS,VAN,18,0,25:00,3,7,.429,0,0,,4,5,.800,1,5,6,1,3,0,3,2,10,8.0,+1
16,245,17,2000-12-05,26-012,SAS,SAC,-6,0,15:00,2,4,.500,0,0,,2,2,1.000,1,1,2,0,2,0,3,4,6,2.4,+2
17,246,18,2000-12-07,26-014,SAS,NYK,-3,0,20:00,2,4,.500,0,0,,2,2,1.000,2,3,5,0,1,2,1,1,6,7.3,0
18,247,19,2000-12-09,26-016,SAS,CHI,24,0,21:00,2,4,.500,0,0,,4,6,.667,0,8,8,1,1,3,1,3,8,9.2,-9
19,248,20,2000-12-11,26-018,SAS,UTA,8,0,38:00,3,7,.429,0,1,.000,5,6,.833,3,8,11,0,2,2,2,4,11,11.2,+17
20,249,21,2000-12-13,26-020,SAS,PHO,-10,0,22:00,4,13,.308,1,2,.500,3,6,.500,3,2,5,0,1,1,1,1,12,6.3,+5
21,250,22,2000-12-14,26-021,SAS,DEN,-6,0,25:00,2,6,.333,0,0,,2,4,.500,3,6,9,3,1,1,0,3,6,8.3,-6
22,251,23,2000-12-16,26-023,SAS,PHO,8,0,21:00,0,5,.000,0,0,,0,0,,1,5,6,0,0,2,1,3,0,-2.1,-6
23,252,24,2000-12-19,26-026,SAS,HOU,7,0,23:00,2,11,.182,0,0,,2,4,.500,3,3,6,1,4,1,2,2,6,3.9,+1
24,253,25,2000-12-20,26-027,SAS,CLE,17,0,22:00,4,6,.667,0,0,,2,3,.667,5,6,11,0,2,1,0,4,10,13.4,+20
25,254,26,2000-12-22,26-029,SAS,GSW,18,0,26:00,4,11,.364,0,0,,0,0,,2,5,7,0,1,2,3,2,8,3.4,+12
26,255,27,2000-12-23,26-030,SAS,CHH,-4,0,23:00,0,4,.000,0,0,,0,0,,1,6,7,1,2,0,2,3,0,-0.8,-3
27,256,28,2000-12-26,26-033,SAS,HOU,8,0,28:00,3,5,.600,0,0,,2,2,1.000,4,6,10,2,4,2,2,1,8,14.7,+1
28,257,29,2000-12-28,26-035,SAS,CHI,-1,0,18:00,2,4,.500,0,0,,2,2,1.000,0,4,4,0,0,0,0,1,6,4.8,-3
29,258,30,2000-12-30,26-037,SAS,IND,12,0,39:00,6,13,.462,0,0,,8,10,.800,4,9,13,2,0,0,5,3,20,13.2,+14
30,259,31,2001-01-02,26-040,SAS,MIA,8,0,19:00,1,4,.250,0,0,,0,0,,0,3,3,0,0,2,2,3,2,-1.3,-11
31,260,32,2001-01-23,26-061,SAS,VAN,33,1,25:00,5,8,.625,0,0,,1,2,.500,1,6,7,1,1,0,2,3,11,8.0,+29
32,261,33,2001-01-25,26-063,SAS,SAC,6,1,34:00,3,6,.500,0,0,,0,2,.000,2,10,12,0,0,0,2,4,6,3.0,+2
33,262,34,2001-01-27,26-065,SAS,UTA,13,1,25:00,1,4,.250,0,0,,3,7,.429,3,4,7,0,1,0,1,5,5,2.3,+15
34,263,35,2001-01-29,26-067,SAS,LAC,29,1,29:00,4,7,.571,0,0,,5,6,.833,1,6,7,2,1,1,2,4,13,11.3,+12
35,264,36,2001-01-31,26-069,SAS,LAC,22,1,37:00,5,14,.357,0,0,,3,3,1.000,4,6,10,2,3,1,2,2,13,12.1,+18
36,265,37,2001-02-03,26-072,SAS,HOU,2,1,38:00,4,11,.364,0,0,,0,0,,1,4,5,1,1,5,3,3,8,4.8,0
37,266,38,2001-02-05,26-074,SAS,GSW,24,1,29:00,5,9,.556,1,1,1.000,2,2,1.000,2,8,10,4,0,1,2,1,13,13.6,+21
38,267,39,2001-02-07,26-076,SAS,CLE,18,1,23:00,1,7,.143,0,0,,0,0,,0,2,2,2,0,1,0,1,2,-0.2,-1
39,268,40,2001-02-08,26-077,SAS,NJN,-2,1,12:00,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,0,1,0,-0.2,+5
40,269,41,2001-03-16,26-113,SAS,NJN,9,0,10:00,3,6,.500,0,0,,2,2,1.000,0,2,2,0,1,0,0,2,8,5.8,0
41,270,42,2001-03-17,26-114,SAS,HOU,-4,0,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,1.0,0
42,271,43,2001-03-19,26-116,SAS,POR,13,0,13:00,2,5,.400,0,2,.000,2,2,1.000,1,0,1,1,2,0,0,4,6,5.1,-4
43,272,44,2001-03-21,26-118,SAS,BOS,20,0,20:00,5,8,.625,0,1,.000,0,0,,0,1,1,2,1,1,2,3,10,6.6,+15
44,273,45,2001-03-22,26-119,SAS,ATL,14,0,20:00,2,3,.667,0,0,,1,2,.500,0,3,3,0,0,0,1,4,5,1.6,-3
45,274,46,2001-03-25,26-122,SAS,MIA,-5,0,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-1
46,275,47,2001-03-29,26-126,SAS,UTA,18,0,6:00,0,0,,0,0,,0,0,,1,1,2,0,1,0,0,3,0,0.8,-4
47,276,48,2001-03-31,26-128,SAS,MIL,-9,0,14:00,2,3,.667,0,0,,0,0,,1,2,3,1,0,0,1,1,4,3.3,+2
48,277,49,2001-04-03,26-131,SAS,SEA,18,0,18:00,0,0,,0,0,,0,0,,0,0,0,1,1,3,3,1,0,0.4,+9
49,278,50,2001-04-05,26-133,SAS,DEN,21,0,20:00,4,7,.571,1,1,1.000,1,2,.500,1,6,7,2,1,0,0,2,10,10.4,+13
50,279,51,2001-04-07,26-135,SAS,LAC,10,0,16:00,0,0,,0,0,,0,2,.000,2,3,5,1,0,1,0,3,0,1.7,-11
51,280,52,2001-04-08,26-136,SAS,GSW,8,0,25:00,3,5,.600,0,0,,3,6,.500,1,3,4,1,1,0,3,6,9,3.4,+13
52,281,53,2001-04-10,26-138,SAS,DAL,12,0,8:00,2,4,.500,0,1,.000,0,0,,1,0,1,0,1,0,0,1,4,3.3,+9
53,282,54,2001-04-12,26-140,SAS,SAC,-2,0,9:00,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,1,3,2,0.1,-3
54,283,55,2001-04-14,26-142,SAS,DEN,16,0,13:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,3,2,-0.2,-12
55,284,56,2001-04-17,26-145,SAS,POR,6,0,19:00,5,7,.714,0,0,,2,3,.667,1,2,3,2,3,0,1,0,12,13.4,+2
56,285,57,2001-04-18,26-146,SAS,SEA,-38,0,30:00,2,9,.222,0,4,.000,0,0,,0,5,5,0,1,1,2,3,4,-1.5,-31
