,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1999-05-08,25-047,NYK,MIA,20,0,23:00,4,6,.667,0,0,,3,5,.600,2,4,6,0,1,1,1,5,11,8.9,
1,2,2,1999-05-10,25-049,NYK,MIA,-10,0,16:00,2,4,.500,0,0,,1,2,.500,3,0,3,0,0,0,0,4,5,3.1,
2,3,3,1999-05-12,25-051,NYK,MIA,24,0,29:00,6,8,.750,0,0,,1,2,.500,5,4,9,2,4,1,0,1,13,19.8,
3,4,4,1999-05-14,25-053,NYK,MIA,-15,0,20:00,1,2,.500,0,0,,2,2,1.000,0,5,5,0,0,0,0,4,4,2.9,
4,5,5,1999-05-16,25-055,NYK,MIA,1,0,15:00,2,2,1.000,0,0,,0,0,,1,2,3,0,1,1,0,4,4,4.8,
5,6,6,1999-05-18,25-057,NYK,ATL,8,0,10:00,1,4,.250,0,0,,0,0,,1,1,2,1,0,1,0,2,2,1.2,
6,7,7,1999-05-20,25-059,NYK,ATL,7,0,27:00,5,7,.714,0,1,.000,1,2,.500,4,9,13,0,1,2,3,1,11,12.2,
7,8,8,1999-05-23,25-062,NYK,ATL,12,0,29:00,7,13,.538,0,0,,1,2,.500,3,3,6,1,1,3,1,3,15,12.9,
8,9,9,1999-05-24,25-063,NYK,ATL,13,0,17:00,2,3,.667,0,0,,4,8,.500,0,3,3,0,0,1,2,3,8,3.5,
9,10,10,1999-05-30,25-069,NYK,IND,3,0,17:00,2,4,.500,0,0,,3,5,.600,2,2,4,0,0,2,2,5,7,3.6,
10,11,11,1999-06-01,25-071,NYK,IND,-2,0,31:00,2,5,.400,0,0,,0,0,,5,8,13,0,3,3,1,5,4,9.3,
11,12,12,1999-06-05,25-075,NYK,IND,1,0,33:00,9,13,.692,0,0,,3,5,.600,4,7,11,0,4,2,1,4,21,22.4,
12,13,13,1999-06-07,25-077,NYK,IND,-12,0,37:00,7,15,.467,0,0,,4,8,.500,3,11,14,0,4,2,0,4,18,17.9,
13,14,14,1999-06-09,25-079,NYK,IND,7,0,33:00,6,9,.667,0,0,,9,13,.692,3,10,13,0,0,6,1,4,21,22.2,
14,15,15,1999-06-11,25-081,NYK,IND,8,0,37:00,4,6,.667,0,0,,7,11,.636,2,7,9,1,2,3,1,2,15,17.3,
15,16,16,1999-06-16,25-086,NYK,SAS,-12,0,23:00,5,8,.625,0,0,,0,0,,3,3,6,0,1,1,0,5,10,9.1,
16,17,17,1999-06-18,25-088,NYK,SAS,-13,0,32:00,3,9,.333,0,0,,0,0,,3,8,11,0,2,3,1,6,6,6.1,
17,18,18,1999-06-21,25-091,NYK,SAS,8,1,16:00,2,4,.500,0,0,,1,2,.500,2,2,4,0,0,3,0,6,5,4.3,
18,19,19,1999-06-23,25-093,NYK,SAS,-7,1,37:00,8,15,.533,0,0,,4,5,.800,5,8,13,0,0,2,0,4,20,18.0,
19,20,20,1999-06-25,25-095,NYK,SAS,-1,1,27:00,3,6,.500,0,0,,1,1,1.000,0,5,5,1,0,1,1,4,7,4.3,
